Region,State,Name,Operational status,Annual capacity (tons per year)
East,,,,
,CT,Eastford Wood Fiber LLC,Currently Operating,15000
,IA,WestWind Logistics LLC,Currently Operating,15000
,IL,Chip Energy Inc.,Under Construction/Planned,35000
,IN,"Koetter & Smith, Inc.",Currently Operating,8000
,IN,NWP Ligonier LLC,Temporarily Not in Operation,61000
,IN,Southern Indiana Hardwoods,Currently Operating,8000
,ME,Corinth Wood Pellets LLC,Temporarily Not in Operation,100000
,ME,F.E. Wood & Sons-Natural Energy,Under Construction/Planned,37000
,ME,Lignetics Of Maine,Currently Operating,80000
,ME,Maine Woods Pellet Company,Temporarily Not in Operation,110000
,ME,Northeast Pellets LLC,Currently Operating,8000
,MI,Fiber By-Products-White Pigeon,Currently Operating,114000
,MI,Isabella Pellet,Currently Operating,20000
,MI,"Kirtland Products, LLC",Currently Operating,30000
,MI,Maeder Brothers. Inc.,Currently Operating,18000
,MI,Michigan Wood Fuels,Currently Operating,60000
,MI,Vulcan Wood Products,Currently Operating,9000
,MO,"Enginuity Worldwide, LLC",Under Construction/Planned,1000
,MO,Ozark Hardwood Pellets,Temporarily Not in Operation,60000
,MO,Pennington Seed Inc.,Currently Operating,5000
,MO,Smith Flooring,Currently Operating,15000
,NH,Jaffrey Manufacturing Facility,Currently Operating,85000
,NY,Curran Renewable Energy LLC,Currently Operating,120000
,NY,Deposit NY Facility,Currently Operating,88000
,NY,Dry Creek Products,Currently Operating,60000
,NY,Essex Pallet & Pellet,Under Construction/Planned,1200
,NY,Hearthside Wood Pellets,Currently Operating,2000
,NY,Instantheat Wood Pellets Inc.,Currently Operating,45000
,NY,Schuyler Manufacturing Facility,Currently Operating,77000
,OH,American Wood Fibers - Circleville,Currently Operating,50000
,OH,Easy Heat Wood Pellets,Currently Operating,13000
,OH,NWP Peebles LLC,Temporarily Not in Operation,61000
,OH,Sugar Creek Shavings,Currently Operating,2500
,PA,Allegheny Pellet Corporation,Currently Operating,60000
,PA,Barefoot Pellet Company,Currently Operating,70000
,PA,"Energex American, Inc.",Currently Operating,125000
,PA,Greene Team Pellet Fuel Company,Currently Operating,50000
,PA,Ironstone Mills,Currently Operating,1200
,PA,PA Pellets,Currently Operating,48800
