Region,Month,Number of facilities,Capacity (tons per year),Number of FTE employees
East,,,,
,         1,        34,   2159600,       614
,         2,        33,   2119600,       555
,         3,        33,   2119600,       510
,         4,        35,   2149600,       539
South,,,,
,         1,        36,   8354258,      1388
,         2,        35,   8264258,      1343
,         3,        35,   8266758,      1247
,         4,        35,   8266758,      1257
West,,,,
,         1,        18,    916200,       250
,         2,        18,    916200,       220
,         3,        18,    914200,       203
,         4,        18,    900200,       217
US Total,,,,
,         1,        88,  11430058,      2252
,         2,        86,  11300058,      2118
,         3,        86,  11300558,      1960
,         4,        88,  11316558,      2013
