Region,Month,"Wood Pellets, PFI Certified","Wood Pellets, Not Certified",Wood Pellets Utility,Compressed Bricks/Logs
East,,,,,
,         1,     54276,     41270,         0,         0
,         2,     39533,     44157,         0,         0
,         3,     29918,     34150,         0,         0
,         4,     40227,     29871,         0,         0
South,,,,,
,         1,     21762,     17946,    421133,         0
,         2,     10459,      6503,    388199,         0
,         3,     15343,      4571,    413882,         0
,         4,      9721,      3880,    419029,         0
West,,,,,
,         1,     23830,     14361,         0,      1659
,         2,     15157,     10563,         0,      1748
,         3,     17915,      7810,         0,      1705
,         4,     15255,      7983,         0,      1660
U.S. Total,,,,,
,         1,     99868,     73577,    421133,      1659
,         2,     65149,     61223,    388199,      1748
,         3,     63176,     46531,    413882,      1705
,         4,     65203,     41734,    419029,      1660
