Layout for File 14: Imputation Flags for File 7


Variable Name  Variable Description                        Position  Format


PUBID8         Building identifier                          1-   5            
REGION8        Census region                                7-   7   $REGION. 
CENDIV8        Census division                              9-   9   $CENDIV. 
SQFT8          Square footage                              11-  20   MISS10CH.
SQFTC8         Square footage category                     22-  23   $SQFTCX. 
YRCONC8        Year of construction category               25-  26   $YEARCAT.
PBA8           Principal building activity                 28-  29   $PBA.    
ELUSED8        Electricity used                            31-  31   $YESNO.  

NGUSED8        Natural gas used                            33-  33   $YESNO.  
FKUSED8        Fuel oil/diesel/kerosene used               35-  35   $YESNO.  
PRUSED8        Bottled gas/LPG/propane used                37-  37   $YESNO.  
STUSED8        District steam used                         39-  39   $YESNO.  
HWUSED8        District hot water used                     41-  41   $YESNO.  
ZLTOHRP8       Imputed percent lit when open               43-  43   $ZVAR.   
ZLOHRPC8       Imputed percent lit when open category      45-  45   $ZVAR.   
ZLTNHRP8       Imputed percent lit when closed             47-  47   $ZVAR.   
ZLNHRPC8       Imputed percent lit when closed category    49-  49   $ZVAR.   
ZRDLTNF8       Imputed reduce lighting during off hours    51-  51   $ZVAR.   
ZBULB8         Imputed incandescent bulbs                  53-  53   $ZVAR.   
ZFLUOR8        Imputed fluorescent bulbs                   55-  55   $ZVAR.   
ZCFLR8         Imputed compact fluorescent bulbs           57-  57   $ZVAR.   
ZHID8          Imputed HID bulbs                           59-  59   $ZVAR.   
ZHALO8         Imputed halogen bulbs                       61-  61   $ZVAR.   
ZOTLT8         Imputed other type of bulbs                 63-  63   $ZVAR.   

ZFLUORP8       Imputed pct lit by fluorescent              65-  65   $ZVAR.   
ZCFLRP8        Imputed pct lit by compact fluorescent      67-  67   $ZVAR.   
ZBULBP8        Imputed pct lit by incandescent             69-  69   $ZVAR.   
ZHALOP8        Imputed pct lit by halogen                  71-  71   $ZVAR.   
ZHIDP8         Imputed pct lit by HID                      73-  73   $ZVAR.   
ZOTLTP8        Imputed pct lit by other lighting           75-  75   $ZVAR.   
ZSREF8         Imputed specular reflectors                 77-  77   $ZVAR.   
ZHEB8          Imputed electronic ballasts                 79-  79   $ZVAR.   
ZEMCSLT8       Imputed EMCS controls lighting              81-  81   $ZVAR.   
ZWINTYP8       Imputed window glass type                   83-  83   $ZVAR.   
ZTINT8         Imputed tinted window glass                 85-  85   $ZVAR.   
ZREFL8         Imputed reflective window glass             87-  87   $ZVAR.   
ZAWN8          Imputed external overhangs or awnings       89-  89   $ZVAR.   
ZSKYLT8        Imputed skylights or atriums                91-  91   $ZVAR.   
ZAUTOLT8       Imputed auto controls/sensors on lights     93-  93   $ZVAR.   
ZDAYLTP8       Imputed percent daylight                    95-  95   $ZVAR.   

ADJWT8         Final full sample building weight           97- 104            
STRATUM8       Variance stratum                           106- 108            
PAIR8          Variance Unit                              110- 110            
