BLDGID1        Building ID                                         
YRCONC1        Year built                                 $YRCONC15
SQFTC1         Square footage category                    $SQFTC17.
BCWM1          Principal building activity                $BCWM25. 
REGION1        Census region                              $REGION13
XSECWT1        Cross sectional weight                              
STRATUM1       Half-sample stratum                                 
PAIR1          Half-sample pair                                    
ELSUPL1        Supplier reported electricity use          $YESNO15.
NGSUPL1        Supplier reported natural gas use          $YESNO15.
PRSUPL1        Supplier reported propane use              $YESNO15.
STSUPL1        Supplier reported steam use                $YESNO15.
FKSUPL1        Supplier report/Fuel oil-kero. use         $YESNO15.
ELCOVR1        Bill coverage/Electricity                  $BLCOV23.
NGCOVR1        Bill coverage/Natural gas                  $BLCOV23.
STCOVR1        Bill coverage/Steam                        $BLCOV23.
FKCOVR1        Bill coverage/Fuel oil-kerosene            $BLCOV23.
PRCOVR1        Bill coverage/Propane                      $BLCOV23.
ELBTU1         Consumption (MBtu)/Electricity             COMMA20. 
ELEXP1         Expenditure/Electricity                    COMMA12. 
ELCNS1         Consumption (Kwh) Electricity              COMMA17. 
NGBTU1         Consumption (MBtu)/Natural gas             COMMA20. 
NGEXP1         Expenditure/Natural gas                    COMMA12. 
NGCNS1         Consumption (ccf)/Natural gas              COMMA17. 
PRBTU1         Consumption (MBtu)/Propane                 COMMA20. 
PREXP1         Expenditure/Propane                        COMMA12. 
PRCNS1         Consumption (gallons)/Propane              COMMA17. 
STBTU1         Consumption (MBtu)/Steam                   COMMA20. 
STEXP1         Expenditure/Steam                          COMMA12. 
STCNS1         Consumption (MLbs)/Steam                   COMMA17. 
FKBTU1         Consmpt. (MBtu)/Fuel oil-kero.             COMMA20. 
FKEXP1         Expenditure/Fuel oil-kerosene              COMMA12. 
FKCNS1         Consmpt. (Gallons)/Fuel oil-kero.          COMMA17. 
ELIMPC1        Elec. consumption imputation method        $ZCNSEXP3
ELIMPE1        Elec. cost imputation method               $ZCNSEXP3
NGIMPC1        Nat.gas consump. imputation method         $ZCNSEXP3
NGIMPE1        Natural gas cost imputation method         $ZCNSEXP3
PRIMPC1        Propane consump. imputation method         $ZCNSEXP3
PRIMPE1        Propane cost imputation method             $ZCNSEXP3
FKIMPC1        Fuel oil-kero. cnsmp. imput. method        $ZCNSEXP3
FKIMPE1        Fuel oil-kero. cost imput. method          $ZCNSEXP3
STIMPC1        Steam consump. imputation method           $ZCNSEXP3
STIMPE1        Steam cost imputation method               $ZCNSEXP3
