BLDGID2  ,STR402   ,PAIR402  ,SQFTC2   ,BCWM2C   ,YRCONC2C ,REGION2  ,XSECWT2  ,ELSUPL2N ,NGSUPL2N ,FKSUPL2N ,STSUPL2N ,PRSUPL2N ,SQFT1T   ,SQFTC1T  ,HEATP1T  ,COOLP1T  ,ELUSED1T ,NGUSED1T ,FKUSED1T ,STUSED1T ,CWUSED1T ,COUSED1T ,PRUSED1T ,HWUSED1T ,WOUSED1T ,SOUSED1T ,NFLOOR1T ,YRCON1T  ,YRCONC1T ,BCWM1T   ,GLASP1T  ,GLASPC1T ,GLASS1T  ,NTANKS1T ,TOTCAP1T ,IMPSF1T  ,IMPNOF1T ,IMPYR1T  ,IMPYRC1T ,IMPPG1T  ,IMPPGC1T ,IMPNFT1T ,IMPCAP1T ,LONGWT2  
00001 ,37 ,1 ,05 ,05 ,03 ,2 ,100 ,1 ,1 ,2 ,2 ,2 ,47000 ,05 ,100 ,90 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,6 ,1939 ,03 ,05 ,2 ,3 ,1 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,103.86
00002 ,08 ,1 ,06 ,07 ,05 ,3 ,111.72 ,1 ,1 ,2 ,2 ,2 ,65000 ,06 ,85 ,20 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,9999 ,05 ,07 ,2 ,4 ,1 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,111.72
00003 ,24 ,1 ,05 ,07 ,07 ,2 ,373.17 ,1 ,1 ,2 ,2 ,2 ,39000 ,05 ,100 ,25 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1976 ,07 ,07 ,2 ,4 ,1 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,387.56
00004 ,10 ,2 ,03 ,17 ,04 ,3 ,3287.3 ,1 ,2 ,1 ,2 ,2 ,5100 ,03 ,95 ,50 ,1 ,2 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1958 ,04 ,02 ,2 ,3 ,1 ,1 ,1000 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,3287.3
00005 ,02 ,2 ,10 ,02 ,07 ,3 ,6.01 ,1 ,1 ,2 ,2 ,2 ,1500000 ,10 ,100 ,100 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,8 ,1975 ,07 ,02 ,2 ,4 ,1 ,0 ,  ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,6.01
00006 ,21 ,1 ,08 ,11 ,08 ,3 ,23.58 ,1 ,2 ,2 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
00007 ,37 ,1 ,07 ,14 ,03 ,2 ,100 ,1 ,1 ,2 ,2 ,2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0
00008 ,29 ,2 ,09 ,07 ,04 ,2 ,6.4 ,1 ,1 ,2 ,2 ,1 ,600000 ,09 ,100 ,15 ,1 ,1 ,1 ,2 ,2 ,1 ,1 ,2 ,2 ,2 ,2 ,1959 ,04 ,07 ,2 ,3 ,1 ,1 ,3000 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,6.8
00009 ,09 ,1 ,04 ,09 ,03 ,2 ,150 ,1 ,1 ,2 ,2 ,2 ,13750 ,04 ,100 ,90 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1933 ,03 ,09 ,2 ,3 ,2 ,0 ,  ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,160.49
00010 ,09 ,1 ,03 ,17 ,03 ,2 ,470.23 ,1 ,1 ,2 ,2 ,2 ,4150 ,02 ,100 ,80 ,1 ,2 ,2 ,2 ,2 ,2 ,1 ,2 ,2 ,2 ,1 ,1940 ,03 ,09 ,2 ,4 ,1 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,496.66
00011 ,20 ,1 ,02 ,11 ,07 ,4 ,1000 ,1 ,1 ,2 ,2 ,2 ,1200 ,02 ,100 ,0 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1 ,1977 ,07 ,11 ,2 ,3 ,2 ,0 ,  ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1065.46
00012 ,18 ,2 ,07 ,07 ,05 ,1 ,106.56 ,1 ,1 ,1 ,2 ,2 ,106000 ,07 ,100 ,100 ,1 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,3 ,1970 ,05 ,07 ,1 ,1 ,1 ,1 ,15000 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,106.56
00013 ,20 ,1 ,02 ,14 ,06 ,4 ,1427.03 ,1 ,1 ,2 ,2 ,2 ,1500 ,02 ,100 ,0 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1971 ,06 ,14 ,2 ,4 ,2 ,0 ,  ,1 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,1427.03
00014 ,13 ,1 ,10 ,07 ,03 ,3 ,30.6 ,1 ,2 ,2 ,2 ,2 ,1500000 ,10 ,25 ,25 ,1 ,2 ,2 ,1 ,2 ,1 ,2 ,2 ,2 ,2 ,6 ,1941 ,03 ,07 ,2 ,4 ,1 ,0 ,  ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,30.6
