BLDGID2        Building ID                                         
STR402         Half-sample stratum                                 
PAIR402        Half-sample pair number                             
SQFTC2         Square footage                             $SQFTC17.
BCWM2C         Principal activity                         $BCWOM25.
YRCONC2C       Year constructed                           $YRCONC15
REGION2        Census region                              $REGION13
XSECWT2        Cross-sectional weight                              
ELSUPL2N       Supplier reported electricity use          $YESNO15.
NGSUPL2N       Supplier reported natural gas use          $YESNO15.
FKSUPL2N       Supplier reported fuel oil use             $YESNO15.
STSUPL2N       Supplier reported steam use                $YESNO15.
PRSUPL2N       Supplier reported propane use              $YESNO15.
SQFT1T         Square footage (from 1979)                 SQFT15.  
SQFTC1T        Square footage (from 1979)                 $SQFTC17.
HEATP1T        Percent of building heated in 1979         MISS3CH15
COOLP1T        Percent air conditioned in 1979            MISS3CH15
ELUSED1T       Electricity reported in 1979               $YESNO15.
NGUSED1T       Natural gas reported in 1979               $YESNO15.
FKUSED1T       Fuel/kerosene reported in 1979             $YESNO15.
STUSED1T       Purchased steam reported in 1979           $YESNO15.
CWUSED1T       Purch. chilled water reported in 1979      $YESNO15.
COUSED1T       Coal reported in 1979                      $YESNO15.
PRUSED1T       Propane (LPG) reported in 1979             $YESNO15.
HWUSED1T       Purchased hot water reported in 1979       $YESNO15.
WOUSED1T       Wood reported in 1979                      $YESNO15.
SOUSED1T       Solar energy reported in 1979              $YESNO15.
NFLOOR1T       Number of floors (1979)                    NFLOOR15.
YRCON1T        Year constructed (1979)                    YEARFMT15
YRCONC1T       Year constructed (1979)                    $YRCONC15
BCWM1T         Principal activity (1979)                  $BCWOM25.
GLASP1T        Glass>=50% exterior (1979)                 $YESNO15.
GLASPC1T       Percent glass (1979)                       $GLASPC15
GLASS1T        Special glass (1979)                       $YESNO15.
NTANKS1T       Number of tanks (1979)                     MISS3CH15
TOTCAP1T       Total tank capacity (1979)                 MISS7CH15
IMPSF1T        Imp. square footage (1979)                 $YESNO15.
IMPNOF1T       Imp. no. of floors (1979)                  $YESNO15.
IMPYR1T        Imp. year constructed (1979)               $YESNO15.
IMPYRC1T       Imp. year category (1979)                  $YESNO15.
IMPPG1T        Imp. >=50% glass (1979)                    $YESNO15.
IMPPGC1T       Imp. percent glass (1979)                  $YESNO15.
IMPNFT1T       Imp. no. of tanks (1979)                   $YESNO15.
IMPCAP1T       Imp. tank capacity (1979)                  $YESNO15.
LONGWT2        Longitudinal weight                                 
