VARIABLE,VARIABLE LABEL,FILE NUMBER,VARIABLE ORDER IN FILE,FORMAT
SURVEY,Year Survey Conducted,3,1,Numeric
DOEID,4-digit identification number,3,2,Numeric
REGIONC,Census Region,3,3,Numeric
DIVISION,Census Division,3,4,Numeric
LRGSTATE,Four Largest States,3,5,Numeric
TYPEHUQ,Type of Home  (Respondent answer),3,6,Numeric
MQRESULT,Mail Questionnaire Codes,3,7,Numeric
NWEIGHT,The Final Weight,3,8,Numeric
HD65,Heat Deg-Days: Base65 01 TO 12-2005 (Inoculated),3,9,Numeric
CD65,Cool Deg-Days: Base65 01 TO 12-2005 (Inoculated),3,10,Numeric
ESDISHW,Is this an Energy-Star dishwasher,3,11,Numeric
CWASHER,Use a clothes washer in home,3,12,Numeric
TOPFRONT,Washing machine load from the top or from front,3,13,Numeric
WASHLOAD,How many loads of laundry are washed in a week,3,14,Numeric
WASHTEMP,Temperature setting for wash cycle of the washer,3,15,Numeric
RNSETEMP,Water temperature setting for rinse cycle,3,16,Numeric
AGECWASH,Age of clothes washer,3,17,Numeric
ESCWASH,Is this an Energy-Star clothes washer,3,18,Numeric
DRYER,Do you use a clothes dryer in home,3,19,Numeric
DRYRFUEL,What fuel does clothes dryer use,3,20,Numeric
DRYRUSE,How often use your clothes dryer,3,21,Numeric
AGECDRYER,Age of the clothes dryer,3,22,Numeric
WATERBED,Does your household use any waterbed heaters,3,23,Numeric
NOWTBDHT,How many waterbed heaters do you use,3,24,Numeric
WTBEDUSE,How many heaters are used all year round,3,25,Numeric
CFAN,Does your household use any ceiling fans,3,26,Numeric
NUMCFAN,How many ceiling fans does your household use,3,27,Numeric
USECFAN,How often is the most-used ceiling fan used,3,28,Numeric
SWIMPOOL,Does your own swimming pool with filtering system,3,29,Numeric
POOL,Is it a heated pool,3,30,Numeric
FUELPOOL,What fuel is used most often to heat pool water,3,31,Numeric
RECBATH,Does your home have a heated hot tub  spa,3,32,Numeric
FUELTUB,What fuel is used to the water in hot tub  spa,3,33,Numeric
H2OLAWNSYS,Does your home have a lawn watering system,3,34,Numeric
USEH2OLAWNSYS,How often is the lawn watering system used,3,35,Numeric
TVCOLOR,How many TV sets do you use in your home,3,36,Numeric
BIGTV,How many are large screen TV sets,3,37,Numeric
PLASMANUM,Number of plasma TV sets,3,38,Numeric
TVRECEP,TV connected into cable network or satellite dish,3,39,Numeric
TYPRECEP,Which are connected to  cable or satellite dish,3,40,Numeric
CBLCON,How the cable connected the TV,3,41,Numeric
VCR,How many VCR players in your home,3,42,Numeric
DVD,How many DVD players in your home,3,43,Numeric
COMBOVCRDVD,Have any combination VCR/DVD players,3,44,Numeric
NCOMBOVCRDVD,How many combination VCR/DVD players,3,45,Numeric
