HHID,NWEIGHT,REGIONC,DIVISION,ENERPGM,REBATPGM,LDCNTPGM,ENGAUPGM,CONSEPGM,OTHPGM,WAGES,SELFHIRE,SSECURTY,PENSIONS,FSTAMPS,AFDC,UNEMPLOY,SSI,OTHERAID,MONEYPY,INC35PLU,KNOWHEAP,HEATAID,COOLAID,LIFELINE,LIHEAPEM,FUELPAID,CASHAID,VOUCHERS,CHECK2PM,OTHERPMT,GOVTAMT,WEATHERZ,FAMSIZE,POOR100,POOR125,HOWPAID,LIHEAP
1001,16184,4,9,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,17,9,1,0,0,0,0,9,9,9,9,9,9999,0,4,0,0,1,0
1002,27302,4,9,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,13,9,1,0,0,0,0,9,9,9,9,9,9999,1,1,0,0,1,0
1003,16044,2,3,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,20,9,1,0,0,0,0,9,9,9,9,9,9999,0,3,0,0,1,0
1004,7295,2,4,0,9,9,9,9,9,1,0,0,0,0,0,0,0,1,05,1,1,1,0,0,0,1,0,0,0,0,300,0,2,1,1,1,1
1005,15218,4,8,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,19,9,0,0,0,0,0,9,9,9,9,9,9999,0,3,0,0,1,0
1006,13358,1,2,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,21,9,1,0,0,0,0,9,9,9,9,9,9999,0,3,0,0,1,0
1007,15710,4,9,0,9,9,9,9,9,0,1,0,0,0,0,0,0,0,15,9,1,0,0,0,0,9,9,9,9,9,9999,0,3,0,0,1,1
1008,15265,4,9,0,9,9,9,9,9,0,0,1,1,0,0,0,1,0,07,9,0,0,0,0,0,9,9,9,9,9,9999,0,1,0,0,4,1
1009,17889,2,3,0,9,9,9,9,9,0,0,1,1,0,0,0,0,0,04,1,0,0,0,0,0,9,9,9,9,9,9999,0,1,1,1,1,1
1010,26168,2,3,0,9,9,9,9,9,0,0,1,1,0,0,0,0,0,09,9,1,0,0,0,0,9,9,9,9,9,9999,0,1,0,0,3,1
1011,16610,1,2,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,25,9,9,9,9,9,9,9,9,9,9,9,9999,9,4,0,0,1,0
1012,22470,3,5,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,23,9,9,9,9,9,9,9,9,9,9,9,9999,9,6,0,0,3,0
1013,14363,1,1,0,9,9,9,9,9,0,1,1,0,0,0,0,0,0,22,9,9,9,9,9,9,9,9,9,9,9,9999,9,2,0,0,1,0
1014,18890,4,9,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,14,9,0,0,0,0,0,9,9,9,9,9,9999,0,1,0,0,1,0
1015,15398,1,2,0,9,9,9,9,9,0,1,0,0,0,0,0,0,0,03,7,1,0,0,0,0,9,9,9,9,9,9999,0,2,1,1,4,1
1016,12807,3,6,0,9,9,9,9,9,0,0,0,0,1,0,0,0,1,13,1,0,0,0,0,0,9,9,9,9,9,9999,0,2,0,0,1,0
1017,17920,2,3,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,20,9,1,0,0,0,0,9,9,9,9,9,9999,0,5,0,0,1,0
1018,23030,2,3,0,9,9,9,9,9,1,0,1,0,0,0,0,0,0,21,7,0,0,0,0,0,9,9,9,9,9,9999,0,2,0,0,3,0
1019,30795,1,2,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,23,9,9,9,9,9,9,9,9,9,9,9,9999,9,2,0,0,4,0
1020,7564,2,4,0,9,9,9,9,9,1,0,1,1,0,0,0,0,0,19,1,0,0,0,0,0,9,9,9,9,9,9999,0,2,0,0,1,0
1021,10089,4,8,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,22,9,9,9,9,9,9,9,9,9,9,9,9999,9,6,0,0,1,0
1022,18173,2,3,0,9,9,9,9,9,1,0,0,0,0,0,1,0,0,14,9,0,0,0,0,0,9,9,9,9,9,9999,0,2,0,0,1,0
1023,25662,1,2,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,09,9,1,0,0,0,0,9,9,9,9,9,9999,1,3,0,1,3,1
1024,17994,2,4,0,9,9,9,9,9,0,0,1,0,0,0,0,0,0,05,9,1,1,0,0,0,1,0,0,0,0,9996,0,1,0,1,1,1
1025,21487,4,8,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,22,9,9,9,9,9,9,9,9,9,9,9,9999,9,1,0,0,3,0
1026,30696,4,9,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,9,9,9,9,9,9999,0,3,0,0,3,1
1027,17920,2,3,0,9,9,9,9,9,0,0,1,1,0,0,0,0,0,02,9,0,0,0,0,0,9,9,9,9,9,9999,0,2,1,1,1,1
1028,16533,3,7,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,14,9,0,0,0,0,0,9,9,9,9,9,9999,0,3,0,0,1,1
1029,18175,4,9,0,9,9,9,9,9,0,0,1,0,0,0,0,0,0,10,1,0,0,0,0,0,9,9,9,9,9,9999,0,1,0,0,1,1
1030,19460,4,9,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,25,2,9,9,9,9,9,9,9,9,9,9,9999,9,1,0,0,3,0
1031,15319,2,4,0,9,9,9,9,9,0,0,1,0,0,0,0,0,0,05,9,0,0,0,0,0,9,9,9,9,9,9999,0,2,1,1,1,1
1032,11490,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,16,9,0,0,0,0,0,9,9,9,9,9,9999,0,2,0,0,1,0
1033,12657,3,6,0,9,9,9,9,9,1,0,0,0,1,1,0,0,0,03,9,0,0,0,0,0,9,9,9,9,9,9999,0,6,1,1,1,1
1034,17194,3,7,0,9,9,9,9,9,1,0,0,0,0,0,1,0,0,20,9,1,0,0,0,0,9,9,9,9,9,9999,0,8,0,0,1,1
1035,22641,2,3,0,9,9,9,9,9,0,0,1,1,0,0,0,0,0,15,9,0,0,0,0,0,9,9,9,9,9,9999,0,2,0,0,1,0
1036,15710,4,9,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,24,9,9,9,9,9,9,9,9,9,9,9,9999,9,2,0,0,1,0
1037,13358,1,2,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,21,9,1,0,0,0,0,9,9,9,9,9,9999,0,2,0,0,1,0
1038,17920,2,3,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,22,9,9,9,9,9,9,9,9,9,9,9,9999,9,4,0,0,1,0
1039,19695,3,5,0,9,9,9,9,9,0,0,0,0,1,0,0,0,1,03,9,1,0,0,0,0,9,9,9,9,9,9999,0,1,1,1,2,1
1040,10966,3,6,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,18,9,0,0,0,0,0,9,9,9,9,9,9999,0,3,0,0,1,0
1041,15485,2,3,0,9,9,9,9,9,0,0,1,1,0,0,0,0,0,14,9,1,0,0,0,0,9,9,9,9,9,9999,0,2,0,0,1,0
1042,18744,2,3,0,9,9,9,9,9,1,0,0,1,0,0,0,0,0,23,9,9,9,9,9,9,9,9,9,9,9,9999,9,2,0,0,1,0
1043,14168,4,9,0,9,9,9,9,9,1,1,0,0,0,0,0,0,0,25,9,9,9,9,9,9,9,9,9,9,9,9999,9,5,0,0,1,0
1044,22477,2,3,0,9,9,9,9,9,1,0,0,0,0,0,0,0,0,25,2,9,9,9,9,9,9,9,9,9,9,9999,9,3,0,0,1,0
1045,15710,4,9,0,9,9,9,9,9,0,0,1,1,0,0,0,0,0,23,2,9,9,9,9,9,9,9,9,9,9,9999,9,2,0,0,1,0
