"State Code","Year and State","GW From Gas Wells","Gross Withdr. From Oil ","Gross Withdr. From CoalBed ","Gross Withdr. From Shale Gas Wells ","Gross Withdr. Total","Repressuring","Vented Flared","Nonhydro Carbon","Marketed Prod.","NGPL Production","Dry Prod."
"US"
"US","2011 Total","12291070","5907919","1779055","8500983","28479026","3365313","209439","867922","24036352","1134473","22901879"
"US","2012 Total","12504227","4965833","1539395","10532858","29542313","3277588","212848","768598","25283278","1250012","24033266"
"US","2013 Total","10759545","5404699","1425783","11932524","29522551","3331456","260394","368469","25562232","1356709","24205523"
"US","2014 Total","10123418","5999955","1307072","13974936","31405381","3291091","293916","322620","27497754","1608148","25889605"
"US","2015 Total","9784840","6452680","1181320","15475887","32894727","3410693","278623","452477","28752935","1693432","27059503"
"US",""
"AL","Alabama Total","88109","8406","71735","0","168249","NA","NA","NA","168249","5813","162436"
"AL","Onshore","23925","8406","71735","0","104065","NA","NA","NA","104065","3402","100663"
"AL","State Offshore","64184","0","0","0","64184","NA","NA","NA","64184","2411","61773"
"AK","Alaska Total","97407","3077894","0","0","3175301","2826291","5477","0","343534","17468","326066"
"AK","Onshore","80946","2723698","0","0","2804644","2496471","4836","0","303337","17468","285869"
"AK","State Offshore","16462","354196","0","0","370657","329820","640","0","40197","0","40197"
"US",""
"AZ","Arizona             ","95","0","0","0","95","0","0","0","95","0","95"
"AR","Arkansas            ","96660","2870","0","910744","1010274","NA","NA","NA","1010274","551","1009723"
"CA","California Total","57031","66065","0","107964","231060","NA","NA","NA","231060","12470","218590"
"CA","Onshore","53473","56081","0","107964","217517","NA","NA","NA","217517","12344","205173"
"CA","State Offshore","454","4692","0","0","5146","NA","NA","NA","5146","7","5139"
"CA","Federal Offshore","3105","5292","0","0","8397","NA","NA","NA","8397","119","8278"
"US",""
"CO","Colorado            ","761886","236009","398298","308642","1704836","NA","NA","NA","1704836","104633","1600203"
"FL","Florida             ","69","5720","0","0","5790","5291","NA","NA","499","235","264"
"FX","Gulf of Mexico","668012","641368","0","0","1309380","4794","16290","0","1288296","74564","1213732"
"IL","Illinois            ","2080","0","0","0","2080","NA","NA","NA","2080","42","2038"
"IN","Indiana             ","7250","0","0","0","7250","NA","NA","NA","7250","0","7250"
"US",""
"KS","Kansas              ","261877","0","23359","0","285236","NA","NA","NA","285236","15056","270180"
"KY","Kentucky            ","85775","0","0","0","85775","NA","NA","NA","85775","6076","79699"
"LA","Louisiana Total","619242","44748","0","1120806","1784797","4248","3748","NA","1776800","41680","1735120"
"LA","Onshore","571633","39240","0","1120806","1731680","4248","3748","NA","1723683","37508","1686175"
"LA","State Offshore","47609","5508","0","0","53117","NA","NA","NA","53117","4172","48945"
"US",""
"MD","Maryland            ","27","0","0","0","27","0","0","0","27","0","27"
"MI","Michigan            ","12329","4796","0","90509","107634","NA","NA","NA","107634","1793","105841"
"MS","Mississippi         ","44868","9220","4119","0","58207","NA","NA","NA","58207","348","57859"
"MO","Missouri","1","0","0","0","1","0","0","0","1","0","1"
"MT","Montana             ","13571","23065","357","20428","57421","NA","NA","NA","57421","1730","55691"
"US",""
"NE","Nebraska            ","399","78","0","0","477","0","NA","NA","477","0","477"
"NV","Nevada              ","1","3","0","0","3","0","0","0","3","0","3"
"NM","New Mexico          ","472356","249366","287149","287587","1296458","26382","24850","416","1244811","93652","1151159"
"NY","New York            ","17609","220","0","0","17829","0","0","0","17829","0","17829"
"ND","North Dakota        ","25969","11515","0","547258","584743","NA","106590","6650","471504","89851","381653"
"US",""
"OH","Ohio                ","46237","32674","0","935937","1014848","NA","NA","NA","1014848","59490","955358"
"OK","Oklahoma            ","1573880","130482","35719","759519","2499599","NA","NA","NA","2499599","163365","2336234"
"OR","Oregon              ","848","0","0","0","848","0","0","0","848","0","848"
"PA","Pennsylvania        ","293325","2629","0","4517028","4812983","NA","NA","NA","4812983","53542","4759441"
"SD","South Dakota        ","14196","335","0","0","14531","NA","NA","NA","14531","19","14511"
"US",""
"TN","Tennessee           ","4276","0","0","0","4276","NA","NA","NA","4276","339","3937"
"TX","Texas Total","2316239","1801212","0","4683831","8801282","533047","113786","273920","7880530","809327","7071203"
"TX","Onshore","2307184","1800946","0","4683831","8791961","533047","113786","273920","7871209","808893","7062316"
"TX","State Offshore","9055","266","0","0","9321","0","NA","NA","9321","434","8887"
"UT","Utah                ","333232","45781","43612","676","423300","NA","NA","NA","423300","15298","408002"
"US",""
"VA","Virginia            ","10679","8","105838","11059","127584","NA","NA","NA","127584","0","127584"
"WV","West Virginia       ","174090","2018","0","1142714","1318822","NA","NA","NA","1318822","77539","1241283"
"WY","Wyoming             ","1685213","56197","211134","31186","1983731","10640","7883","171491","1793716","48552","1745165"
