"State Code","Year and State","State From Gas Wells","State From Oil Wells","State Total","Federal From Gas Wells","Federal From Oil Wells","Federal Total","Total Offshore"
"US"
"US","2011 Total","208970","340182","549151","1355489","512003","1867492","2416644"
"AL","Alabama             ","84270","0","84270","NA","NA","NA","84270"
"AK","Alaska              ","36202","328500","364702","0","0","0","364702"
"CA","California          ","259","4904","5163","1560","35020","36579","41742"
"FX","Gulf of Mexico","0","0","0","1353929","476984","1830913","1830913"
"LA","Louisiana           ","64448","6778","71226","NA","NA","NA","71226"
"TX","Texas               ","23791","0","23791","NA","NA","NA","23791"
"US",""
"US","2012 Total","204667","284838","489505","1028474","526664","1555138","2044643"
"AL","Alabama             ","87398","0","87398","0","0","0","87398"
"AK","Alaska              ","32875","274431","307306","0","0","0","307306"
"CA","California          ","640","4411","5051","14559","12703","27262","32313"
"FX","Gulf of Mexico","0","0","0","1013914","513961","1527875","1527875"
"LA","Louisiana           ","67801","5443","73244","0","0","0","73244"
"TX","Texas               ","15953","552","16506","0","0","0","16506"
"US",""
"US","2013 Total","186887","318431","505318","831636","522515","1354151","1859469"
"AL","Alabama             ","75660","0","75660","0","0","0","75660"
"AK","Alaska              ","27149","305253","332402","0","0","0","332402"
"CA","California          ","413","5057","5470","14296","13158","27454","32924"
"FX","Gulf of Mexico","0","0","0","817340","509357","1326697","1326697"
"LA","Louisiana           ","70015","7735","77750","0","0","0","77750"
"TX","Texas               ","13650","386","14036","0","0","0","14036"
"US",""
"US","2014 Total","158873","355418","514291","713722","576531","1290253","1804544"
"AL","Alabama             ","70829","0","70829","0","0","0","70829"
"AK","Alaska              ","22653","342482","365135","0","0","0","365135"
"CA","California          ","410","5395","5805","7007","7508","14515","20320"
"FX","Gulf of Mexico","0","0","0","706715","569023","1275738","1275738"
"LA","Louisiana           ","54080","7243","61322","0","0","0","61322"
"TX","Texas               ","10902","298","11200","0","0","0","11200"
"US",""
"US","2015 Total","137764","364661","502425","671117","646660","1317777","1820202"
"AL","Alabama             ","64184","0","64184","0","0","0","64184"
"AK","Alaska              ","16462","354196","370657","0","0","0","370657"
"CA","California          ","454","4692","5146","3105","5292","8397","13543"
"FX","Gulf of Mexico","0","0","0","668012","641368","1309380","1309380"
"LA","Louisiana           ","47609","5508","53117","0","0","0","53117"
"TX","Texas               ","9055","266","9321","0","0","0","9321"
