STATE CODE,,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015
US,,Oil Wells,Gas Wells,Oil Wells,Gas Wells,Oil Wells,Gas Wells,Oil Wells,Gas Wells,Oil Wells,Gas Wells
AL,Alabama             ,346,6243,367,6203,402,6174,436,6117,414,6044
AK,Alaska              ,2040,274,1981,281,2006,300,2042,338,2096,329
AZ,Arizona             ,1,5,1,4,1,3,0,6,1,6
AR,Arkansas            ,165,8428,174,9012,218,9324,233,9778,240,9965
CA,California          ,25958,4240,26061,4356,26542,4183,26835,4211,27075,4209
US,,,,,,,,,,,
CO,Colorado            ,5963,43792,6456,46141,6799,46883,7771,46876,7733,46322
FL,Florida,30,46,33,41,32,40,30,43,29,44
FX,Gulf of Mexico,3046,2226,3012,1892,3022,1588,3038,1377,2965,1163
IL,Illinois            ,NA,40,NA,40,NA,34,NA,36,NA,35
IN,Indiana             ,NA,914,NA,819,NA,921,NA,895,NA,899
US,,,,,,,,,,,
KS,Kansas              ,0,25362,0,25013,0,24802,0,24840,0,24451
KY,Kentucky            ,317,12708,358,13179,340,14557,NA,0,NA,NA
LA,Louisiana           ,5201,19318,5057,19345,5078,18802,5285,18660,4968,18382
MD,Maryland            ,0,7,0,7,0,7,0,5,0,7
MI,Michigan            ,510,10480,514,10381,537,10322,584,10246,532,9929
US,,,,,,,,,,,
MS,Mississippi         ,561,1703,618,1666,581,1632,540,1594,501,1560
MO,Missouri,1,19,1,15,1,7,1,6,NA,NA
MT,Montana             ,1956,6615,2147,6366,2268,5870,2377,5682,2277,5655
NE,Nebraska            ,84,307,73,299,54,246,51,109,51,140
NV,Nevada,4,0,4,0,4,0,4,1,4,1
US,,,,,,,,,,,
NM,New Mexico          ,12887,40231,13791,40441,14171,40119,14814,40244,14580,40596
NY,New York            ,988,7372,1170,7731,1589,7553,1731,7619,1697,7605
ND,North Dakota        ,5561,526,7379,451,9363,423,11532,398,12799,462
OH,Ohio                ,6775,31966,6745,31647,7038,30804,7257,31060,5941,26599
OK,Oklahoma            ,6723,51712,7360,51472,8744,50606,7105,50044,8368,49852
US,,,,,,,,,,,
OR,Oregon              ,0,28,0,24,0,24,0,12,0,14
PA,Pennsylvania        ,7046,61815,7627,62922,7164,61838,8481,67621,7557,68536
SD,South Dakota        ,72,155,69,159,74,133,68,128,65,124
TN,Tennessee           ,52,1027,75,1027,NA,1089,NA,0,NA,NA
TX,Texas               ,85030,139368,94203,140087,96949,140964,104205,142292,105159,142368
US,,,,,,,,,,,
UT,Utah                ,3119,7603,3520,8121,3946,8300,4249,8537,3966,8739
VA,Virginia            ,2,7781,1,7874,1,7956,2,8061,2,8111
WV,West Virginia       ,2373,51629,2509,51646,2675,50097,2606,53060,2244,47938
WY,Wyoming             ,4430,30653,4563,29254,4391,27141,4538,26055,4603,25279
US,,,,,,,,,,,
US,Total,181241,574593,195869,577916,203990,572742,215815,565951,215867,555364
