"Origin of Gas Processed","Location of Processing","Natural Gas Processed","Total Liquids Extracted","NGPL Production"
"US"
"AL","Alabama","66224","4327","5813"
"AL","Alabama Onshore                  Alabama","31198","2700","3402"
"AL","Alabama Offshore                 Alabama","35026","1627","2411"
"AK","Alaska","2729167","14987","17468"
"AK","Alaska Onshore                  Alaska","2729167","14987","17468"
"AK","Alaska Offshore                 Alaska","NA","NA","NA"
"AR","Arkansas","7084","427","551"
"AR","Arkansas","7084","427","551"
"CA","California","150561","9086","12470"
"CA","California Onshore                 California","143732","8993","12344"
"CA","California Offshore                 California","174","6","7"
"CA","Federal Offshore                    California","6655","87","119"
"CO","Colorado            ","1663095","73980","104633"
"CO","Colorado            ","1660386","73956","104600"
"CO","Kansas              ","34","1","1"
"CO","Utah","2675","23","31"
"FL","Florida","5526","173","235"
"FL","Florida","5526","173","235"
"FX","Gulf of Mexico","902550","51570","74564"
"FX","Alabama","116683","4714","6574"
"FX","Louisiana           ","569833","31859","46429"
"FX","Mississippi         ","118368","8953","13021"
"FX","Texas","97666","6044","8540"
"IL","Illinois","320","36","42"
"IL","Illinois","320","36","42"
"KS","Kansas              ","163788","10347","15056"
"KS","  Kansas              ","163693","10339","15043"
"KS","  Oklahoma            ","0","0","0"
"KS","  Texas               ","95","8","13"
"KY","Kentucky            ","75162","4363","6076"
"KY","  Kentucky            ","51724","3352","4677"
"KY","  West Virginia       ","23438","1011","1399"
"LA","Louisiana           ","930816","29275","41680"
"LA","Louisiana Onshore                 Louisiana","836914","26196","37168"
"LA","  Texas               ","4496","228","340"
"LA","Louisiana Offshore                 Louisiana","89406","2851","4172"
"MI","Michigan            ","16288","1565","1793"
"MI","Michigan            ","16288","1565","1793"
"MS","Mississippi         ","5770","257","348"
"MS","Mississippi         ","5770","257","348"
"MT","Montana             ","15146","1311","1730"
"MT","  Montana             ","12862","1028","1359"
"MT","  North Dakota        ","1647","259","344"
"MT","  Wyoming             ","637","24","27"
"NM","New Mexico          ","845333","64576","93652"
"NM","  New Mexico          ","817528","62130","90031"
"NM","  Texas               ","27805","2446","3621"
"ND","North Dakota        ","488365","63130","89851"
"ND","  Illinois","36709","1395","2075"
"ND","  North Dakota        ","451656","61735","87776"
"OH","Ohio","745715","45918","59490"
"OH","Ohio","603712","33495","46606"
"OH","  West Virginia","142003","12423","12884"
"OK","Oklahoma            ","1717757","118229","163365"
"OK","  Kansas              ","6134","317","466"
"OK","  Oklahoma            ","1696569","116601","160777"
"OK","  Texas               ","15054","1311","2122"
"PA","Pennsylvania        ","405787","37523","53542"
"PA","  Ohio","34780","2077","2967"
"PA","  Pennsylvania","246877","23501","33318"
"PA","  West Virginia       ","124130","11945","17257"
"SD","South Dakota","62","15","19"
"SD","  North Dakota        ","62","15","19"
"TN","Tennessee           ","4612","252","339"
"TN","Tennessee           ","4612","252","339"
"TX","Texas               ","6857885","567505","809327"
"TX","Texas Onshore                        Kansas","9085","237","345"
"TX","  Louisiana      ","6019","238","349"
"TX","  Oklahoma            ","66970","4348","6184"
"TX","  Texas               ","6768319","562386","802015"
"TX","Texas Offshore                        Louisiana","7492","296","434"
"TX","  Texas               ","NA","NA","NA"
"UT","Utah","386823","11165","15298"
"UT","  Utah                ","379487","10975","15051"
"UT","  Wyoming             ","7336","190","247"
"WV","West Virginia       ","1090383","56642","77539"
"WV","West Virginia       ","1090383","56642","77539"
"WY","Wyoming","1352224","35418","48552"
"WY","  Wyoming             ","1352224","35418","48552"
"US",""
"US","U.S.Total","20626443","1202077","1693432"
