"STATE CODE","","2011","2012","2013","2014","2015"
"US"
"US","Imports"
"US","Volume (million cubic feet)"
"US","Pipeline"
"CN","Canada              ","3117081","2962827","2785427","2634375","2625359"
"MX","Mexico              ","2672","314","1069","1426","933"
"US","Total Pipeline Imports","3119753","2963140","2786496","2635801","2626291"
"US","LNG by Truck"
"CN","Canada","0","0","555","132","437"
"US","LNG by Vessel"
"EG","Egypt","35120","2811","0","0","0"
"NG","Nigeria","2362","0","2590","0","0"
"NO","Norway","15175","6212","5627","5616","12194"
"PE","Peru","16620","0","0","0","0"
"QR","Qatar","90972","33823","7320","0","0"
"TD","Trinidad/Tobago","128620","112207","69744","42818","71439"
"YE","Yemen","60071","19595","11024","8006","7441"
"OO","Other","0","0","0","2703","0"
"US","Total LNG Imports","348939","174649","96859","59275","91511"
"US","CNG"
"CN","Canada","0","0","0","303","291"
"US","Total Imports","3468693","3137789","2883355","2695378","2718094"
"US",""
"US","Average Price (dollars per"
"US","thousand cubic feet)"
"US","Pipeline"
"CN","Canada              ","4.09","2.79","3.73","5.22","2.84"
"MX","Mexico              ","3.49","1.87","2.68","3.45","1.71"
"US","Total Pipeline Imports","4.09","2.79","3.73","5.22","2.84"
"US","LNG by Truck"
"CN","Canada","--","--","12.72","10.00","8.69"
"US","LNG by Vessel"
"EG","Egypt","5.85","2.52","--","--","--"
"NG","Nigeria","9.31","--","15.74","--","--"
"NO","Norway","5.97","2.83","14.85","4.47","8.56"
"PE","Peru","7.46","--","--","--","--"
"QR","Qatar","5.82","2.84","3.45","--","--"
"TD","Trinidad/Tobago","5.23","4.73","6.06","9.71","6.98"
"YE","Yemen","5.31","4.81","7.22","5.88","9.10"
"OO","Other","--","--","--","12.95","--"
"US","Total LNG Imports","5.63","4.27","6.80","8.85","7.37"
"US","CNG"
"CN","Canada","--","--","--","12.37","4.18"
"US","Total Imports","4.24","2.88","3.83","5.30","2.99"
