State Code,Entry Point,Volume,Price,Volume,Price,Volume,Price,Volume,Price,Volume,Price
US,,,,,,,,,,,
US,Pipeline (Canada),,,,,,,,,,
CN,"Eastport, ID",606099,3.9,634194,2.59,686449,3.34,608147,4.14,673531,2.34
CN,"Calais, ME",149736,4.4,76540,3.44,55248,4.86,79590,9.7,43070,11.22
CN,"Detroit, MI",19,5.17,0,--,165,4.44,188,5.26,0,--
CN,"Marysville, MI",9946,4.42,8099,2.99,2337,4.15,4650,6.86,1961,2.73
CN,"St. Clair, MI",5228,4.29,3531,2.64,6019,3.96,16409,8.8,9024,2.91
US,,,,,,,,,,,
CN,"Noyes, MN",544135,4.15,401717,2.86,238970,3.87,324613,5.59,229043,2.88
CN,"Warroad, MN",4551,4.17,4610,3.06,4835,3.94,3997,5.95,3968,3.32
CN,"Babb, MT",12807,3.98,15525,2.47,17235,3.13,17421,4.05,20708,2.34
CN,"Port of del Bonita, MT",265,4.21,257,2.85,241,3.46,200,4.39,206,2.16
CN,"Port of Morgan, MT",658934,3.75,730988,2.45,695152,3.23,518386,4.41,509242,2.4
US,,,,,,,,,,,
CN,"Sweetgrass, MT",781,3.77,716,2.41,1160,3.67,0,--,0,--
CN,"Whitlash, MT",7062,3.65,6571,2.35,5387,3.07,5128,4.04,4651,2.13
CN,"Pittsburg, NH",19826,5.45,47451,4.08,63446,6.63,52160,10.55,77866,5.18
CN,"Champlain, NY",8293,6.11,6766,4.5,7228,7.22,4922,13.6,4446,5.57
CN,"Grand Island, NY",47616,4.68,23000,3.01,5758,3.92,1413,9.8,4940,4.23
US,,,,,,,,,,,
CN,"Massena, NY",3965,6.55,3992,5.75,4147,6.04,3819,7.34,3049,5.65
CN,"Niagara Falls, NY",32770,4.68,3159,3.22,1650,4.04,2957,5.08,2539,3.2
CN,"Waddington, NY",231831,4.99,241506,3.87,214671,5.58,187219,8.54,175194,5
CN,"Crosby, ND",0,--,0,--,0,--,29,4.16,85,1.68
CN,"Portal, ND",10,6.29,8,5.66,12,4.03,0,--,0,--
CN,"Sherwood, ND",448967,4.04,433713,2.72,432497,3.59,433227,5.02,419749,2.39
US,,,,,,,,,,,
CN,"Sumas, WA",313922,3.96,312236,2.72,333050,3.62,359343,4.32,429642,2.36
CN,"Highgate Springs, VT",10319,5.81,8247,4.9,9769,5.33,10557,6.59,12445,5.2
