"State Code","State or Country StateFrom/To","Volume Receipts/ Imports From","Volume Deliveries/ Exports To","Volume Net(a"
"US"
"US","Alaska"
"AK","Japan","0","8262","-8262"
"AK","Taiwan","0","8257","-8257"
"AK","Total","0","16519","-16519"
"US",""
"US","Alabama"
"AL","Florida","0","1323505","-1323505"
"AL","Georgia","0","1411839","-1411839"
"AL","Gulf of Mexico","132831","0","132831"
"AL","Mississippi","3188910","397676","2791234"
"AL","New Jersey","0","72","-72"
"AL","Ohio","0","2","-2"
"AL","South Carolina","0","76","-76"
"AL","Tennessee","465025","2632","462393"
"AL","West Virginia","0","3","-3"
"AL","Total","3786766","3135805","650961"
"US",""
"US","Arizona"
"AZ","California","55631","954718","-899087"
"AZ","Colorado","1","0","1"
"AZ","Mexico","3659","95867","-92208"
"AZ","New Mexico","1345871","0","1345871"
"AZ","Utah","10","0","10"
"AZ","Total","1405172","1050585","354587"
"US",""
"US","Arkansas"
"AR","Louisiana","528313","136374","391939"
"AR","Mississippi","4171","1236278","-1232108"
"AR","Missouri","2169","427571","-425402"
"AR","Oklahoma","331781","0","331781"
"AR","Texas","231017","0","231017"
"AR","Total","1097450","1800224","-702773"
"US",""
"US","California"
"CA","Arizona","954718","55631","899087"
"CA","Colorado","2","0","2"
"CA","Hawaii","0","5","-5"
"CA","Mexico","0","124276","-124276"
"CA","Nevada","569688","39563","530125"
"CA","Oregon","727526","0","727526"
"CA","Utah","16","0","16"
"CA","Total","2251949","219476","2032474"
"US",""
"US","Colorado"
"CO","Arizona","0","1","-1"
"CO","California","0","2","-2"
"CO","Kansas","3192","203797","-200604"
"CO","Nebraska","639550","651143","-11592"
"CO","New Mexico","0","449651","-449651"
"CO","Oklahoma","0","107003","-107003"
"CO","Texas","0","2","-2"
"CO","Tennessee","1","0","1"
"CO","Utah","14667","42878","-28210"
"CO","Wyoming","675864","895233","-219369"
"CO","Total","1333274","2349708","-1016433"
"US",""
"US","Connecticut"
"CT","Massachusetts","3098","0","3098"
"CT","New York","561082","116027","445055"
"CT","Rhode Island","0","200407","-200407"
"CT","Total","564179","316434","247745"
"US",""
"US","Delaware"
"DE","Maryland","0","5205","-5205"
"DE","Pennsylvania","72391","0","72391"
"DE","Total","72391","5205","67186"
"US",""
"US","District of Columbia"
"DC","Maryland","22464","0","22464"
"DC","Virginia","8915","0","8915"
"DC","Total","31379","0","31379"
"US",""
"US","Florida"
"FL","Alabama","1323505","0","1323505"
"FL","Georgia","31205","0","31205"
"FL","Total","1354710","0","1354710"
"US",""
"US","Georgia"
"GA","Alabama","1411839","0","1411839"
"GA","Florida","0","31205","-31205"
"GA","South Carolina","36592","757441","-720848"
"GA","Tennessee","27099","10384","16715"
"GA","Trinidad/Tobago","11786","0","11786"
"GA","Total","1487316","799030","688286"
"US",""
"US","Gulf of Mexico"
"FX","Alabama","0","132831","-132831"
"FX","Louisiana","0","747007","-747007"
"FX","Mississippi","0","137096","-137096"
"FX","Texas","0","100229","-100229"
"FX","Total","0","1117163","-1117163"
"US",""
"US","Hawaii"
"HI","California","5","0","5"
"HI","Total","5","0","5"
"US",""
"US","Idaho"
"ID","Canada","673531","0","673531"
"ID","Nevada","0","27244","-27244"
"ID","Oregon","53135","0","53135"
"ID","Utah","50117","0","50117"
"ID","Washington","8793","652985","-644192"
"ID","Wyoming","158","0","158"
"ID","Total","785734","680228","105506"
"US",""
"US","Illinois"
"IL","Indiana","61990","1556742","-1494752"
"IL","Iowa","1406506","0","1406506"
"IL","Kentucky","291486","0","291486"
"IL","Missouri","1034716","443","1034274"
"IL","Wisconsin","0","316850","-316850"
"IL","Total","2794699","1874035","920663"
"US",""
"US","Indiana"
"IN","Illinois","1556742","61990","1494752"
"IN","Kentucky","266475","0","266475"
"IN","Michigan","183427","912779","-729352"
"IN","Massachusetts","0","32","-32"
"IN","Ohio","483035","807758","-324723"
"IN","Pennsylvania","0","45","-45"
"IN","West Virginia","0","83","-83"
"IN","Total","2489680","1782688","706992"
"US",""
"US","Iowa"
"IA","Illinois","0","1406506","-1406506"
"IA","Minnesota","1218829","341589","877240"
"IA","Missouri","191471","518","190954"
"IA","Nebraska","676985","0","676985"
"IA","South Dakota","141","3262","-3122"
"IA","Total","2087426","1751875","335551"
"US",""
"US","Kansas"
"KS","Colorado","203797","3192","200604"
"KS","Missouri","0","840490","-840490"
"KS","Nebraska","355115","752718","-397603"
"KS","Oklahoma","1100842","8905","1091937"
"KS","Texas","0","13","-13"
"KS","Total","1659754","1605318","54435"
"US",""
"US","Kentucky"
"KY","Illinois","0","291486","-291486"
"KY","Indiana","0","266475","-266475"
"KY","Ohio","791381","41443","749938"
"KY","Tennessee","791037","772738","18300"
"KY","Virginia","0","4364","-4364"
"KY","West Virginia","48094","121512","-73417"
"KY","Total","1630513","1498018","132494"
"US",""
"US","Louisiana"
"LA","Arkansas","136374","528313","-391939"
"LA","Gulf of Mexico","747007","0","747007"
"LA","Mississippi","73874","2912944","-2839070"
"LA","Texas","2116787","50569","2066218"
"LA","Trinidad/Tobago","8911","0","8911"
"LA","Total","3082954","3491826","-408873"
"US",""
"US","Maine"
"ME","Canada","43361","14242","29120"
"ME","New Hampshire","71857","50796","21061"
"ME","Total","115219","65038","50181"
"US",""
"US","Maryland"
"MD","District of Columbia","0","22464","-22464"
"MD","Delaware","5205","0","5205"
"MD","Norway","6202","0","6202"
"MD","Pennsylvania","340507","0","340507"
"MD","Trinidad/Tobago","5889","0","5889"
"MD","Virginia","67753","234727","-166974"
"MD","Total","425556","257191","168365"
"US",""
"US","Massachusetts"
"MA","Connecticut","0","3098","-3098"
"MA","Indiana","32","0","32"
"MA","New Hampshire","37074","55228","-18154"
"MA","New York","303279","0","303279"
"MA","Pennsylvania","183","0","183"
"MA","Rhode Island","148409","37972","110437"
"MA","Trinidad/Tobago","44852","0","44852"
"MA","Yemen","7441","0","7441"
"MA","Total","541270","96297","444972"
"US",""
"US","Michigan"
"MI","Canada","10985","490112","-479127"
"MI","Indiana","912779","183427","729352"
"MI","Ohio","660905","0","660905"
"MI","Wisconsin","142050","71066","70984"
"MI","Total","1726720","744605","982115"
"US",""
"US","Minnesota"
"MN","Canada","233011","6971","226040"
"MN","Iowa","341589","1218829","-877240"
"MN","North Dakota","525242","8668","516574"
"MN","South Dakota","770432","0","770432"
"MN","Wisconsin","13641","187549","-173908"
"MN","Total","1883915","1422016","461899"
"US",""
"US","Mississippi"
"MS","Alabama","397676","3188910","-2791234"
"MS","Arkansas","1236278","4171","1232108"
"MS","Gulf of Mexico","137096","0","137096"
"MS","Louisiana","2912944","73874","2839070"
"MS","Tennessee","29006","826444","-797438"
"MS","Total","4713000","4093398","619602"
"US",""
"US","Missouri"
"MO","Arkansas","427571","2169","425402"
"MO","Illinois","443","1034716","-1034274"
"MO","Iowa","518","191471","-190954"
"MO","Kansas","840490","0","840490"
"MO","Nebraska","194354","0","194354"
"MO","Oklahoma","10724","0","10724"
"MO","Total","1474100","1228357","245743"
"US",""
"US","Montana"
"MT","Canada","534807","35","534772"
"MT","North Dakota","14605","572007","-557402"
"MT","Wyoming","61184","12778","48406"
"MT","Total","610596","584819","25776"
"US",""
"US","Nebraska"
"NE","Colorado","651143","639550","11592"
"NE","Iowa","0","676985","-676985"
"NE","Kansas","752718","355115","397603"
"NE","Missouri","0","194354","-194354"
"NE","South Dakota","0","17571","-17571"
"NE","Wyoming","653594","0","653594"
"NE","Total","2057454","1883576","173879"
"US",""
"US","Nevada"
"NV","California","39563","569688","-530125"
"NV","Idaho","27244","0","27244"
"NV","Oregon","0","277368","-277368"
"NV","Utah","1072889","0","1072889"
"NV","Wyoming","25","0","25"
"NV","Total","1139721","847056","292665"
"US",""
"US","New Hampshire"
"NH","Canada","77866","735","77131"
"NH","Maine","50796","71857","-21061"
"NH","Massachusetts","55228","37074","18154"
"NH","Total","183890","109666","74224"
"US",""
