"State Code","State","Und. Storage Injections","Und. Storage Withdrawals","Und. Storage Net","LNG Storage Additions","LNG Storage Withdrawals","LNG Storage Net","Net Change in Storage"
"US"
"AL","Alabama             ","33004","29187","3817","1356","1130","226","4043"
"AK","Alaska","9161","9943","-782","0","0","0","-782"
"AR","Arkansas            ","3318","2272","1046","20","55","-35","1011"
"CA","California          ","206774","204077","2698","54","51","2","2700"
"CO","Colorado            ","69983","64053","5930","0","0","0","5930"
"US",""
"CT","Connecticut         ","0","0","0","1252","1810","-558","-558"
"DE","Delaware            ","0","0","0","115","131","-17","-17"
"GA","Georgia             ","0","0","0","7165","3339","3826","3826"
"ID","Idaho               ","0","0","0","260","117","143","143"
"IL","Illinois            ","247839","237236","10603","667","230","437","11040"
"US",""
"IN","Indiana             ","20542","16130","4411","1035","830","205","4616"
"IA","Iowa                ","71767","66812","4955","1827","1280","546","5502"
"KS","Kansas              ","110950","99796","11154","0","0","0","11154"
"KY","Kentucky","80247","62694","17554","0","0","0","17554"
"LA","Louisiana           ","389137","300900","88237","0","23","-23","88214"
"US",""
"ME","Maine               ","0","0","0","56","55","*","*"
"MD","Maryland            ","17373","16068","1304","467","463","4","1308"
"MA","Massachusetts       ","0","0","0","9311","9733","-422","-422"
"MI","Michigan            ","543203","455481","87722","0","0","0","87722"
"MN","Minnesota           ","1044","966","78","2414","1868","546","625"
"US",""
"MS","Mississippi         ","202642","174763","27879","0","0","0","27879"
"MO","Missouri            ","2973","2387","586","0","0","0","586"
"MT","Montana             ","19826","16628","3197","0","0","0","3197"
"NE","Nebraska            ","8058","7272","786","611","377","234","1020"
"NV","Nevada              ","0","0","0","101","100","1","1"
"US",""
"NH","New Hampshire       ","0","0","0","240","241","*","*"
"NJ","New Jersey          ","0","0","0","5997","4452","1545","1545"
"NM","New Mexico          ","26085","6188","19897","0","0","0","19897"
"NY","New York            ","87575","71653","15923","1797","2135","-338","15585"
"NC","North Carolina      ","0","0","0","7617","6917","700","700"
"US",""
"OH","Ohio                ","172435","139410","33025","0","0","0","33025"
"OK","Oklahoma            ","154368","121972","32397","0","0","0","32397"
"OR","Oregon              ","9061","9536","-474","151","321","-170","-645"
"PA","Pennsylvania        ","379906","338796","41111","4333","4345","-11","41099"
"RI","Rhode Island        ","0","0","0","889","864","25","25"
"US",""
"SC","South Carolina","0","0","0","902","916","-14","-14"
"TN","Tennessee           ","665","212","453","8112","7463","648","1102"
"TX","Texas               ","494375","402845","91530","0","0","0","91530"
"UT","Utah                ","36027","27954","8073","0","0","0","8073"
"VA","Virginia            ","12930","12462","468","1217","1115","101","569"
"US",""
"WA","Washington          ","25789","30335","-4545","467","668","-201","-4747"
"WV","West Virginia       ","191719","163568","28151","0","0","0","28151"
"WI","Wisconsin           ","0","0","0","66","96","-29","-29"
"WY","Wyoming             ","10236","8998","1237","0","0","0","1237"
"US",""
"US","Total","3639015","3100594","538421","58498","51127","7371","545792"
