"State Code","State","Salt Dome Active Fields","Salt Dome Gas Capacity","Salt Total Capacity","Aquifers","Aquifers Gas Capacity","Aquifer Total Capacity","Depleted Fields","Depleted Gas Capacity","Depleted Total Capacity","Total Fields","Total Gas Capacity","Total Capacity"
"US"
"AL","Alabama             ","1","21950","30100","0","0","0","1","11200","13500","2","33150","43600"
"AK","Alaska","0","0","0","0","0","0","5","67915","83592","5","67915","83592"
"AR","Arkansas            ","0","0","0","0","0","0","2","12178","21853","2","12178","21853"
"CA","California          ","0","0","0","1","10000","12000","13","365496","589808","14","375496","601808"
"CO","Colorado            ","0","0","0","0","0","0","10","63774","130186","10","63774","130186"
"US",""
"IL","Illinois            ","0","0","0","19","291845","978155","9","11768","25944","28","303613","1004100"
"IN","Indiana             ","0","0","0","12","20048","81578","9","13545","30003","21","33592","111581"
"IA","Iowa                ","0","0","0","4","90313","288210","0","0","0","4","90313","288210"
"KS","Kansas              ","0","0","0","0","0","0","17","122980","282984","17","122980","282984"
"KY","Kentucky            ","0","0","0","2","4619","6567","21","102952","215155","23","107571","221722"
"US",""
"LA","Louisiana           ","11","165150","228967","0","0","0","8","292380","520900","19","457530","749867"
"MD","Maryland            ","0","0","0","0","0","0","1","18300","64000","1","18300","64000"
"MI","Michigan            ","2","2159","3834","0","0","0","42","683567","1067797","44","685726","1071630"
"MN","Minnesota           ","0","0","0","1","2000","7000","0","0","0","1","2000","7000"
"MS","Mississippi         ","6","131870","183843","0","0","0","6","69517","147969","12","201388","331812"
"US",""
"MO","Missouri            ","0","0","0","1","6000","13845","0","0","0","1","6000","13845"
"MT","Montana             ","0","0","0","0","0","0","5","197501","376301","5","197501","376301"
"NE","Nebraska            ","0","0","0","0","0","0","1","12653","34850","1","12653","34850"
"NM","New Mexico          ","0","0","0","0","0","0","2","59738","89100","2","59738","89100"
"NY","New York            ","1","1450","2340","0","0","0","25","125421","243439","26","126871","245779"
"US",""
"OH","Ohio                ","0","0","0","0","0","0","24","230828","575794","24","230828","575794"
"OK","Oklahoma            ","0","0","0","1","31","170","12","191425","374973","13","191455","375143"
"OR","Oregon              ","0","0","0","0","0","0","7","15935","29565","7","15935","29565"
"PA","Pennsylvania        ","0","0","0","1","938","0","48","428858","771422","49","429796","771422"
"TN","Tennessee","0","0","0","0","0","0","2","1800","2400","2","1800","2400"
"US",""
"TX","Texas               ","17","167397","254096","0","0","0","19","367143","580870","36","534539","834965"
"UT","Utah                ","0","0","0","2","992","4309","1","53950","120200","3","54942","124509"
"VA","Virginia            ","1","4000","6200","0","0","0","1","1400","3300","2","5400","9500"
"WA","Washington","0","0","0","1","24600","46900","0","0","0","1","24600","46900"
"WV","West Virginia       ","0","0","0","1","66","200","30","259315","528637","31","259381","528837"
"WY","Wyoming             ","0","0","0","1","836","6705","8","72869","151280","9","73705","157985"
"US",""
"US","Total","39","493976","709380","47","452287","1445639","329","3854408","7075821","415","4800671","9230840"
