"State Code","Year and State","Delivered to Consumers","Lease Fuel","Plant Fuel","Pipeline Fuel","Total Consumption"
"US"
"US","2011 Total","22467053","938340","384248","687784","24477425"
"US","2012 Total","23411423","987957","408316","730790","25538486"
"US","2013 Total","23838925","1068289","414796","833061","26155071"
"US","2014 Total","24381082","1086905","425238","700150","26593375"
"US","2015 Total","25053530","1152946","433595","666214","27306285"
"US",""
"AL","Alabama             ","642961","8762","6436","18433","676592"
"AK","Alaska              ","69642","226419","37615","615","334291"
"AZ","Arizona             ","337347","9","0","15228","352584"
"AR","Arkansas            ","274727","5821","783","8795","290125"
"CA","California          ","2247961","42643","1861","17295","2309759"
"US",""
"CO","Colorado            ","348183","76082","35981","8929","469175"
"CT","Connecticut         ","248366","0","0","5103","253469"
"DE","Delaware            ","100842","0","0","1126","101968"
"DC","District of Columbia","31502","0","0","817","32320"
"FL","Florida             ","1334385","NA","265","3170","1337820"
"US",""
"GA","Georgia             ","684971","0","0","7296","692267"
"FX","Gulf of Mexico","0","95486","0","0","95486"
"HI","Hawaii              ","2922","0","0","*","2922"
"ID","Idaho               ","99811","0","0","5012","104823"
"IL","Illinois            ","966018","93","310","26564","992985"
"US",""
"IN","Indiana             ","710564","384","0","7071","718019"
"IA","Iowa                ","308324","0","0","10923","319247"
"KS","Kansas              ","216014","14065","2052","20888","253018"
"KY","Kentucky            ","252877","4423","178","11385","268863"
"LA","Louisiana           ","1357572","39294","34488","34141","1465495"
"US",""
"ME","Maine               ","51191","0","0","999","52190"
"MD","Maryland            ","207716","0","0","7190","214906"
"MA","Massachusetts       ","433907","0","0","10356","444263"
"MI","Michigan            ","826917","5479","839","19668","852903"
"MN","Minnesota           ","422112","0","0","10158","432270"
"US",""
"MS","Mississippi         ","496388","807","1286","20794","519276"
"MO","Missouri            ","262812","0","0","6386","269198"
"MT","Montana             ","67159","2572","639","3646","74016"
"NE","Nebraska            ","154420","73","0","7059","161552"
"NV","Nevada              ","292860","3","0","4563","297426"
"US",""
"NH","New Hampshire       ","68609","0","0","99","68707"
"NJ","New Jersey          ","746777","0","0","6376","753153"
"NM","New Mexico          ","154224","50478","36789","8640","250131"
"NY","New York            ","1326168","285","0","31703","1358156"
"NC","North Carolina      ","493801","0","0","4340","498141"
"US",""
"ND","North Dakota        ","58201","12048","8079","14302","92630"
"OH","Ohio                ","938930","8641","3464","19831","970867"
"OK","Oklahoma            ","541224","54823","37692","46966","680705"
"OR","Oregon              ","232158","31","0","4558","236747"
"PA","Pennsylvania        ","1068687","170424","3478","43059","1285649"
"US",""
"RI","Rhode Island        ","90891","0","0","3106","93997"
"SC","South Carolina      ","270601","0","0","2534","273136"
"SD","South Dakota        ","73362","759","0","5872","79992"
"TN","Tennessee           ","305092","225","125","7936","313377"
"TX","Texas               ","3639217","223817","183429","93088","4139551"
"US",""
"UT","Utah                ","187605","23118","5409","14000","230131"
"VT","Vermont             ","11814","0","0","136","11950"
"VA","Virginia            ","484734","6584","0","7945","499263"
"WA","Washington          ","296358","0","0","12020","308378"
"WV","West Virginia       ","86593","52434","7685","29063","175775"
"US",""
"WI","Wisconsin           ","455096","0","0","3387","458482"
"WY","Wyoming             ","72916","26865","24712","13646","138139"
