"State Code","State","Deliv. Account Others","% Total Comm. Deliv.","Deliv. Others","% Comm. Deliv.","Deliv. Others","% Comm. Deliv.","Deliv. Others","% Comm. Deliv.","Deliv. Others","% Comm. Deliv."
"US"
"AL","Alabama             ","0","--","0","--","0","--","0","--","0","--"
"AK","Alaska              ","0","--","0","--","0","--","0","--","0","--"
"AZ","Arizona             ","2","<","2","<","3","<","2","<","2","<"
"AR","Arkansas            ","0","--","0","--","0","--","0","--","0","--"
"CA","California          ","8769","1.7","12108","2.5","18795","3.9","20703","5.2","20450","5.1"
"US",""
"CO","Colorado            ","18","<","16","<","19","<","18","<","12","<"
"CT","Connecticut         ","1438","3.2","1364","3.3","2199","4.7","2096","4.1","1891","3.7"
"DE","Delaware            ","0","--","0","--","0","--","0","--","0","--"
"DC","District of Columbia","3099","25.0","2934","26.1","3302","25.0","3735","26.2","3609","26.7"
"FL","Florida             ","328","2.0","331","2.3","333","2.2","358","2.2","344","2.3"
"US",""
"GA","Georgia             ","96263","84.9","84475","86.5","104674","86.1","115603","86.0","102036","86.5"
"ID","Idaho               ","0","--","0","--","0","--","0","--","0","--"
"IL","Illinois            ","50373","12.0","43538","12.1","55830","12.3","60750","12.7","54983","13.7"
"IN","Indiana             ","7072","5.4","6375","5.5","7186","5.0","7412","4.7","5633","4.2"
"IA","Iowa                ","0","--","0","--","0","--","0","--","0","--"
"US",""
"KS","Kansas              ","0","--","3","<","4","<","4","<","7","<"
"KY","Kentucky            ","2279","4.5","1772","4.1","2060","3.8","2148","3.7","1812","3.7"
"LA","Louisiana           ","0","--","0","--","0","--","0","--","0","--"
"ME","Maine               ","0","--","0","--","0","--","0","--","0","--"
"MD","Maryland            ","16119","20.7","16189","23.0","21457","25.7","24643","27.2","22658","27.3"
"US",""
"MA","Massachusetts       ","13779","10.7","14056","12.2","525","0.4","673","0.5","717","0.6"
"MI","Michigan            ","25037","7.9","23162","8.4","27948","8.4","27703","7.8","22369","7.2"
"MN","Minnesota           ","0","--","0","--","0","--","0","--","0","--"
"MS","Mississippi         ","133","0.5","101","0.5","125","0.5","0","--","0","--"
"MO","Missouri            ","0","--","0","--","0","--","0","--","0","--"
"US",""
"MT","Montana             ","34","0.2","29","0.2","31","0.1","38","0.2","49","0.3"
"NE","Nebraska            ","5047","12.7","4440","14.2","5136","12.5","5138","12.2","4216","12.2"
"NV","Nevada              ","0","--","0","--","0","--","0","--","0","--"
"NH","New Hampshire       ","0","--","0","--","0","--","0","--","0","--"
"NJ","New Jersey          ","11520","5.4","13754","7.2","22452","9.9","22978","9.3","15626","6.6"
"US",""
"NM","New Mexico          ","6","<","8","<","10","<","11","<","11","<"
"NY","New York            ","108666","27.6","103013","28.8","123774","29.7","135207","29.5","130710","28.9"
"NC","North Carolina      ","0","--","0","--","0","--","0","--","0","--"
"ND","North Dakota        ","0","--","0","--","0","--","0","--","0","--"
"OH","Ohio                ","169345","59.2","173395","69.1","238498","80.2","256394","80.0","228054","79.9"
"US",""
"OK","Oklahoma            ","0","--","0","--","0","--","0","--","0","--"
"OR","Oregon              ","0","--","0","--","0","--","0","--","0","--"
"PA","Pennsylvania        ","19374","8.8","22422","11.4","29545","12.7","35043","13.8","32012","13.6"
"RI","Rhode Island        ","0","--","0","--","0","--","0","--","0","--"
"SC","South Carolina      ","0","--","0","--","0","--","0","--","0","--"
"US",""
"SD","South Dakota        ","0","--","0","--","0","--","0","--","0","--"
"TN","Tennessee           ","0","--","0","--","0","--","0","--","0","--"
"TX","Texas               ","622","0.3","568","0.3","527","0.3","481","0.2","387","0.2"
"UT","Utah                ","0","--","0","--","0","--","0","--","0","--"
"VA","Virginia            ","7882","9.9","7402","10.5","8655","10.1","9211","9.9","8973","10.5"
"US",""
"WA","Washington          ","0","--","0","--","0","--","0","--","0","--"
"WV","West Virginia       ","1","<","0","<","0","<","0","<","0","<"
"WI","Wisconsin           ","0","--","0","--","0","--","0","--","0","--"
"WY","Wyoming             ","3238","24.4","2844","24.7","3569","26.2","3593","27.1","3128","27.0"
"US",""
"US","Total","550444","11.7","534298","12.9","676657","13.8","733941","14.4","659689","14.3"
