"State Code","State","Deliv. Account Others","% Total Ind. Deliv.","Deliv. Others","% Ind. Deliv.","Deliv. Others","% Ind. Deliv.","Deliv. Others","% Ind. Deliv.","Deliv. Others","% Ind. Deliv."
"US"
"AL","Alabama             ","117277","76.5","133765","77.9","137103","76.4","143849","76.7","143569","76.8"
"AK","Alaska              ","2657","39.2","0","--","3698","91.0","0","--","0","--"
"AZ","Arizona             ","16469","75.8","17800","78.6","18486","83.4","19612","87.2","17185","84.2"
"AR","Arkansas            ","83671","97.9","80090","98.2","85595","98.3","87179","98.2","83837","98.3"
"CA","California          ","674420","95.5","704680","95.8","744986","96.0","759369","96.3","747210","96.2"
"US",""
"CO","Colorado            ","68813","92.5","68042","93.2","72659","92.8","72330","92.3","72685","92.4"
"CT","Connecticut         ","18120","69.0","18233","67.7","19949","66.6","17200","60.6","13489","52.7"
"DE","Delaware            ","19436","98.4","28644","99.7","32057","99.7","30899","99.7","33028","99.7"
"FL","Florida             ","82885","97.0","95481","97.3","94688","96.8","91213","96.5","92888","96.6"
"GA","Georgia             ","118563","81.8","117147","80.0","128062","81.1","128672","80.0","124733","79.0"
"US",""
"ID","Idaho               ","24874","98.0","29224","98.1","27308","97.5","27249","97.2","30909","97.6"
"IL","Illinois            ","260894","93.7","255714","94.0","269206","93.2","275375","93.6","249648","93.9"
"IN","Indiana             ","315055","96.5","338258","98.1","349462","98.0","367876","97.9","365346","98.1"
"IA","Iowa                ","158015","94.5","160189","94.8","163807","94.4","164957","95.8","172481","96.5"
"KS","Kansas              ","102584","90.5","103631","90.3","105902","90.7","108408","91.4","101112","91.1"
"US",""
"KY","Kentucky            ","85324","82.4","86729","82.2","90102","81.7","96496","82.7","97152","83.8"
"LA","Louisiana           ","764547","86.3","815132","85.3","800371","85.8","928837","96.8","919579","96.9"
"ME","Maine               ","27589","99.5","30118","99.6","32020","99.1","23674","98.1","19853","94.7"
"MD","Maryland            ","20042","94.5","16729","94.9","13032","93.2","13656","92.7","13644","92.4"
"MA","Massachusetts       ","37810","79.4","36173","82.3","38137","81.7","35435","77.7","32701","73.4"
"US",""
"MI","Michigan            ","137020","90.7","146934","92.6","158110","92.6","167096","92.4","159276","93.0"
"MN","Minnesota           ","127364","80.7","131416","82.2","129344","80.5","142437","82.1","132972","84.5"
"MS","Mississippi         ","102034","90.3","101237","90.4","102074","89.4","106268","90.1","110355","90.6"
"MO","Missouri            ","54631","86.6","54703","87.5","54454","86.1","57742","86.0","57508","87.5"
"MT","Montana             ","19135","98.7","18132","99.0","19121","98.8","21775","98.6","20843","98.5"
"US",""
"NE","Nebraska            ","79595","92.4","79591","93.2","81294","92.2","80482","92.6","79556","92.9"
"NV","Nevada              ","9108","82.2","9548","84.5","11134","84.3","14213","86.5","15554","87.8"
"NH","New Hampshire       ","6326","89.3","6376","91.0","7280","92.5","7682","90.8","7574","90.3"
"NJ","New Jersey          ","45797","91.8","51226","93.5","57725","93.9","57456","93.4","51582","93.2"
"NM","New Mexico          ","18405","89.8","18028","92.1","17282","92.0","17551","91.9","16509","92.0"
"US",""
"NY","New York            ","69216","92.1","69125","93.2","74769","93.7","79099","93.9","77911","93.8"
"NC","North Carolina      ","89513","90.3","93123","91.2","99519","90.8","96867","89.8","93828","89.3"
"ND","North Dakota        ","17721","62.6","17433","65.3","17278","62.1","18128","65.3","19380","61.2"
"OH","Ohio                ","262702","98.0","260139","98.4","267983","97.8","297426","98.0","270467","98.0"
"OK","Oklahoma            ","191810","99.4","183057","99.5","179502","99.3","182473","99.2","183427","99.4"
"US",""
"OR","Oregon              ","47207","82.9","47895","83.3","47690","83.1","46799","82.8","45842","83.5"
"PA","Pennsylvania        ","195547","98.0","197610","98.7","212712","98.7","234141","98.8","238799","99.0"
"RI","Rhode Island        ","7018","94.0","7345","93.7","7424","91.0","7357","91.9","8156","94.6"
"SC","South Carolina      ","42026","54.6","44529","54.9","45587","54.4","46989","56.3","48451","57.4"
"SD","South Dakota        ","38776","95.3","38689","95.7","41767","94.8","42158","95.4","42146","95.6"
"US",""
"TN","Tennessee           ","74878","70.3","74139","70.6","77689","70.3","81862","70.0","80649","70.3"
"TX","Texas               ","892918","61.0","925514","60.6","900887","58.3","946640","59.7","941393","58.9"
"UT","Utah                ","29357","87.3","32334","89.0","33783","88.9","34829","90.9","34413","92.5"
"VT","Vermont             ","538","19.1","0","--","0","--","0","--","0","--"
"VA","Virginia            ","57142","86.4","63719","89.1","68156","89.7","72027","88.9","77919","89.8"
"US",""
"WA","Washington          ","70543","92.5","72469","92.7","75504","93.3","74239","93.5","71878","93.8"
"WV","West Virginia       ","21478","84.4","22537","83.7","21954","82.0","23467","84.4","21788","84.1"
"WI","Wisconsin           ","104268","82.2","102447","82.4","110518","81.2","113845","80.4","113721","83.2"
"WY","Wyoming             ","44995","99.0","50731","99.1","47790","98.8","46531","98.7","46763","98.1"
"US",""
"US","Total","5856115","83.7","6055805","83.8","6194960","83.4","6509864","85.1","6399710","84.9"
