"State Code","State","Sales","Transported","Total","Sales","Transported","Total"
"US"
"AL","Alabama             ","2973","271","3244","3031","269","3300"
"AK","Alaska              ","1","0","1","4","0","4"
"AZ","Arizona             ","256","130","386","253","147","400"
"AR","Arkansas            ","531","478","1009","538","485","1023"
"CA","California          ","32266","5282","37548","31771","5083","36854"
"US",""
"CO","Colorado            ","986","6837","7823","1018","7080","8098"
"CT","Connecticut         ","3340","877","4217","3335","610","3945"
"DE","Delaware            ","28","113","141","29","115","144"
"FL","Florida             ","165","355","520","152","327","479"
"GA","Georgia             ","887","1594","2481","951","1597","2548"
"US",""
"HI","Hawaii              ","23","0","23","25","0","25"
"ID","Idaho               ","115","74","189","117","70","187"
"IL","Illinois            ","14703","9126","23829","14541","8508","23049"
"IN","Indiana             ","2617","2481","5098","2588","2507","5095"
"IA","Iowa                ","1134","438","1572","1130","442","1572"
"US",""
"KS","Kansas              ","4016","3312","7328","3920","3298","7218"
"KY","Kentucky            ","1435","573","2008","1462","579","2041"
"LA","Louisiana           ","527","356","883","487","358","845"
"ME","Maine               ","50","76","126","62","74","136"
"MD","Maryland            ","776","403","1179","766","403","1169"
"US",""
"MA","Massachusetts       ","6396","4550","10946","6856","4410","11266"
"MI","Michigan            ","6712","1444","8156","6475","1456","7931"
"MN","Minnesota           ","1604","276","1880","1580","288","1868"
"MS","Mississippi         ","814","129","943","802","128","930"
"MO","Missouri            ","2849","648","3497","2504","728","3232"
"US",""
"MT","Montana             ","285","84","369","283","83","366"
"NE","Nebraska            ","714","8077","8791","717","8151","8868"
"NV","Nevada              ","183","36","219","179","36","215"
"NH","New Hampshire       ","55","138","193","48","145","193"
"NJ","New Jersey          ","5368","1789","7157","5391","1628","7019"
"US",""
"NM","New Mexico          ","66","52","118","62","54","116"
"NY","New York            ","3658","2655","6313","3456","2574","6030"
"NC","North Carolina      ","1668","928","2596","1716","908","2624"
"ND","North Dakota        ","210","59","269","223","63","286"
"OH","Ohio                ","1714","4812","6526","1736","4766","6502"
"US",""
"OK","Oklahoma            ","1312","1750","3062","1296","1763","3059"
"OR","Oregon              ","839","260","1099","853","264","1117"
"PA","Pennsylvania        ","2071","3013","5084","1890","3042","4932"
"RI","Rhode Island        ","62","204","266","48","212","260"
"SC","South Carolina      ","1215","227","1442","1219","219","1438"
"US",""
"SD","South Dakota        ","452","123","575","449","129","578"
"TN","Tennessee           ","2178","417","2595","2228","423","2651"
"TX","Texas               ","5760","2638","8398","4598","2057","6655"
"UT","Utah                ","176","150","326","157","163","320"
"VT","Vermont             ","13","0","13","14","0","14"
"US",""
"VA","Virginia            ","829","294","1123","823","295","1118"
"WA","Washington          ","3003","352","3355","3038","347","3385"
"WV","West Virginia       ","36","56","92","41","60","101"
"WI","Wisconsin           ","5374","1626","7000","5519","1761","7280"
"WY","Wyoming             ","57","74","131","45","54","99"
"US",""
"US","Total","122502","69637","192139","120426","68159","188585"
