"US","State","Average Price","Average Price","Average Price","Average Price","Average Price"
"US"
"AL","Alabama             ","5.80","5.18","4.65","4.93","3.91"
"AK","Alaska              ","6.53","6.14","6.02","6.34","6.57"
"AZ","Arizona             ","5.91","4.68","4.73","5.20","4.38"
"AR","Arkansas            ","6.27","5.36","4.99","5.84","4.77"
"CA","California          ","4.47","3.46","4.18","4.88","3.27"
"US",""
"CO","Colorado            ","4.94","4.26","4.76","5.42","3.98"
"CT","Connecticut         ","5.92","5.12","5.42","5.61","4.07"
"DE","Delaware            ","9.03","7.19","5.67","5.54","5.87"
"FL","Florida             ","5.07","3.93","4.44","5.05","4.75"
"GA","Georgia             ","5.19","4.35","4.66","5.19","3.83"
"US",""
"HI","Hawaii              ","31.58","32.39","28.45","26.94","18.11"
"ID","Idaho               ","4.65","4.07","3.93","4.29","3.95"
"IL","Illinois            ","5.09","4.11","4.43","6.28","3.82"
"IN","Indiana             ","4.97","4.23","4.38","5.63","4.03"
"IA","Iowa                ","5.27","4.84","4.95","6.24","4.29"
"US",""
"KS","Kansas              ","5.53","4.74","4.98","6.10","4.59"
"KY","Kentucky            ","5.18","4.17","4.47","5.16","3.96"
"LA","Louisiana           ","5.67","3.48","4.12","4.90","3.32"
"ME","Maine               ","8.14","7.73","7.35","10.33","8.76"
"MD","Maryland            ","6.26","5.67","5.37","6.36","5.01"
"US",""
"MA","Massachusetts       ","7.04","6.03","6.20","6.96","5.72"
"MI","Michigan            ","6.18","5.50","4.91","5.54","4.23"
"MN","Minnesota           ","5.04","4.26","4.58","6.56","4.39"
"MS","Mississippi         ","5.29","3.97","4.44","5.29","4.05"
"MO","Missouri            ","5.85","5.27","4.99","5.76","4.64"
"US",""
"MT","Montana             ","5.11","4.23","4.21","5.03","3.71"
"NE","Nebraska            ","5.11","4.31","4.61","5.58","4.32"
"NV","Nevada              ","6.77","5.13","5.16","5.90","4.06"
"NH","New Hampshire       ","8.07","7.15","7.60","9.28","7.64"
"NJ","New Jersey          ","7.53","6.74","6.21","6.21","4.87"
"US",""
"NM","New Mexico          ","4.52","3.70","4.08","4.99","3.32"
"NY","New York            ","6.04","5.35","5.02","5.47","4.15"
"NC","North Carolina      ","5.45","4.00","4.63","5.41","3.81"
"ND","North Dakota        ","5.06","4.43","4.99","6.37","4.46"
"OH","Ohio                ","5.51","4.47","4.51","4.91","4.49"
"US",""
"OK","Oklahoma            ","5.67","5.00","4.75","5.35","4.59"
"OR","Oregon              ","5.84","5.21","4.82","5.40","4.65"
"PA","Pennsylvania        ","6.28","5.52","5.26","5.59","4.38"
"RI","Rhode Island        ","8.22","4.11","4.01","4.03","3.14"
"SC","South Carolina      ","5.67","4.57","5.11","5.22","3.90"
"US",""
"SD","South Dakota        ","5.21","4.67","4.83","6.14","4.16"
"TN","Tennessee           ","5.23","4.35","4.73","5.37","4.06"
"TX","Texas               ","5.39","4.30","4.89","5.77","4.19"
"UT","Utah                ","5.68","5.50","5.70","5.74","5.70"
"VT","Vermont             ","7.98","6.63","6.16","7.08","6.33"
"US",""
"VA","Virginia            ","6.64","5.64","5.54","5.98","4.87"
"WA","Washington          ","5.55","4.48","4.89","5.82","4.42"
"WV","West Virginia       ","5.91","4.99","4.65","5.07","4.00"
"WI","Wisconsin           ","5.65","4.88","4.88","6.96","4.71"
"WY","Wyoming             ","4.65","4.03","4.51","5.27","4.36"
"US",""
"US","Total","5.63","4.73","4.88","5.71","4.26"
