"State Code","State","Dry Production","Total Consumption"
"US"
"AL","Alabama             ","0.6","1.6"
"AK","Alaska              ","1.2","1.7"
"AZ","Arizona             ","<","0.6"
"AR","Arkansas            ","3.7","1.0"
"CA","California          ","0.8","8.5"
"US",""
"CO","Colorado            ","5.9","2.1"
"CT","Connecticut         ","--","0.8"
"DE","Delaware            ","--","0.3"
"DC","District of Columbia","--","0.2"
"FL","Florida             ","<","1.0"
"US",""
"GA","Georgia             ","--","1.9"
"FX","Gulf of Mexico","4.5","0.5"
"HI","Hawaii              ","--","<"
"ID","Idaho               ","--","0.4"
"IL","Illinois            ","<","5.2"
"US",""
"IN","Indiana             ","<","3.3"
"IA","Iowa                ","--","1.7"
"KS","Kansas              ","1.0","1.3"
"KY","Kentucky            ","0.3","1.2"
"LA","Louisiana           ","6.4","6.4"
"US",""
"ME","Maine               ","--","0.2"
"MD","Maryland            ","<","1.0"
"MA","Massachusetts       ","--","1.6"
"MI","Michigan            ","0.4","3.8"
"MN","Minnesota           ","--","2.1"
"US",""
"MS","Mississippi         ","0.2","1.1"
"MO","Missouri            ","--","1.3"
"MT","Montana             ","0.2","0.4"
"NE","Nebraska            ","<","0.9"
"NV","Nevada              ","<","0.5"
"US",""
"NH","New Hampshire       ","--","0.1"
"NJ","New Jersey          ","--","2.6"
"NM","New Mexico          ","4.3","1.0"
"NY","New York            ","0.1","5.0"
"NC","North Carolina      ","--","1.3"
"US",""
"ND","North Dakota        ","1.4","0.5"
"OH","Ohio                ","3.5","4.3"
"OK","Oklahoma            ","8.6","2.4"
"OR","Oregon              ","<","0.7"
"PA","Pennsylvania        ","17.6","4.8"
"US",""
"RI","Rhode Island        ","--","0.2"
"SC","South Carolina      ","--","0.8"
"SD","South Dakota        ","0.1","0.4"
"TN","Tennessee           ","<","1.4"
"TX","Texas               ","26.1","14.1"
"US",""
"UT","Utah                ","1.5","1.0"
"VT","Vermont             ","--","0.1"
"VA","Virginia            ","0.5","1.5"
"WA","Washington          ","--","1.2"
"WV","West Virginia       ","4.6","0.9"
"US",""
"WI","Wisconsin           ","--","2.0"
"WY","Wyoming             ","6.4","0.8"
"US",""
"US","Total","100.0","100.0"
