"State Code","State","Residential","Commercial","Industrial","Vehicle Fuel","Electric Utilities"
"US"
"AL","Alabama             ","0.7","0.8","2.5","1.1","4.1"
"AK","Alaska              ","0.4","0.6","0.1","<","0.3"
"AZ","Arizona             ","0.7","1.0","0.3","6.2","2.6"
"AR","Arkansas            ","0.7","1.5","1.1","0.1","1.1"
"CA","California          ","8.7","7.4","10.3","43.5","8.4"
"US",""
"CO","Colorado            ","2.7","1.7","1.0","0.9","1.0"
"CT","Connecticut         ","1.1","1.6","0.3","0.1","1.2"
"DE","Delaware            ","0.2","0.4","0.4","<","0.5"
"DC","District of Columbia","0.3","0.5","--","2.3","--"
"FL","Florida             ","0.3","2.0","1.3","0.8","12.0"
"US",""
"GA","Georgia             ","2.6","1.7","2.1","3.1","3.7"
"HI","Hawaii              ","<","0.1","<","--","--"
"ID","Idaho               ","0.5","0.5","0.4","0.4","0.3"
"IL","Illinois            ","8.7","6.7","3.5","1.2","0.9"
"IN","Indiana             ","2.9","2.4","4.9","0.2","1.3"
"US",""
"IA","Iowa                ","1.4","1.5","2.4","0.1","0.2"
"KS","Kansas              ","1.2","1.0","1.5","<","0.2"
"KY","Kentucky            ","1.1","1.1","1.5","0.1","0.5"
"LA","Louisiana           ","0.8","0.9","12.6","0.2","3.5"
"ME","Maine               ","0.1","0.3","0.3","<","0.2"
"US",""
"MD","Maryland            ","1.8","2.2","0.2","0.7","0.4"
"MA","Massachusetts       ","2.7","3.3","0.6","2.0","1.6"
"MI","Michigan            ","6.8","5.3","2.3","1.3","1.8"
"MN","Minnesota           ","2.6","2.9","2.1","0.2","0.6"
"MS","Mississippi         ","0.5","0.6","1.6","0.2","3.4"
"US",""
"MO","Missouri            ","2.1","1.9","0.9","0.3","0.4"
"MT","Montana             ","0.4","0.6","0.3","<","0.1"
"NE","Nebraska            ","0.8","0.9","1.1","0.1","<"
"NV","Nevada              ","0.8","0.9","0.2","2.8","2.1"
"NH","New Hampshire       ","0.2","0.3","0.1","0.2","0.4"
"US",""
"NJ","New Jersey          ","5.1","5.1","0.7","0.6","3.0"
"NM","New Mexico          ","0.7","0.8","0.2","0.4","0.8"
"NY","New York            ","9.8","9.7","1.1","10.4","4.9"
"NC","North Carolina      ","1.4","1.7","1.4","0.3","2.8"
"ND","North Dakota        ","0.2","0.4","0.4","<","<"
"US",""
"OH","Ohio                ","6.2","5.2","3.7","1.4","2.2"
"OK","Oklahoma            ","1.3","1.3","2.5","1.3","2.6"
"OR","Oregon              ","0.8","0.8","0.7","0.5","1.2"
"PA","Pennsylvania        ","5.1","4.8","3.2","1.1","4.5"
"RI","Rhode Island        ","0.4","0.4","0.1","0.2","0.5"
"US",""
"SC","South Carolina      ","0.6","0.7","1.1","0.1","1.4"
"SD","South Dakota        ","0.3","0.3","0.6","<","0.1"
"TN","Tennessee           ","1.5","1.7","1.5","0.6","0.7"
"TX","Texas               ","4.6","5.6","21.2","11.8","17.0"
"UT","Utah                ","1.3","1.1","0.5","0.7","0.6"
"US",""
"VT","Vermont             ","0.1","0.2","<","<","<"
"VA","Virginia            ","1.9","2.2","1.2","0.6","2.5"
"WA","Washington          ","1.6","1.6","1.0","1.4","1.0"
"WV","West Virginia       ","0.5","0.7","0.3","<","0.1"
"WI","Wisconsin           ","2.8","2.8","1.8","0.4","1.0"
"WY","Wyoming             ","0.3","0.4","0.6","0.1","<"
"US",""
"US","Total","100.0","100.0","100.0","100.0","100.0"
