"STATE CODE","","2011","2012","2013","2014","2015"
"US"
"US","Number of Wells Producing Natural Gas"
"US","at End of Year"
"AL","Oil Wells","346","367","402","436","414"
"AL","Gas Wells","6243","6203","6174","6117","6044"
"US",""
"US","Production (million cubic feet)"
"US","Gross Withdrawals"
"AL","From Gas Wells","116872","114407","102842","95774","88109"
"AL","From Oil Wells","5975","10978","8794","7939","8406"
"AL","From Coalbed Wells","95727","90325","84690","77347","71735"
"AL","From Shale Gas Wells","0","0","0","0","0"
"US",""
"AL","Total","218574","215710","196326","181060","168249"
"US",""
"AL","Repressuring","531","0","NA","NA","NA"
"AL","Vented and Flared","3491","0","NA","NA","NA"
"AL","Nonhydrocarbon Gases Removed","18972","0","NA","NA","NA"
"AL","Marketed Production","195581","215710","196326","181060","168249"
"AL","NGPL Production","17271","7133","7675","7044","5813"
"US",""
"AL","Total Dry Production","178310","208577","188651","174016","162436"
"US",""
"US","Supply (million cubic feet)"
"AL","Dry Production","178310","208577","188651","174016","162436"
"US","Receipts at U.S. Borders"
"AL","Imports","0","0","0","0","0"
"AL","Intransit Receipts","0","0","0","0","0"
"AL","Interstate Receipts","3908982","3865409","3328225","3369944","3786766"
"US","Withdrawals from Storage"
"AL","Underground Storage","15408","23651","22968","28683","29187"
"AL","LNG Storage","829","583","759","1869","1130"
"AL","Supplemental Gas Supplies","0","0","0","0","0"
"AL","Balancing Item","-55703","-162226","-157668","-147835","-132763"
"US",""
"AL","Total Supply","4047826","3935995","3382935","3426677","3846757"
"US","Disposition (million cubic feet)"
"AL","Consumption","598514","666712","615407","635323","676592"
"US","Deliveries at U.S. Borders"
"AL","Exports","0","0","0","0","0"
"AL","Intransit Deliveries","0","0","0","0","0"
"AL","Interstate Deliveries","3425792","3247526","2748740","2755405","3135805"
"US","Additions to Storage"
"AL","Underground Storage","22766","21195","17966","34286","33004"
"AL","LNG Storage","754","562","822","1664","1356"
"US",""
"AL","Total Disposition","4047826","3935995","3382935","3426677","3846757"
"US",""
"US","Consumption (million cubic feet)"
"AL","Lease Fuel","10367","12389","12456","9429","8762"
"AL","Pipeline and Distribution Use","23091","25349","22166","18789","18433"
"AL","Plant Fuel","6939","6616","6804","6462","6436"
"US","Delivered to Consumers"
"AL","Residential","36582","27580","35059","39006","32709"
"AL","Commercial","25144","21551","25324","27534","24915"
"AL","Industrial","153358","171729","179511","187661","186954"
"AL","Vehicle Fuel","192","193","190","377","421"
"AL","Electric Power","342841","401306","333897","346065","397961"
"US",""
"AL","Total Delivered to Consumers","558116","622359","573981","600643","642961"
"US",""
"AL","Total Consumption","598514","666712","615407","635323","676592"
"US",""
"US","Delivered for the Account of Others"
"US","(million cubic feet)"
"AL","Residential","0","0","0","0","0"
"AL","Commercial","5313","5126","5935","5941","5618"
"AL","Industrial","117277","133765","137103","143849","143569"
"US",""
"US","Number of Consumers"
"AL","Residential","772892","767396","765957","769900","768568"
"AL","Commercial","67696","67252","67136","67847","67746"
"AL","Industrial","2988","3045","3143","3244","3300"
"US",""
"US","Average Annual Consumption per Consumer"
"US","(thousand cubic feet)"
"AL","Commercial","371","320","377","406","368"
"AL","Industrial","51325","56397","57114","57849","56653"
"US",""
"US","Average Price for Natural Gas"
"US","(dollars per thousand cubic feet)"
"AL","Imports","--","--","--","--","--"
"AL","Exports","--","--","--","--","--"
"AL","Citygate","5.80","5.18","4.65","4.93","3.91"
"US","Delivered to Consumers"
"AL","Residential","15.08","16.20","15.47","14.62","14.13"
"AL","Commercial","12.36","12.56","12.35","11.98","11.26"
"AL","Industrial","5.57","4.35","4.98","5.49","4.08"
"AL","Electric Power","4.36","3.09","W","0.00","3.06"
