"State Code","State","Losses","Unaccounted for by Distributors","Total Consumption","Losses and Unaccounted for as a % of Total Consumption"
"US"
"AL","Alabama             ","1856","1751","676592","0.5"
"AK","Alaska              ","324","6391","334291","2.0"
"AZ","Arizona             ","444","2103","352584","0.7"
"AR","Arkansas            ","2086","-1691","290125","0.1"
"CA","California          ","6061","25190","2309759","1.4"
"US",""
"CO","Colorado            ","745","12874","469175","2.9"
"CT","Connecticut         ","888","241","253469","0.4"
"DE","Delaware            ","1099","-1148","101968","<"
"DC","District of Columbia","816","-447","32320","1.1"
"FL","Florida             ","2003","-3011","1337820","-0.1"
"US",""
"GA","Georgia             ","811","-1210","692267","-0.1"
"HI","Hawaii              ","*","-196","2922","-6.7"
"ID","Idaho               ","334","185","104823","0.5"
"IL","Illinois            ","14928","-4099","992985","1.1"
"IN","Indiana             ","1581","-911","718019","0.1"
"US",""
"IA","Iowa                ","1871","-1053","319247","0.3"
"KS","Kansas              ","1921","6108","253018","3.2"
"KY","Kentucky            ","4217","6531","268863","4.0"
"LA","Louisiana           ","2333","529","1465495","0.2"
"ME","Maine               ","225","-199","52190","0.1"
"US",""
"MD","Maryland            ","2828","1564","214906","2.0"
"MA","Massachusetts       ","7442","-4486","444263","0.7"
"MI","Michigan            ","3685","5552","852903","1.1"
"MN","Minnesota           ","1686","5734","432270","1.7"
"MS","Mississippi         ","3062","4120","519276","1.4"
"US",""
"MO","Missouri            ","892","3976","269198","1.8"
"MT","Montana             ","80","-153","74016","-0.1"
"NE","Nebraska            ","1787","-2086","161552","-0.2"
"NV","Nevada              ","198","-957","297426","-0.3"
"NH","New Hampshire       ","72","-21","68707","0.1"
"US",""
"NJ","New Jersey          ","3196","-6768","753153","-0.5"
"NM","New Mexico          ","369","-2563","250131","-0.9"
"NY","New York            ","14349","-3047","1358156","0.8"
"NC","North Carolina      ","2153","-309","498141","0.4"
"ND","North Dakota        ","645","-9","92630","0.7"
"US",""
"OH","Ohio                ","3747","3226","970867","0.7"
"OK","Oklahoma            ","5757","15159","680705","3.1"
"OR","Oregon              ","350","625","236747","0.4"
"PA","Pennsylvania        ","5995","16577","1285649","1.8"
"RI","Rhode Island        ","1510","-724","93997","0.8"
"US",""
"SC","South Carolina      ","357","75","273136","0.2"
"SD","South Dakota        ","203","-366","79992","-0.2"
"TN","Tennessee           ","1840","1261","313377","1.0"
"TX","Texas               ","17886","64319","4139551","2.0"
"UT","Utah                ","2485","-10600","230131","-3.5"
"US",""
"VT","Vermont             ","*","-58","11950","-0.5"
"VA","Virginia            ","4003","3522","499263","1.5"
"WA","Washington          ","1915","2480","308378","1.4"
"WV","West Virginia       ","3839","2334","175775","3.5"
"WI","Wisconsin           ","2031","-2020","458482","<"
"WY","Wyoming             ","1450","3397","138139","3.5"
"US",""
"US","Total","140353","147692","27306285","1.1"
