"STATE CODE","","2011","2012","2013","2014","2015"
"US"
"US","Number of Wells Producing Natural Gas"
"US","at End of Year"
"WA","Oil Wells","0","0","0","0","0"
"WA","Gas Wells","0","0","0","0","0"
"US",""
"US","Production (million cubic feet)"
"US","Gross Withdrawals"
"WA","From Gas Wells","0","0","0","0","0"
"WA","From Oil Wells","0","0","0","0","0"
"WA","From Coalbed Wells","0","0","0","0","0"
"WA","From Shale Gas Wells","0","0","0","0","0"
"US",""
"WA","Total","0","0","0","0","0"
"US",""
"WA","Repressuring","0","0","0","0","0"
"WA","Vented and Flared","0","0","0","0","0"
"WA","Nonhydrocarbon Gases Removed","0","0","0","0","0"
"WA","Marketed Production","0","0","0","0","0"
"WA","NGPL Production","0","0","0","0","0"
"US",""
"WA","Total Dry Production","0","0","0","0","0"
"US",""
"US","Supply (million cubic feet)"
"WA","Dry Production","0","0","0","0","0"
"US","Receipts at U.S. Borders"
"WA","Imports","313922","312236","333050","359348","429653"
"WA","Intransit Receipts","0","0","0","0","0"
"WA","Interstate Receipts","589701","618824","662666","588366","652985"
"US","Withdrawals from Storage"
"WA","Underground Storage","25583","25836","31120","25600","30335"
"WA","LNG Storage","1564","1138","981","1094","668"
"WA","Supplemental Gas Supplies","0","0","0","0","0"
"WA","Balancing Item","-50292","-56222","-49094","-41995","-51951"
"US",""
"WA","Total Supply","880477","901813","978724","932413","1061689"
"US","Disposition (million cubic feet)"
"WA","Consumption","264589","264540","318292","306675","308378"
"US","Deliveries at U.S. Borders"
"WA","Exports","9768","6016","10409","3547","5333"
"WA","Intransit Deliveries","0","0","0","0","0"
"WA","Interstate Deliveries","576511","604920","620910","593133","721722"
"US","Additions to Storage"
"WA","Underground Storage","27946","25183","28208","29058","25789"
"WA","LNG Storage","1664","1154","905","1","467"
"US",""
"WA","Total Disposition","880477","901813","978724","932413","1061689"
"US",""
"US","Consumption (million cubic feet)"
"WA","Lease Fuel","0","0","0","0","0"
"WA","Pipeline and Distribution Use","6644","9184","10144","9015","12020"
"WA","Plant Fuel","0","0","0","0","0"
"US","Delivered to Consumers"
"WA","Residential","85393","79892","83365","78750","71952"
"WA","Commercial","56487","53420","55805","54457","49967"
"WA","Industrial","76289","78196","80889","79439","76600"
"WA","Vehicle Fuel","510","512","418","482","538"
"WA","Electric Power","39265","43336","87671","84531","97300"
"US",""
"WA","Total Delivered to Consumers","257945","255356","308148","297659","296358"
"US",""
"WA","Total Consumption","264589","264540","318292","306675","308378"
"US",""
"US","Delivered for the Account of Others"
"US","(million cubic feet)"
"WA","Residential","0","0","0","0","0"
"WA","Commercial","6535","6732","7352","7634","7375"
"WA","Industrial","70543","72469","75504","74239","71878"
"US",""
"US","Number of Consumers"
"WA","Residential","1079277","1088762","1102318","1118193","1133629"
"WA","Commercial","99674","100038","100939","101730","102266"
"WA","Industrial","3353","3338","3320","3355","3385"
"US",""
"US","Average Annual Consumption per Consumer"
"US","(thousand cubic feet)"
"WA","Commercial","567","534","553","535","489"
"WA","Industrial","22752","23426","24364","23678","22629"
"US",""
"US","Average Price for Natural Gas"
"US","(dollars per thousand cubic feet)"
"WA","Imports","3.96","2.72","3.62","4.32","2.36"
"WA","Exports","4.47","3.87","4.02","5.05","2.34"
"WA","Citygate","5.55","4.48","4.89","5.82","4.42"
"US","Delivered to Consumers"
"WA","Residential","12.30","11.87","11.37","10.59","11.80"
"WA","Commercial","10.40","9.82","9.21","9.03","9.77"
"WA","Industrial","9.47","8.77","8.37","8.55","8.91"
"WA","Electric Power","W","W","W","W","W"
