"                   ","Gross"," ","Marketed"," ","Extraction"," ","Dry Gas"," ","Supplemental"," ","Net"," ","Net Storage"," ","Balancing"," ","Total"," "
"Year and Month     ","Withdrawals"," ","Production"," ","Loss"," ","Production"," ","Gaseous Fuels"," ","Imports"," ","Withdrawals"," ","Item"," ","Consumption"," "
"2011 Total","28479","  ","24036","  ","1134","  ","22902","  ","60","  ","1963","  ","-354","  ","-94","  ","24477","  ",
"2012 Total","29542","  ","25283","  ","1250","  ","24033","  ","61","  ","1519","  ","-9","  ","-66","  ","25538","  ",
"2013 Total","29523","  ","25562","  ","1357","  ","24206","  ","55","  ","1311","  ","546","  ","38","  ","26155","  ",
"2014",
"  January                 ","2594","  ","2209","  ","130","  ","2079","  ","5","  ","161","  ","991","  ","-17","  ","3219","  ",
"  February                 ","2346","  ","2002","  ","118","  ","1885","  ","4","  ","107","  ","745","  ","9","  ","2750","  ",
"  March                 ","2630","  ","2246","  ","132","  ","2114","  ","5","  ","85","  ","363","  ","-1","  ","2566","  ",
"  April                 ","2564","  ","2206","  ","130","  ","2077","  ","5","  ","79","  ","-224","  ","33","  ","1969","  ",
"  May                 ","2642","  ","2300","  ","135","  ","2165","  ","5","  ","93","  ","-488","  ","43","  ","1817","  ",
"  June                 ","2561","  ","2235","  ","132","  ","2104","  ","5","  ","82","  ","-473","  ","37","  ","1755","  ",
"  July                 ","2617","  ","2342","  ","138","  ","2205","  ","5","  ","74","  ","-409","  ","13","  ","1887","  ",
"  August                 ","2628","  ","2358","  ","139","  ","2219","  ","5","  ","91","  ","-382","  ","7","  ","1940","  ",
"  September                 ","2621","  ","2297","  ","135","  ","2162","  ","5","  ","82","  ","-431","  ","0","* ","1818","  ",
"  October                 ","2732","  ","2396","  ","141","  ","2255","  ","5","  ","106","  ","-409","  ","-37","  ","1920","  ",
"  November                 ","2644","  ","2325","  ","137","  ","2189","  ","5","  ","107","  ","168","  ","-99","  ","2369","  ",
"  December                 ","2767","  ","2418","  ","142","  ","2276","  ","5","  ","117","  ","295","  ","-5","  ","2688","  ",
"     Total             ","31346","  ","27337","  ","1608","  ","25728","  ","60","  ","1181","  ","-253","  ","-18","  ","26698","  ",
"2015",
"  January                 ","2769","E ","2399","E ","133","  ","2266","E ","5","  ","135","  ","725","  ","0","* ","3130","  ",
"  February                 ","2512","E ","2185","E ","125","  ","2060","E ","6","  ","109","  ","741","  ","37","  ","2952","  ",
"  March                 ","2820","E ","2439","E ","142","  ","2297","E ","5","  ","93","  ","194","  ","29","  ","2617","  ",
"  April                 ","2742","E ","2378","E ","142","  ","2236","E ","5","  ","75","  ","-321","  ","42","  ","2036","  ",
"  May                 ","2776","E ","2432","E ","145","  ","2287","E ","5","  ","70","  ","-497","  ","11","  ","1877","R",
"  June                 ","2677","E ","2370","E ","141","  ","2229","E ","5","  ","68","  ","-362","  ","-20","  ","1920","  ",
"  July                 ","2767","E ","2459","E ","146","  ","2314","E ","4","  ","73","  ","-283","  ","-19","  ","2090","  ",
"  August                 ","2766","E ","2474","E ","148","  ","2326","E ","4","  ","69","  ","-309","  ","-15","  ","2074","  ",
"  September                 ","2750","E ","2407","E ","144","  ","2263","E ","5","  ","46","  ","-372","  ","-23","  ","1919","  ",
"  October                 ","2818","E ","2456","E ","153","  ","2303","E ","5","  ","68","  ","-331","  ","-42","  ","2003","  ",
"  November                 ","2744","E ","2376","E ","149","  ","2227","E ","6","  ","63","  ","13","  ","-50","  ","2258","  ",
"  December                 ","2824","RE","2441","RE","151","  ","2290","RE","6","  ","66","  ","265","  ","-28","R","2598","  ",
"     Total             ","32965","RE","28814","RE","1718","  ","27096","RE","60","  ","935","  ","-539","  ","-78","  ","27474","R",
"2016",
"  January                 ","2823","RE","2448","RE","148","  ","2299","RE","5","  ","103","R","728","  ","-1","R","3134","R",
"  February                 ","2669","E ","2323","E ","140","  ","2183","E ","5","  ","87","  ","403","  ","25","  ","2703","  ",
"2016 2-Month YTD","5492","E ","4770","E ","288","  ","4482","E ","11","  ","189","  ","1131","  ","23","  ","5837","  ",
"2015 2-Month YTD","5281","E ","4583","E ","258","  ","4325","E ","11","  ","244","  ","1466","  ","36","  ","6082","  ",
"2014 2-Month YTD","4940","  ","4212","  ","248","  ","3964","  ","9","  ","267","  ","1736","  ","-8","  ","5969","  ",
