"                   ","Lease and"," ","Pipeline"," ","Residential"," ","Commercial"," ","Industrial"," ","Electric Power"," ","Veh. Fuel"," ","Total"," ","Total"," ","Heating"," "
"Year and Month     ","Plant Fuel"," ","Fuel"," ","Volume"," ","Volume"," ","Volume"," ","Volume"," ","Volume"," ","Delivered"," ","Consumption"," ","Value"," "
"2011 Total","1323","  ","688","  ","4714","  ","3155","  ","6994","  ","7574","  ","30","  ","22467","  ","24477","  ","1022","  ",
"2012 Total","1396","  ","731","  ","4150","  ","2895","  ","7226","  ","9111","  ","30","  ","23411","  ","25538","  ","1024","  ",
"2013 Total","1483","  ","833","  ","4897","  ","3295","  ","7425","  ","8191","  ","30","  ","23839","  ","26155","  ","1027","  ",
"2014",
"  January                 ","121","  ","103","  ","1037","  ","572","  ","720","  ","663","  ","3","  ","2995","  ","3219","  ","1029","  ",
"  February                 ","110","  ","88","  ","853","  ","490","  ","657","  ","549","  ","3","  ","2552","  ","2750","  ","1028","  ",
"  March                 ","123","  ","81","  ","700","  ","421","  ","679","  ","559","  ","3","  ","2361","  ","2566","  ","1029","  ",
"  April                 ","121","  ","61","  ","356","  ","251","  ","626","  ","550","  ","3","  ","1786","  ","1969","  ","1029","  ",
"  May                 ","126","  ","56","  ","203","  ","177","  ","604","  ","648","  ","3","  ","1635","  ","1817","  ","1030","  ",
"  June                 ","123","  ","54","  ","126","  ","141","  ","584","  ","724","  ","3","  ","1578","  ","1755","  ","1030","  ",
"  July                 ","129","  ","58","  ","113","  ","138","  ","603","  ","844","  ","3","  ","1701","  ","1887","  ","1032","  ",
"  August                 ","129","  ","60","  ","105","  ","137","  ","607","  ","899","  ","3","  ","1751","  ","1940","  ","1033","  ",
"  September                 ","126","  ","56","  ","122","  ","149","  ","589","  ","773","  ","3","  ","1636","  ","1818","  ","1033","  ",
"  October                 ","131","  ","59","  ","212","  ","202","  ","608","  ","704","  ","3","  ","1729","  ","1920","  ","1033","  ",
"  November                 ","128","  ","74","  ","544","  ","362","  ","658","  ","601","  ","3","  ","2167","  ","2369","  ","1034","  ",
"  December                 ","133","  ","85","  ","717","  ","427","  ","688","  ","636","  ","3","  ","2471","  ","2688","  ","1035","  ",
"     Total             ","1500","  ","836","  ","5087","  ","3467","  ","7624","  ","8149","  ","35","  ","24362","  ","26698","  ","1030","  ",
"2015",
"  January                 ","132","E ","98","E ","936","  ","532","  ","716","  ","714","  ","3","E ","2901","  ","3130","  ","1036","  ",
"  February                 ","120","E ","92","E ","904","  ","520","  ","662","  ","651","  ","3","E ","2740","  ","2952","  ","1036","  ",
"  March                 ","134","E ","82","E ","637","  ","389","  ","663","  ","709","  ","3","E ","2401","  ","2617","  ","1036","  ",
"  April                 ","131","E ","64","E ","325","  ","237","  ","610","R","668","  ","3","E ","1842","  ","2036","  ","1037","  ",
"  May                 ","133","E ","59","E ","180","  ","162","  ","601","  ","739","  ","3","E ","1684","  ","1877","R","1037","  ",
"  June                 ","130","E ","60","E ","124","  ","135","  ","574","  ","893","  ","3","E ","1730","  ","1920","  ","1037","  ",
"  July                 ","135","E ","65","E ","108","  ","134","  ","591","  ","1054","  ","3","E ","1889","  ","2090","  ","1037","  ",
"  August                 ","136","E ","65","E ","102","  ","136","  ","597","  ","1035","  ","3","E ","1873","  ","2074","  ","1036","  ",
"  September                 ","132","E ","60","E ","108","  ","138","  ","577","  ","902","  ","3","E ","1727","  ","1919","  ","1037","  ",
"  October                 ","135","E ","63","E ","201","  ","193","  ","612","  ","798","  ","3","E ","1806","  ","2003","  ","1037","  ",
"  November                 ","130","E ","71","E ","400","  ","280","  ","637","  ","737","  ","3","E ","2057","  ","2258","  ","1038","  ",
"  December                 ","134","E ","81","E ","589","  ","351","  ","669","  ","771","  ","3","E ","2383","  ","2598","  ","1038","  ",
"     Total             ","1581","E ","860","E ","4612","  ","3206","  ","7509","R","9671","  ","34","E ","25032","  ","27474","R","1037","  ",
"2016",
"  January                 ","134","E ","98","E ","891","R","509","R","722","R","777","  ","3","E ","2902","  ","3134","R","1038","  ",
"  February                 ","127","E ","85","E ","707","  ","421","  ","668","  ","692","  ","3","E ","2491","  ","2703","  ","1038","  ",
"2016 2-Month YTD","262","E ","183","E ","1598","  ","930","  ","1391","  ","1469","  ","6","E ","5393","  ","5837","  ","1038","  ",
"2015 2-Month YTD","252","E ","190","E ","1840","  ","1052","  ","1378","  ","1365","  ","5","E ","5640","  ","6082","  ","1036","  ",
"2014 2-Month YTD","231","  ","190","  ","1890","  ","1062","  ","1378","  ","1212","  ","6","  ","5548","  ","5969","  ","1028","  ",
