"                   ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," "
"Year and Month     ","Alaska"," ","Arkansas"," ","California"," ","Colorado"," ","Kansas"," ","Louisiana"," ","Montana"," ","New Mexico"," ","North Dakota"," ","Ohio"," ","Oklahoma"," ","Pennsylvania"," ","Texas"," ","Utah"," ","West Virginia"," ","Wyoming"," ","Other States"," ","Federal Gulf of Mexico"," ","US Total"," "
"2011 Total","3162922","  ","1076757","  ","279130","  ","1649306","  ","309952","  ","3040523","  ","79506","  ","1287682","  ","157025","  ","78858","  ","1888870","  ","1310592","  ","7934689","  ","461507","  ","394125","  ","2375301","  ","1161365","  ","1830913","  ","28479026","  ",
"2012 Total","3164791","  ","1146168","  ","246822","  ","1709376","  ","296299","  ","2955437","  ","66954","  ","1276296","  ","258568","  ","84482","  ","2023461","  ","2256696","  ","8143510","  ","490393","  ","539860","  ","2225622","  ","1129702","  ","1527875","  ","29542313","  ",
"2013 Total","3215358","  ","1139654","  ","252310","  ","1604860","  ","292467","  ","2366943","  ","63242","  ","1247394","  ","345787","  ","166017","  ","1993754","  ","3259042","  ","8299472","  ","470863","  ","741853","  ","2047757","  ","689082","  ","1326697","  ","29522551","  ",
"2014",
"  January                 ","306355","  ","94869","  ","21265","  ","135988","  ","23817","  ","173556","  ","5076","  ","104218","  ","31461","  ","28788","  ","186124","  ","344614","  ","698622","  ","38650","  ","72247","  ","171207","  ","54427","  ","102289","  ","2593572","  ",
"  February                 ","270279","  ","86784","  ","19031","  ","122304","  ","20981","  ","157145","  ","4540","  ","95113","  ","29761","  ","26002","  ","165116","  ","311264","  ","632819","  ","35388","  ","69800","  ","154945","  ","49532","  ","95583","  ","2346387","  ",
"  March                 ","298988","  ","96520","  ","20575","  ","138075","  ","23772","  ","173556","  ","5045","  ","107339","  ","33785","  ","28788","  ","190588","  ","344614","  ","716748","  ","39365","  ","79741","  ","172128","  ","54594","  ","105386","  ","2629607","  ",
"  April                 ","277210","  ","93375","  ","20167","  ","135629","  ","23365","  ","168254","  ","4922","  ","104423","  ","34186","  ","34679","  ","188040","  ","333497","  ","710993","  ","38628","  ","76914","  ","162657","  ","50484","  ","106317","  ","2563743","  ",
"  May                 ","262449","  ","96739","  ","20429","  ","140841","  ","24351","  ","175295","  ","5491","  ","105310","  ","37058","  ","35835","  ","196571","  ","344614","  ","741111","  ","39422","  ","81747","  ","168459","  ","54815","  ","111402","  ","2641938","  ",
"  June                 ","252462","  ","92022","  ","20506","  ","134601","  ","23522","  ","167860","  ","5169","  ","104186","  ","37627","  ","34679","  ","190710","  ","333497","  ","721469","  ","38189","  ","81340","  ","164165","  ","51949","  ","107474","  ","2561425","  ",
"  July                 ","195169","  ","95474","  ","21794","  ","136877","  ","24535","  ","167322","  ","5002","  ","108420","  ","40128","  ","49992","  ","197222","  ","371081","  ","742693","  ","38989","  ","90243","  ","168531","  ","53857","  ","109897","  ","2617227","  ",
"  August                 ","190335","  ","95326","  ","21958","  ","142481","  ","24726","  ","165658","  ","5012","  ","109962","  ","41789","  ","49992","  ","199330","  ","371081","  ","748881","  ","38367","  ","93188","  ","164707","  ","53828","  ","110901","  ","2627523","  ",
"  September                 ","259857","  ","92098","  ","21130","  ","134588","  ","24183","  ","160606","  ","4970","  ","104462","  ","42555","  ","48380","  ","195150","  ","359110","  ","718440","  ","36656","  ","94323","  ","165345","  ","52292","  ","106593","  ","2620737","  ",
"  October                 ","271472","  ","94406","  ","22055","  ","142018","  ","25041","  ","166387","  ","4959","  ","107578","  ","44575","  ","61202","  ","202957","  ","371081","  ","746108","  ","37132","  ","99180","  ","171621","  ","53609","  ","110787","  ","2732167","  ",
"  November                 ","282350","  ","92488","  ","21557","  ","130248","  ","23944","  ","153468","  ","4634","  ","105898","  ","42962","  ","59227","  ","196620","  ","359110","  ","722850","  ","35772","  ","95703","  ","164793","  ","51091","  ","101564","  ","2644277","  ",
"  December                 ","301640","  ","93578","  ","22253","  ","137740","  ","23841","  ","158522","  ","5111","  ","108670","  ","47044","  ","61202","  ","201686","  ","371081","  ","762600","  ","36648","  ","105823","  ","169108","  ","53374","  ","107021","  ","2766943","  ",
"     Total             ","3168566","  ","1123678","  ","252718","  ","1631390","  ","286080","  ","1987630","  ","59930","  ","1265579","  ","462929","  ","518767","  ","2310114","  ","4214643","  ","8663333","  ","453207","  ","1040250","  ","1997666","  ","633853","  ","1275213","  ","31345546","  ",
"2015",
"  January                 ","291772","  ","91710","E ","18830","E ","140307","E ","25985","E ","164588","E ","4919","E ","103308","E ","45804","E ","64049","E ","206817","E ","403366","E ","731831","E ","37635","E ","110332","E ","166395","E ","50382","E ","110535","E ","2768566","E ",
