"                   ","Und Storage"," ","Und Storage"," ","Und Storage"," ","Chg Work Gas"," ","Chg Work Gas"," ",""," ",""," ","Net"," "
"Year, Season & Month","Base Gas"," ","Working Gas"," ","Total"," ","Volume"," ","Percentage"," ","Injections"," ","Withdrawals"," ","Withdrawals"," "
"2014 Heating Season           ",
"  November                 ","4366","  ","3605","  ","7971","  ","-194","  ","-5.1","  ","155","  ","366","  ","211","  ",
"  December                 ","4365","  ","2890","  ","7255","  ","-523","  ","-15.3","  ","94","  ","808","  ","714","  ",
"  January                 ","4363","  ","1925","  ","6288","  ","-774","  ","-28.7","  ","68","  ","1039","  ","971","  ",
"  February                 ","4360","  ","1200","  ","5560","  ","-899","  ","-42.8","  ","104","  ","833","  ","728","  ",
"  March                 ","4350","  ","857","  ","5207","  ","-863","  ","-50.2","  ","134","  ","488","  ","353","  ",
"     Total             ","0","--","0","--","0","--","0","--","0.0","--","556","  ","3533","  ","2977","  ",
"2014 Refill Season            ",
"  April                 ","4357","  ","1066","  ","5423","  ","-789","  ","-42.5","  ","323","  ","105","  ","-217","  ",
"  May                 ","4353","  ","1548","  ","5901","  ","-722","  ","-31.8","  ","529","  ","51","  ","-478","  ",
"  June                 ","4358","  ","2005","  ","6364","  ","-637","  ","-24.1","  ","506","  ","44","  ","-463","  ",
"  July                 ","4361","  ","2400","  ","6761","  ","-537","  ","-18.3","  ","463","  ","63","  ","-400","  ",
"  August                 ","4366","  ","2768","  ","7135","  ","-444","  ","-13.8","  ","447","  ","73","  ","-374","  ",
"  September                 ","4369","  ","3187","  ","7556","  ","-377","  ","-10.6","  ","469","  ","47","  ","-422","  ",
"  October                 ","4367","  ","3587","  ","7955","  ","-230","  ","-6.0","  ","452","  ","52","  ","-400","  ",
"     Total             ","0","--","0","--","0","--","0","--","0.0","--","3189","  ","436","  ","-2753","  ",
"2015 Heating Season           ",
"  November                 ","4367","  ","3427","  ","7794","  ","-178","  ","-5.0","  ","200","  ","361","  ","161","  ",
"  December                 ","4365","  ","3141","  ","7506","  ","251","  ","8.7","  ","143","  ","429","  ","286","  ",
"  January                 ","4360","  ","2417","  ","6777","  ","492","  ","25.5","  ","70","  ","795","  ","725","  ",
"  February                 ","4359","  ","1677","  ","6036","  ","477","  ","39.7","  ","62","  ","803","  ","741","  ",
"  March                 ","4360","  ","1483","  ","5843","  ","625","  ","72.9","  ","182","  ","376","  ","194","  ",
"     Total             ","0","--","0","--","0","--","0","--","0.0","--","657","  ","2764","  ","2107","  ",
"2015 Refill Season            ",
"  April                 ","4360","  ","1805","  ","6164","  ","738","  ","69.2","  ","405","  ","84","  ","-321","  ",
"  May                 ","4362","  ","2299","  ","6661","  ","751","  ","48.5","  ","542","  ","44","  ","-497","  ",
"  June                 ","4366","  ","2658","  ","7025","  ","653","  ","32.6","  ","430","  ","68","  ","-362","  ",
"  July                 ","4371","  ","2935","  ","7306","  ","535","  ","22.3","  ","378","  ","96","  ","-283","  ",
"  August                 ","4363","  ","3252","  ","7616","  ","484","  ","17.5","  ","394","  ","85","  ","-309","  ",
"  September                 ","4364","  ","3625","  ","7989","  ","438","  ","13.7","  ","435","  ","63","  ","-372","  ",
"  October                 ","4365","  ","3953","  ","8318","  ","366","  ","10.2","  ","401","  ","70","  ","-331","  ",
"     Total             ","0","--","0","--","0","--","0","--","0.0","--","2986","  ","510","  ","-2475","  ",
"2016 Heating Season           ",
"  November                 ","4367","  ","3938","  ","8305","  ","511","  ","14.9","  ","201","  ","214","  ","13","  ",
"  December                 ","4363","  ","3677","  ","8040","  ","536","  ","17.1","  ","138","  ","403","  ","265","  ",
"  January                 ","4361","  ","2948","R","7309","R","531","R","22.0","R","66","  ","794","  ","728","  ",
"  February                 ","4360","  ","2545","  ","6905","  ","869","  ","51.8","  ","111","  ","515","  ","403","  ",
