"                   ","Salt Cavern"," ","Salt Cavern"," ","Salt Cavern"," ","Chg Work Gas"," ","Chg Work Gas"," ",""," ",""," ","Net"," "
"Year and Month     ","Base Gas"," ","Working Gas"," ","Total"," ","Volume"," ","Percentage"," ","Injection"," ","Withdrawals"," ","Withdrawals"," "
"2011 Total","0","--","0","--","0","--","0","--","0.0","--","533","  ","440","  ","-92","  ",
"2012 Total","0","--","0","--","0","--","0","--","0.0","--","465","  ","445","  ","-20","  ",
"2013 Total","0","--","0","--","0","--","0","--","0.0","--","492","  ","521","  ","29","  ",
"2014",
"  January                 ","170","  ","143","  ","312","  ","-109","  ","-43.3","  ","32","  ","159","  ","128","  ",
"  February                 ","169","  ","95","  ","263","  ","-105","  ","-52.6","  ","56","  ","105","  ","49","  ",
"  March                 ","168","  ","68","  ","236","  ","-107","  ","-61.2","  ","41","  ","68","  ","27","  ",
"  April                 ","168","  ","119","  ","288","  ","-94","  ","-44.1","  ","67","  ","15","  ","-51","  ",
"  May                 ","168","  ","179","  ","347","  ","-79","  ","-30.5","  ","75","  ","15","  ","-60","  ",
"  June                 ","172","  ","209","  ","381","  ","-60","  ","-22.5","  ","52","  ","18","  ","-34","  ",
"  July                 ","173","  ","226","  ","399","  ","-47","  ","-17.2","  ","43","  ","24","  ","-20","  ",
"  August                 ","178","  ","229","  ","407","  ","-35","  ","-13.2","  ","37","  ","30","  ","-7","  ",
"  September                 ","180","  ","271","  ","450","  ","-25","  ","-8.6","  ","61","  ","17","  ","-44","  ",
"  October                 ","180","  ","331","  ","511","  ","0","  ","0.1","  ","77","  ","17","  ","-61","  ",
"  November                 ","180","  ","335","  ","515","  ","23","  ","7.3","  ","50","  ","46","  ","-4","  ",
"  December                 ","179","  ","341","  ","520","  ","73","  ","27.3","  ","42","  ","37","  ","-5","  ",
"     Total             ","0","--","0","--","0","--","0","--","0.0","--","634","  ","552","  ","-82","  ",
"2015",
"  January                 ","179","  ","260","  ","439","  ","117","  ","82.3","  ","24","  ","105","  ","81","  ",
"  February                 ","179","  ","135","  ","314","  ","41","  ","42.7","  ","15","  ","140","  ","125","  ",
"  March                 ","178","  ","147","  ","326","  ","79","  ","115.7","  ","58","  ","46","  ","-12","  ",
"  April                 ","178","  ","230","  ","408","  ","110","  ","92.4","  ","95","  ","13","  ","-82","  ",
"  May                 ","180","  ","292","  ","472","  ","113","  ","63.4","  ","82","  ","17","  ","-65","  ",
"  June                 ","182","  ","307","  ","489","  ","98","  ","46.9","  ","44","  ","29","  ","-15","  ",
"  July                 ","182","  ","305","  ","487","  ","79","  ","35.1","  ","37","  ","38","  ","1","  ",
"  August                 ","182","  ","309","  ","491","  ","80","  ","35.1","  ","36","  ","32","  ","-4","  ",
"  September                 ","182","  ","341","  ","523","  ","70","  ","26.0","  ","55","  ","24","  ","-31","  ",
"  October                 ","182","  ","384","  ","566","  ","53","  ","16.2","  ","67","  ","24","  ","-43","  ",
"  November                 ","182","  ","398","  ","580","  ","63","  ","18.7","  ","50","  ","37","  ","-13","  ",
"  December                 ","182","  ","396","  ","577","  ","55","  ","16.1","  ","44","  ","46","  ","2","  ",
"     Total             ","0","--","0","--","0","--","0","--","0.0","--","607","  ","551","  ","-56","  ",
"2016",
"  January                 ","181","  ","320","  ","501","  ","60","  ","23.2","R","29","  ","105","  ","76","R",
"  February                 ","180","  ","304","  ","485","  ","169","  ","124.7","  ","42","  ","58","  ","16","  ",
"2016 2-Month YTD","0","--","0","--","0","--","0","--","0.0","--","71","  ","164","  ","92","  ",
"2015 2-Month YTD","0","--","0","--","0","--","0","--","0.0","--","39","  ","246","  ","206","  ",
"2014 2-Month YTD","0","--","0","--","0","--","0","--","0.0","--","88","  ","265","  ","177","  ",
