"                   ","Non-Sal"," ","Non-Salt Cavern"," ","Non-Salt Cavern"," ","Chg Work Gas"," ","Chg Work Gas"," ",""," ",""," ","Net"," "
"Year and Month     ",""," ","Working"," ","Total"," ","Volume"," ","Percentage"," ","Injections"," ","Withdrawals"," ","Withdrawals"," "
"2011 Total","0","--","0","--","0","--","0","--","0.0","--","2889","  ","2634","  ","-255","  ",
"2012 Total","0","--","0","--","0","--","0","--","0.0","--","2360","  ","2373","  ","12","  ",
"2013 Total","0","--","0","--","0","--","0","--","0.0","--","2664","  ","3181","  ","517","  ",
"2014",
"  January                 ","4194","  ","1782","  ","5976","  ","-665","  ","-27.2","  ","37","  ","879","  ","843","  ",
"  February                 ","4192","  ","1105","  ","5297","  ","-794","  ","-41.8","  ","48","  ","727","  ","679","  ",
"  March                 ","4182","  ","789","  ","4971","  ","-755","  ","-48.9","  ","93","  ","419","  ","326","  ",
"  April                 ","4188","  ","947","  ","5135","  ","-695","  ","-42.3","  ","256","  ","90","  ","-166","  ",
"  May                 ","4184","  ","1369","  ","5553","  ","-643","  ","-32.0","  ","454","  ","36","  ","-418","  ",
"  June                 ","4186","  ","1797","  ","5982","  ","-577","  ","-24.3","  ","454","  ","25","  ","-429","  ",
"  July                 ","4188","  ","2174","  ","6362","  ","-490","  ","-18.4","  ","420","  ","40","  ","-380","  ",
"  August                 ","4189","  ","2539","  ","6728","  ","-409","  ","-13.9","  ","410","  ","44","  ","-366","  ",
"  September                 ","4190","  ","2916","  ","7106","  ","-352","  ","-10.8","  ","408","  ","30","  ","-378","  ",
"  October                 ","4188","  ","3256","  ","7444","  ","-230","  ","-6.6","  ","375","  ","35","  ","-340","  ",
"  November                 ","4188","  ","3092","  ","7279","  ","-201","  ","-6.1","  ","150","  ","316","  ","166","  ",
"  December                 ","4185","  ","2800","  ","6986","  ","178","  ","6.8","  ","101","  ","392","  ","291","  ",
"     Total             ","0","--","0","--","0","--","0","--","0.0","--","3205","  ","3034","  ","-171","  ",
"2015",
"  January                 ","4181","  ","2156","  ","6338","  ","374","  ","21.0","  ","46","  ","690","  ","644","  ",
"  February                 ","4180","  ","1541","  ","5722","  ","436","  ","39.5","  ","47","  ","662","  ","616","  ",
"  March                 ","4182","  ","1335","  ","5517","  ","546","  ","69.3","  ","124","  ","330","  ","205","  ",
"  April                 ","4182","  ","1575","  ","5757","  ","628","  ","66.3","  ","310","  ","71","  ","-239","  ",
"  May                 ","4182","  ","2007","  ","6189","  ","638","  ","46.6","  ","460","  ","28","  ","-433","  ",
"  June                 ","4185","  ","2352","  ","6536","  ","555","  ","30.9","  ","386","  ","39","  ","-346","  ",
"  July                 ","4189","  ","2630","  ","6819","  ","456","  ","21.0","  ","342","  ","58","  ","-284","  ",
"  August                 ","4182","  ","2943","  ","7124","  ","403","  ","15.9","  ","358","  ","53","  ","-305","  ",
"  September                 ","4183","  ","3283","  ","7466","  ","367","  ","12.6","  ","380","  ","39","  ","-341","  ",
"  October                 ","4183","  ","3569","  ","7752","  ","312","  ","9.6","  ","334","  ","46","  ","-288","  ",
"  November                 ","4186","  ","3540","  ","7725","  ","448","  ","14.5","  ","151","  ","177","  ","26","  ",
"  December                 ","4181","  ","3282","  ","7462","  ","481","  ","17.2","  ","94","  ","356","  ","263","  ",
"     Total             ","0","--","0","--","0","--","0","--","0.0","--","3032","  ","2549","  ","-483","  ",
"2016",
"  January                 ","4180","  ","2628","R","6808","R","471","R","21.9","R","37","  ","689","  ","652","  ",
"  February                 ","4180","  ","2241","  ","6420","  ","700","  ","45.4","  ","69","  ","456","  ","387","  ",
"2016 2-Month YTD","0","--","0","--","0","--","0","--","0.0","--","106","  ","1145","  ","1039","  ",
"2015 2-Month YTD","0","--","0","--","0","--","0","--","0.0","--","93","  ","1352","  ","1259","  ",
"2014 2-Month YTD","0","--","0","--","0","--","0","--","0.0","--","85","  ","1607","  ","1522","  ",
