"                   ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Alabama","-713","  ","4787","  ","-3817","  ","-249","  ","-1217","  ","-415","  ","-2416","  ","1057","  ","-971","  ","-734","  ","-5684","  ","-6159","  ","-243","  ","8440","  ","4774","  ","-5603","  ","-1346","  ","321","  ","-3227","  ","-761","  ","492","  ","-38","  ","-420","  ","-5110","  ","-5260","  ","61","  ","3236","  ","6448","  ",
"Alaska","-459","  ","-50","  ","782","  ","140","  ","197","  ","-52","  ","92","  ","-108","  ","-171","  ","-78","  ","-71","  ","219","  ","235","  ","185","  ","194","  ","-5152","  ","-733","  ","-558","  ","106","  ","-564","  ","-697","  ","-256","  ","-1546","  ","-263","  ","-701","  ","-197","  ","559","  ","-301","  ",
"Arkansas","328","  ","434","  ","-1046","  ","-127","  ","-283","  ","-212","  ","-141","  ","-403","  ","-437","  ","-357","  ","-411","  ","91","  ","234","  ","567","  ","431","  ","468","  ","187","  ","259","  ","-12","  ","-166","  ","-396","  ","-422","  ","-450","  ","-450","  ","248","  ","416","  ","707","  ","546","  ",
"California","7203","  ","40217","  ","-2698","  ","44087","  ","5699","  ","-18709","  ","-6577","  ","1758","  ","-8522","  ","-10336","  ","-25451","  ","-16467","  ","-4345","  ","-2750","  ","38916","  ","-45335","  ","14741","  ","2894","  ","-27183","  ","-12319","  ","-22052","  ","-20946","  ","-41166","  ","-48253","  ","-37379","  ","7619","  ","74988","  ","63722","  ",
"Colorado","2412","  ","9800","  ","-5930","  ","9420","  ","1802","  ","-4141","  ","-5250","  ","-5181","  ","-5048","  ","-6817","  ","-5045","  ","1888","  ","920","  ","5579","  ","5942","  ","-1818","  ","9314","  ","2970","  ","-3960","  ","-6177","  ","-6161","  ","-7622","  ","-7111","  ","-3848","  ","-381","  ","4485","  ","8422","  ","8251","  ",
"Illinois","50274","  ","69604","  ","-10603","  ","45715","  ","-1164","  ","-36756","  ","-37238","  ","-34172","  ","-32685","  ","-29520","  ","-28714","  ","1105","  ","21193","  ","58104","  ","63529","  ","-10730","  ","50911","  ","11226","  ","-38767","  ","-38887","  ","-39186","  ","-35418","  ","-35170","  ","-29654","  ","-1578","  ","23881","  ","49721","  ","72190","  ",
"Indiana","5259","  ","6106","  ","-4411","  ","1569","  ","-1236","  ","-2047","  ","-3878","  ","-3494","  ","-2687","  ","-2942","  ","-2903","  ","-294","  ","2709","  ","5238","  ","5552","  ","-841","  ","2764","  ","207","  ","-2561","  ","-3451","  ","-3655","  ","-3103","  ","-3175","  ","-2745","  ","-297","  ","2106","  ","5517","  ","7553","  ",
"Iowa","10674","  ","19427","  ","-4955","  ","16556","  ","4637","  ","-14124","  ","-16136","  ","-13614","  ","-2563","  ","-6962","  ","-5355","  ","541","  ","6384","  ","11129","  ","14550","  ","-7424","  ","15333","  ","9991","  ","-11564","  ","-16589","  ","-16826","  ","-8737","  ","-7981","  ","-7521","  ","1171","  ","5913","  ","10432","  ","18955","  ",
"Kansas","11914","  ","26541","  ","-10954","  ","11377","  ","7836","  ","-5912","  ","-14045","  ","-9249","  ","-16737","  ","-11868","  ","-13935","  ","-2777","  ","-521","  ","26416","  ","18461","  ","-15614","  ","8640","  ","11740","  ","-9250","  ","-12602","  ","-7892","  ","-15372","  ","-12785","  ","-4659","  ","-3998","  ","1135","  ","11044","  ","18383","  ",
"Kentucky","9656","  ","19675","  ","-17554","  ","7953","  ","-1730","  ","-9465","  ","-7783","  ","-6294","  ","-5729","  ","-5537","  ","-9947","  ","-14941","  ","2284","  ","20181","  ","13454","  ","-5015","  ","1712","  ","2549","  ","-11752","  ","-9008","  ","-9946","  ","-9214","  ","-9743","  ","-8340","  ","-4574","  ","12228","  ","16687","  ","24386","  ",
