"                   ","Field"," ","Total Storage"," ","Working Gas"," ","Und Storage"," ","Und Storage"," ","Und Storage"," ","Chg Work Gas"," ","Chg Work Gas"," ",""," ",""," "
"State                   ","Count"," ","Capacity"," ","Storage Capacity"," ","Base Gas"," ","Working Gas"," ","Total"," ","Volume"," ","Percentage"," ","Injections"," ","Withdrawals"," "
"Alabama","2","  ","43600","  ","33150","  ","9640","  ","20669","  ","30309","  ","13768","  ","199.5","  ","3081","  ","2367","  ",
"Alaska","5","  ","83592","  ","67915","  ","14197","  ","24790","  ","38987","  ","164","  ","0.7","  ","748","  ","289","  ",
"Arkansas","2","  ","21853","  ","12178","  ","11652","  ","1057","  ","12709","  ","-214","  ","-16.8","  ","208","  ","537","  ",
"California","14","  ","601808","  ","375496","  ","225845","  ","240467","  ","466313","  ","-8951","  ","-3.6","  ","7694","  ","14897","  ",
"Colorado","10","  ","130186","  ","63774","  ","58428","  ","29368","  ","87796","  ","2740","  ","10.3","  ","3933","  ","6345","  ",
"Illinois","28","  ","1004100","  ","303613","  ","701925","  ","89243","  ","791168","  ","12589","  ","16.4","  ","2208","  ","52482","  ",
"Indiana","21","  ","111581","  ","33592","  ","77164","  ","15277","  ","92441","  ","3953","  ","34.9","  ","119","  ","5378","  ",
"Iowa","4","  ","288210","  ","90313","  ","197897","  ","27970","  ","225867","  ","534","  ","1.9","  ","1","  ","10675","  ",
"Kansas","17","  ","282984","  ","122980","  ","164229","  ","57112","  ","221342","  ","17845","  ","45.4","  ","3898","  ","15812","  ",
"Kentucky","23","  ","221722","  ","107571","  ","112964","  ","68036","  ","181000","  ","21500","  ","46.2","  ","1883","  ","11540","  ",
"Louisiana","19","  ","743067","  ","453929","  ","274174","  ","305571","  ","579744","  ","140857","  ","85.5","  ","23206","  ","44381","  ",
"Maryland","1","  ","64000","  ","18300","  ","45677","  ","9111","  ","54789","  ","2976","  ","48.5","  ","546","  ","2840","  ",
"Michigan","44","  ","1071630","  ","685726","  ","385032","  ","398588","  ","783620","  ","221529","  ","125.1","  ","3532","  ","84187","  ",
"Minnesota","1","  ","7000","  ","2000","  ","4848","  ","1683","  ","6531","  ","228","  ","15.7","  ","0","  ","127","  ",
"Mississippi","12","  ","332958","  ","203085","  ","116483","  ","126026","  ","242509","  ","60981","  ","93.8","  ","12939","  ","19883","  ",
"Missouri","1","  ","13845","  ","6000","  ","7845","  ","6198","  ","14044","  ","1572","  ","34.0","  ","726","  ","557","  ",
"Montana","5","  ","376301","  ","197501","  ","178501","  ","13439","  ","191940","  ","4649","  ","52.9","  ","55","  ","2112","  ",
"Nebraska","1","  ","34850","  ","12653","  ","22197","  ","8093","  ","30290","  ","5","  ","0.1","  ","442","  ","991","  ",
"New Mexico","2","  ","89100","  ","59738","  ","29362","  ","42592","  ","71954","  ","15885","  ","59.5","  ","382","  ","1795","  ",
"New York","26","  ","245779","  ","126871","  ","114913","  ","73296","  ","188208","  ","11045","  ","17.7","  ","2066","  ","16639","  ",
"Ohio","24","  ","575794","  ","230828","  ","340158","  ","86221","  ","426379","  ","34265","  ","66.0","  ","260","  ","32421","  ",
"Oklahoma","13","  ","375143","  ","191455","  ","183624","  ","126100","  ","309723","  ","59569","  ","89.5","  ","4518","  ","14589","  ",
"Oregon","7","  ","29565","  ","15935","  ","11186","  ","12352","  ","23538","  ","993","  ","8.7","  ","336","  ","817","  ",
"Pennsylvania","49","  ","771422","  ","429796","  ","343699","  ","225614","  ","569313","  ","64473","  ","40.0","  ","8852","  ","71278","  ",
"Tennessee","1","  ","0","NA","0","  ","340","  ","0","  ","340","  ","0","  ","0.0","  ","0","  ","0","  ",
"Texas","36","  ","844911","  ","538281","  ","294196","  ","387127","  ","681323","  ","154836","  ","66.7","  ","21048","  ","45176","  ",
"Utah","3","  ","124509","  ","54942","  ","69525","  ","26512","  ","96037","  ","4913","  ","22.7","  ","1451","  ","5135","  ",
"Virginia","2","  ","9500","  ","5400","  ","4100","  ","3573","  ","7673","  ","1928","  ","117.1","  ","1471","  ","1488","  ",
"Washington","1","  ","46900","  ","24600","  ","22300","  ","9746","  ","32046","  ","-2626","  ","-21.2","  ","503","  ","6357","  ",
"West Virginia","30","  ","528637","  ","259314","  ","269801","  ","85437","  ","355238","  ","26766","  ","45.6","  ","2318","  ","37974","  ",
"Wyoming","9","  ","157985","  ","73705","  ","68062","  ","23871","  ","91933","  ","-200","  ","-0.8","  ","3024","  ","5472","  ",
"Regions",
"   East Region","132","  ","2195132","  ","1070509","  ","1118349","  ","483252","  ","1601601","  ","141451","  ","41.4","  ","15514","  ","162639","  ",
"   South Central Region","101","  ","2644516","  ","1555058","  ","1053997","  ","1023662","  ","2077659","  ","447642","  ","77.7","  ","68898","  ","142745","  ",
"   Midwest Region","123","  ","2718087","  ","1228815","  ","1488014","  ","606997","  ","2095011","  ","261905","  ","75.9","  ","8469","  ","164945","  ",
"   Mountain Region","30","  ","912931","  ","462313","  ","426075","  ","143875","  ","569950","  ","27993","  ","24.2","  ","9286","  ","21849","  ",
"   Pacific Region","22","  ","678273","  ","416031","  ","259331","  ","262566","  ","521897","  ","-10585","  ","-3.9","  ","8534","  ","22072","  ",
"Total Lower 48 States","408","  ","9148940","  ","4732726","  ","4345766","  ","2520351","  ","6866117","  ","868407","  ","52.6","  ","110702","  ","514249","  ",
"U.S. Total","413","  ","9232532","  ","4800641","  ","4359963","  ","2545141","  ","6905104","  ","868571","  ","51.8","  ","111449","  ","514538","  ",
