"                   ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," "
"State                   ","YTD 2016"," ","YTD 2016"," ","YTD 2016"," ","YTD 2015"," ","YTD 2015"," ","YTD 2015"," ","YTD 2014"," ","YTD 2014"," ","YTD 2014"," ","February 2016"," ","February 2016"," ","February 2016"," ","January 2016"," ","January 2016"," ","January 2016"," ","Total 2015"," ","Total 2015"," ","Total 2015"," ","December 2015"," ","December 2015"," ","December 2015"," ","November 2015"," ","November 2015"," ","November 2015"," ","October 2015"," ","October 2015"," ","October 2015"," ","September 2015"," ","September 2015"," ","September 2015"," ","August 2015"," ","August 2015"," ","August 2015"," ","July 2015"," ","July 2015"," ","July 2015"," ","June 2015"," ","June 2015"," ","June 2015"," ","May 2015"," ","May 2015"," ","May 2015"," ","April 2015"," ","April 2015"," ","April 2015"," ","March 2015"," ","March 2015"," ","March 2015"," ","February 2015"," ","February 2015"," ","February 2015"," ","January 2015"," ","January 2015"," ","January 2015"," "
"Alabama","100.0","  ","81.2","  ","25.4","  ","100.0","  ","82.7","  ","24.3","  ","100.0","  ","84.1","  ","26.1","  ","100.0","  ","84.3","  ","26.4","  ","100.0","  ","77.4","  ","24.5","  ","99.0","  ","77.6","  ","23.3","  ","100.0","  ","76.2","  ","22.9","  ","100.0","  ","69.9","  ","23.2","  ","100.0","  ","68.6","  ","23.8","  ","100.0","  ","69.7","  ","23.2","  ","68.8","  ","69.7","  ","21.7","  ","100.0","  ","70.5","  ","21.7","  ","100.0","  ","71.9","  ","22.4","  ","100.0","  ","72.6","  ","24.3","  ","100.0","  ","76.8","  ","23.6","  ","100.0","  ","85.7","  ","24.6","  ","100.0","  ","83.6","  ","24.6","  ","100.0","  ","81.7","  ","24.0","  ",
"Alaska","100.0","  ","99.7","  ","0.0","NA","100.0","  ","95.4","  ","100.0","  ","100.0","  ","98.2","  ","100.0","  ","100.0","  ","99.7","  ","0.0","NA","100.0","  ","99.7","  ","100.0","  ","100.0","  ","98.2","  ","100.0","  ","100.0","  ","99.7","  ","100.0","  ","100.0","  ","99.9","  ","100.0","  ","100.0","  ","98.7","  ","100.0","  ","100.0","  ","98.3","  ","100.0","  ","100.0","  ","97.2","  ","100.0","  ","100.0","  ","96.6","  ","100.0","  ","100.0","  ","97.7","  ","100.0","  ","100.0","  ","98.9","  ","100.0","  ","100.0","  ","99.7","  ","100.0","  ","100.0","  ","99.7","  ","100.0","  ","100.0","  ","95.2","  ","100.0","  ","100.0","  ","95.6","  ","100.0","  ",
"Arizona","100.0","  ","86.6","  ","13.4","  ","100.0","  ","86.8","  ","15.5","  ","100.0","  ","87.8","  ","12.7","  ","100.0","  ","85.8","  ","13.6","  ","100.0","  ","87.2","  ","13.1","  ","100.0","  ","83.8","  ","0.0","NA","100.0","  ","85.5","  ","13.6","  ","100.0","  ","83.3","  ","13.8","  ","100.0","  ","80.2","  ","16.3","  ","100.0","  ","80.1","  ","16.3","  ","100.0","  ","79.4","  ","0.0","NA","100.0","  ","80.7","  ","16.3","  ","100.0","  ","82.0","  ","16.2","  ","100.0","  ","82.7","  ","16.3","  ","100.0","  ","84.0","  ","16.0","  ","100.0","  ","85.0","  ","15.5","  ","100.0","  ","85.7","  ","16.0","  ","100.0","  ","87.7","  ","15.1","  ",
"Arkansas","100.0","  ","50.2","  ","1.7","  ","100.0","  ","55.5","  ","2.3","  ","100.0","  ","60.2","  ","2.4","  ","100.0","  ","53.1","  ","1.8","  ","100.0","  ","47.2","  ","1.6","  ","100.0","  ","42.5","  ","1.7","  ","100.0","  ","41.8","  ","1.7","  ","100.0","  ","28.2","  ","1.7","  ","100.0","  ","28.1","  ","1.5","  ","100.0","  ","25.7","  ","1.3","  ","100.0","  ","25.0","  ","1.6","  ","100.0","  ","28.0","  ","1.2","  ","100.0","  ","27.3","  ","1.2","  ","100.0","  ","30.2","  ","1.3","  ","100.0","  ","42.5","  ","1.6","  ","100.0","  ","59.6","  ","2.3","  ","100.0","  ","55.4","  ","2.3","  ","100.0","  ","55.7","  ","2.3","  ",
"California","95.1","  ","54.2","  ","4.8","  ","94.7","  ","52.8","  ","4.4","  ","94.9","  ","51.8","  ","5.1","  ","94.9","  ","53.6","  ","4.8","  ","95.3","  ","54.8","  ","4.9","  ","94.9","  ","50.0","  ","3.8","  ","95.6","  ","54.8","  ","4.6","  ","96.1","  ","51.7","  ","4.1","  ","94.7","  ","46.6","  ","4.0","  ","94.6","  ","43.9","  ","3.2","  ","94.9","  ","43.5","  ","3.1","  ","94.8","  ","45.0","  ","3.1","  ","94.6","  ","47.3","  ","3.1","  ","94.7","  ","51.6","  ","4.5","  ","94.8","  ","51.9","  ","3.4","  ","93.9","  ","50.7","  ","4.2","  ","94.5","  ","55.0","  ","5.3","  ","94.8","  ","51.0","  ","3.7","  ",
"Colorado","100.0","  ","95.3","  ","10.0","  ","100.0","  ","95.4","  ","9.7","  ","100.0","  ","95.4","  ","9.0","  ","100.0","  ","94.6","  ","9.7","  ","100.0","  ","95.8","  ","10.3","  ","0.0","NA","0.0","NA","0.0","NA","100.0","  ","95.8","  ","9.8","  ","100.0","  ","95.7","  ","9.1","  ","100.0","  ","93.1","  ","6.6","  ","100.0","  ","90.8","  ","5.8","  ","100.0","  ","91.0","  ","4.4","  ","100.0","  ","90.9","  ","3.5","  ","0.0","NA","0.0","NA","4.2","  ","0.0","NA","0.0","NA","8.7","  ","100.0","  ","93.5","  ","0.0","NA","100.0","  ","94.7","  ","8.9","  ","100.0","  ","95.2","  ","9.3","  ","100.0","  ","95.7","  ","9.9","  ",
"Connecticut","96.6","  ","0.0","NA","51.5","  ","96.7","  ","78.8","  ","48.8","  ","96.3","  ","66.4","  ","41.0","  ","96.6","  ","80.7","  ","52.1","  ","96.6","  ","0.0","NA","50.9","  ","96.3","  ","76.2","  ","47.2","  ","96.4","  ","78.4","  ","50.9","  ","95.9","  ","75.4","  ","49.8","  ","94.6","  ","73.5","  ","47.8","  ","96.2","  ","66.9","  ","44.5","  ","94.3","  ","67.6","  ","45.3","  ","95.8","  ","71.9","  ","43.9","  ","95.5","  ","70.6","  ","43.5","  ","94.9","  ","72.0","  ","43.4","  ","96.4","  ","77.2","  ","45.3","  ","96.7","  ","80.6","  ","49.7","  ","96.5","  ","79.2","  ","50.4","  ","96.9","  ","78.5","  ","47.2","  ",
"Delaware","100.0","  ","45.7","  ","0.4","  ","100.0","  ","52.6","  ","0.5","  ","100.0","  ","52.4","  ","0.4","  ","100.0","  ","49.4","  ","0.5","  ","100.0","  ","41.6","  ","0.3","  ","100.0","  ","45.7","  ","0.0","NA","100.0","  ","38.9","  ","0.2","  ","100.0","  ","31.6","  ","0.1","  ","100.0","  ","31.6","  ","0.2","  ","100.0","  ","29.9","  ","0.5","  ","100.0","  ","33.4","  ","0.1","  ","100.0","  ","35.8","  ","0.2","  ","100.0","  ","38.4","  ","0.0","NA","100.0","  ","43.3","  ","0.2","  ","100.0","  ","54.0","  ","0.5","  ","100.0","  ","54.7","  ","0.4","  ","100.0","  ","53.9","  ","0.6","  ","100.0","  ","51.3","  ","0.4","  ",
"District of Columbia","74.8","  ","22.2","  ","0.0","--","74.4","  ","23.8","  ","0.0","  ","75.6","  ","23.9","  ","0.0","  ","74.8","  ","22.0","  ","0.0","--","74.8","  ","22.6","  ","0.0","--","73.2","  ","21.4","  ","0.0","  ","72.4","  ","21.9","  ","0.0","--","70.1","  ","17.4","  ","0.0","--","70.6","  ","15.9","  ","0.0","--","69.6","  ","15.0","  ","0.0","--","68.8","  ","16.0","  ","0.0","--","68.0","  ","15.8","  ","0.0","--","83.8","  ","26.4","  ","0.0","--","63.9","  ","19.4","  ","0.0","--","77.1","  ","22.6","  ","0.0","--","72.6","  ","22.8","  ","0.0","--","74.7","  ","25.0","  ","0.0","  ","74.1","  ","22.6","  ","0.0","  ",
"Florida","97.8","  ","30.2","  ","3.6","  ","97.7","  ","33.1","  ","3.1","  ","98.0","  ","35.4","  ","3.2","  ","97.9","  ","31.0","  ","4.2","  ","97.5","  ","29.4","  ","3.0","  ","97.8","  ","0.0","NA","0.0","NA","97.6","  ","28.6","  ","0.0","NA","97.6","  ","27.6","  ","3.5","  ","97.7","  ","27.8","  ","3.0","  ","97.9","  ","27.7","  ","3.5","  ","97.7","  ","26.9","  ","3.3","  ","97.8","  ","28.0","  ","3.3","  ","98.1","  ","0.0","NA","3.0","  ","98.0","  ","30.2","  ","3.2","  ","97.5","  ","30.0","  ","3.8","  ","98.1","  ","32.4","  ","3.4","  ","97.6","  ","33.8","  ","3.5","  ","97.9","  ","32.4","  ","2.8","  ",
