"                   ","YTD"," ","YTD"," ","YTD"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Alabama","1027","  ","1027","  ","1018","  ","1025","  ","1029","  ","1030","  ","1029","  ","1029","  ","1030","  ","1030","  ","1030","  ","1032","  ","1032","  ","1031","  ","1032","  ","1029","  ","1026","  ","1028","  ","1025","  ","1028","  ","1029","  ","1027","  ","1029","  ","1027","  ","1026","  ","1025","  ","1024","  ","1021","  ","1019","  ","1017","  ","1018","  ",
"Alaska","1000","  ","1000","  ","1003","  ","1000","  ","1000","  ","1001","  ","1000","  ","1001","  ","1001","  ","1001","  ","1002","  ","1002","  ","1002","  ","1001","  ","1002","  ","1001","  ","1000","  ","1000","  ","1002","  ","1001","  ","1001","  ","1001","  ","1001","  ","1001","  ","1001","  ","1001","  ","1001","  ","1002","  ","1001","  ","1004","  ","1002","  ",
"Arizona","1046","  ","1037","  ","1025","  ","1047","  ","1046","  ","1039","  ","1044","  ","1041","  ","1042","  ","1040","  ","1038","  ","1038","  ","1036","  ","1038","  ","1040","  ","1036","  ","1038","  ","1038","  ","1029","  ","1032","  ","1032","  ","1033","  ","1032","  ","1032","  ","1030","  ","1028","  ","1028","  ","1031","  ","1026","  ","1025","  ","1024","  ",
"Arkansas","1022","  ","1028","  ","1021","  ","1015","  ","1019","  ","1028","  ","1015","  ","1014","  ","1029","  ","1019","  ","1022","  ","1023","  ","1020","  ","1022","  ","1025","  ","1023","  ","1023","  ","1021","  ","1024","  ","1017","  ","1011","  ","1018","  ","1019","  ","1021","  ","1021","  ","1019","  ","1017","  ","1018","  ","1015","  ","1015","  ","1017","  ",
"California","1036","  ","1034","  ","1023","  ","1036","  ","1038","  ","1035","  ","1037","  ","1037","  ","1035","  ","1037","  ","1037","  ","1037","  ","1037","  ","1033","  ","1034","  ","1033","  ","1035","  ","1034","  ","1029","  ","1034","  ","1035","  ","1034","  ","1033","  ","1031","  ","1028","  ","1028","  ","1029","  ","1028","  ","1024","  ","1023","  ","1025","  ",
"Colorado","1051","  ","1045","  ","1033","  ","1052","  ","1050","  ","1058","  ","1051","  ","1060","  ","1069","  ","1076","  ","1069","  ","1073","  ","1070","  ","1059","  ","1059","  ","1051","  ","1044","  ","1046","  ","1043","  ","1051","  ","1042","  ","1055","  ","1050","  ","1048","  ","1048","  ","1050","  ","1051","  ","1041","  ","1038","  ","1036","  ","1030","  ",
"Connecticut","1026","  ","1022","  ","1016","  ","1026","  ","1026","  ","1027","  ","1026","  ","1027","  ","1028","  ","1026","  ","1026","  ","1027","  ","1027","  ","1049","  ","1026","  ","1029","  ","1026","  ","1017","  ","1020","  ","1017","  ","1018","  ","1020","  ","1021","  ","1023","  ","1022","  ","1022","  ","1020","  ","1019","  ","1016","  ","1015","  ","1015","  ",
"Delaware","1050","  ","1060","  ","1047","  ","1050","  ","1055","  ","1050","  ","1049","  ","1051","  ","1051","  ","1043","  ","1044","  ","1044","  ","1055","  ","1055","  ","1051","  ","1062","  ","1061","  ","1061","  ","1054","  ","1064","  ","1063","  ","1063","  ","1062","  ","1065","  ","1063","  ","1049","  ","1045","  ","1051","  ","1048","  ","1048","  ","1052","  ",
"District of Columbia","1050","  ","1046","  ","1038","  ","1049","  ","1051","  ","1044","  ","1044","  ","1039","  ","1045","  ","1035","  ","1036","  ","1037","  ","1040","  ","1044","  ","1044","  ","1046","  ","1047","  ","1045","  ","1037","  ","1043","  ","1044","  ","1041","  ","1039","  ","1038","  ","1038","  ","1038","  ","1035","  ","1038","  ","1031","  ","1035","  ","1041","  ",
"Florida","1019","  ","1024","  ","1018","  ","1025","  ","1015","  ","1024","  ","1023","  ","1023","  ","1023","  ","1024","  ","1024","  ","1026","  ","1026","  ","1026","  ","1024","  ","1024","  ","1025","  ","1024","  ","1021","  ","1025","  ","1024","  ","1023","  ","1024","  ","1023","  ","1022","  ","1019","  ","1019","  ","1019","  ","1018","  ","1018","  ","1018","  ",
