"                   ","Residential"," ","Commercial"," ","Industrial"," ","Total"," ","Residential"," ","Commercial"," ","Industrial"," "
"State                   ","Volume"," ","Volume"," ","Volume"," ","Delivered"," ","Price"," ","Price"," ","Price"," "
"Alabama","1.4","  ","1.9","  ","1.6","  ","1.1","  ","0.18","  ","0.20","  ","0.15","  ",
"Alaska","0.0","  ","1.8","  ","2.7","  ","0.0","NA","0.00","  ","0.19","  ","0.00","  ",
"Arizona","1.7","  ","3.2","  ","1.0","  ","1.4","  ","0.34","  ","0.11","  ","0.05","  ",
"Arkansas","3.0","  ","1.7","  ","5.1","  ","2.2","  ","0.22","  ","0.23","  ","0.38","  ",
"California","2.2","  ","1.7","  ","0.3","  ","0.9","  ","0.80","  ","0.55","  ","0.32","  ",
"Colorado","1.3","  ","0.4","  ","1.1","  ","0.8","  ","0.09","  ","0.08","  ","0.07","  ",
"Connecticut","0.8","  ","0.5","  ","1.8","  ","0.5","  ","0.04","  ","0.12","  ","0.02","  ",
"Delaware","0.0","  ","0.0","  ","0.0","  ","0.0","  ","0.00","  ","0.00","  ","0.00","  ",
"District of Columbia","0.0","  ","0.0","  ","0.0","  ","0.0","  ","0.00","  ","0.00","  ","0.00","  ",
"Florida","0.9","  ","0.6","  ","0.8","  ","0.5","  ","0.17","  ","0.20","  ","0.17","  ",
"Georgia","0.0","  ","0.0","  ","3.9","  ","0.0","  ","0.03","  ","0.03","  ","0.63","  ",
"Hawaii","0.0","  ","0.0","  ","0.0","  ","0.0","  ","0.00","  ","0.00","  ","0.00","  ",
"Idaho","0.3","  ","0.4","  ","0.0","  ","0.2","  ","0.02","  ","0.02","  ","0.00","  ",
"Illinois","0.3","  ","0.1","  ","1.0","  ","0.3","  ","0.10","  ","0.12","  ","0.19","  ",
"Indiana","0.6","  ","0.4","  ","1.4","  ","0.7","  ","0.05","  ","0.04","  ","0.38","  ",
"Iowa","0.8","  ","1.7","  ","1.6","  ","0.9","  ","0.13","  ","0.19","  ","0.00","NA",
"Kansas","1.6","  ","1.2","  ","1.7","  ","1.0","  ","0.06","  ","0.13","  ","0.65","  ",
"Kentucky","0.4","  ","0.5","  ","1.4","  ","0.7","  ","0.08","  ","0.07","  ","0.16","  ",
"Louisiana","1.8","  ","1.9","  ","0.8","  ","0.7","  ","0.15","  ","0.14","  ","0.13","  ",
"Maine","0.0","  ","0.0","  ","0.0","NA","0.0","NA","0.00","  ","0.00","  ","0.00","  ",
"Maryland","0.3","  ","1.7","  ","1.8","  ","0.7","  ","0.09","  ","0.13","  ","0.58","  ",
"Massachusetts","0.3","  ","0.4","  ","2.2","  ","0.4","  ","0.16","  ","0.16","  ","0.23","  ",
"Michigan","0.4","  ","1.0","  ","1.2","  ","0.4","  ","0.05","  ","0.06","  ","0.09","  ",
"Minnesota","0.0","NA","0.9","  ","0.0","NA","0.0","NA","0.05","  ","0.03","  ","0.07","  ",
"Mississippi","1.3","  ","1.0","  ","2.7","  ","1.7","  ","0.08","  ","0.11","  ","0.21","  ",
"Missouri","0.5","  ","0.4","  ","0.0","NA","0.0","NA","0.03","  ","0.04","  ","0.00","NA",
"Montana","0.6","  ","0.5","  ","8.5","  ","2.4","  ","0.02","  ","0.09","  ","0.00","  ",
"Nebraska","0.5","  ","0.7","  ","1.2","  ","0.5","  ","0.19","  ","0.15","  ","0.24","  ",
"Nevada","0.0","  ","0.0","  ","0.6","  ","0.1","  ","0.00","  ","0.00","  ","0.07","  ",
"New Hampshire","0.0","  ","0.0","  ","0.0","NA","0.0","NA","0.00","  ","0.00","  ","0.21","  ",
"New Jersey","0.0","  ","0.0","  ","0.8","  ","0.1","  ","0.00","  ","0.00","  ","0.20","  ",
"New Mexico","1.7","  ","0.7","  ","2.4","  ","1.0","  ","0.04","  ","0.07","  ","0.00","NA",
"New York","0.0","  ","0.0","  ","1.0","  ","0.0","  ","0.07","  ","0.05","  ","0.32","  ",
"North Carolina","0.2","  ","0.4","  ","0.6","  ","0.2","  ","0.03","  ","0.04","  ","0.11","  ",
"North Dakota","0.7","  ","1.1","  ","6.4","  ","2.7","  ","0.05","  ","0.05","  ","0.00","  ",
"Ohio","0.0","  ","0.0","  ","2.1","  ","0.0","  ","0.04","  ","0.02","  ","0.39","  ",
"Oklahoma","0.0","NA","0.0","NA","0.0","NA","0.0","NA","0.02","  ","0.10","  ","0.23","  ",
"Oregon","0.0","  ","0.0","  ","2.5","  ","0.9","  ","0.00","  ","0.00","  ","0.00","  ",
"Pennsylvania","0.5","  ","0.8","  ","2.0","  ","0.6","  ","0.10","  ","0.08","  ","0.30","  ",
"Rhode Island","0.0","  ","0.0","  ","0.0","  ","0.0","  ","0.00","  ","0.00","  ","0.00","  ",
"South Carolina","0.3","  ","2.3","  ","2.0","  ","1.0","  ","0.17","  ","0.20","  ","0.19","  ",
"South Dakota","1.4","  ","1.4","  ","0.6","  ","0.6","  ","0.17","  ","0.16","  ","0.06","  ",
"Tennessee","0.4","  ","0.6","  ","0.7","  ","0.3","  ","0.11","  ","0.10","  ","0.08","  ",
"Texas","1.2","  ","1.2","  ","0.7","  ","0.5","  ","0.08","  ","0.08","  ","0.01","  ",
"Utah","0.3","  ","0.1","  ","0.4","  ","0.2","  ","0.00","  ","0.00","  ","0.32","  ",
"Vermont","0.0","  ","0.0","  ","0.0","  ","0.0","  ","0.00","  ","0.00","  ","0.00","  ",
"Virginia","1.2","  ","1.2","  ","1.9","  ","0.8","  ","0.16","  ","0.24","  ","0.31","  ",
"Washington","0.6","  ","0.9","  ","3.2","  ","1.1","  ","0.13","  ","0.06","  ","0.08","  ",
"West Virginia","1.2","  ","0.9","  ","5.3","  ","1.6","  ","0.11","  ","0.11","  ","1.48","  ",
