"                   ","Gross"," ","Marketed"," ","Extraction"," ","Dry Gas"," ","Supplemental"," ","Net"," ","Net Storage"," ","Balancing"," ","Total"," "
"Year and Month     ","Withdrawals"," ","Production"," ","Loss"," ","Production"," ","Gaseous Fuels"," ","Imports"," ","Withdrawals"," ","Item"," ","Consumption"," "
"2011 Total","28479","  ","24036","  ","1134","  ","22902","  ","60","  ","1963","  ","-354","  ","-94","  ","24477","  ",
"2012 Total","29542","  ","25283","  ","1250","  ","24033","  ","61","  ","1519","  ","-9","  ","-66","  ","25538","  ",
"2013 Total","29523","  ","25562","  ","1357","  ","24206","  ","55","  ","1311","  ","546","  ","38","  ","26155","  ",
"2014",
"  January                 ","2580","  ","2199","  ","129","  ","2070","  ","5","  ","161","  ","992","  ","-23","  ","3204","  ",
"  February                 ","2357","  ","2033","  ","119","  ","1914","  ","4","  ","107","  ","745","  ","-29","  ","2741","  ",
"  March                 ","2624","  ","2267","  ","133","  ","2135","  ","5","  ","85","  ","363","  ","-30","  ","2558","  ",
"  April                 ","2584","  ","2248","  ","131","  ","2116","  ","5","  ","79","  ","-224","  ","-14","  ","1962","  ",
"  May                 ","2633","  ","2310","  ","135","  ","2175","  ","5","  ","93","  ","-488","  ","26","  ","1810","  ",
"  June                 ","2560","  ","2247","  ","131","  ","2116","  ","5","  ","82","  ","-473","  ","16","  ","1745","  ",
"  July                 ","2629","  ","2371","  ","139","  ","2233","  ","5","  ","74","  ","-409","  ","-22","  ","1881","  ",
"  August                 ","2645","  ","2384","  ","139","  ","2245","  ","5","  ","91","  ","-383","  ","-26","  ","1933","  ",
"  September                 ","2626","  ","2307","  ","135","  ","2172","  ","5","  ","82","  ","-431","  ","-18","  ","1809","  ",
"  October                 ","2736","  ","2407","  ","141","  ","2266","  ","5","  ","106","  ","-409","  ","-55","  ","1913","  ",
"  November                 ","2662","  ","2315","  ","135","  ","2179","  ","5","  ","107","  ","168","  ","-102","  ","2358","  ",
"  December                 ","2770","  ","2410","  ","141","  ","2269","  ","5","  ","117","  ","295","  ","-7","  ","2679","  ",
"     Total             ","31405","  ","27498","  ","1608","  ","25890","  ","60","  ","1181","  ","-254","  ","-283","  ","26593","  ",
"2015",
"  January                 ","2771","  ","2391","  ","141","  ","2250","  ","5","  ","135","  ","741","  ","-15","  ","3116","  ",
"  February                 ","2516","  ","2193","  ","129","  ","2063","  ","4","  ","109","  ","757","  ","-8","  ","2927","  ",
"  March                 ","2824","  ","2439","  ","144","  ","2296","  ","5","  ","93","  ","201","  ","-2","  ","2592","  ",
"  April                 ","2750","  ","2391","  ","141","  ","2251","  ","5","  ","75","  ","-329","  ","12","  ","2013","  ",
"  May                 ","2791","  ","2444","  ","144","  ","2300","  ","5","  ","70","  ","-508","  ","-4","  ","1863","  ",
"  June                 ","2669","  ","2368","  ","139","  ","2229","  ","5","  ","68","  ","-370","  ","-24","  ","1908","  ",
"  July                 ","2758","  ","2448","  ","144","  ","2304","  ","5","  ","73","  ","-291","  ","-14","  ","2077","  ",
"  August                 ","2742","  ","2446","  ","144","  ","2302","  ","5","  ","69","  ","-317","  ","2","  ","2061","  ",
"  September                 ","2727","  ","2390","  ","141","  ","2249","  ","5","  ","46","  ","-381","  ","-11","  ","1909","  ",
"  October                 ","2801","  ","2441","  ","144","  ","2298","  ","5","  ","68","  ","-339","  ","-38","  ","1994","  ",
"  November                 ","2731","  ","2362","  ","139","  ","2223","  ","5","  ","63","  ","17","  ","-52","  ","2255","  ",
"  December                 ","2814","  ","2438","  ","144","  ","2295","  ","5","  ","66","  ","272","  ","-47","  ","2591","  ",
"     Total             ","32895","  ","28753","  ","1693","  ","27060","  ","59","  ","935","  ","-546","  ","-201","  ","27306","  ",
"2016",
"  January                 ","2819","E ","2424","E ","148","  ","2275","E ","5","  ","105","  ","728","  ","-16","R","3098","R",
"  February                 ","2668","E ","2304","E ","140","  ","2164","E ","5","  ","89","  ","403","  ","-3","  ","2659","R",
"  March                 ","2823","E ","2431","E ","157","  ","2274","E ","5","  ","46","  ","59","  ","-21","R","2363","R",
"  April                 ","2682","E ","2340","E ","151","  ","2188","E ","5","  ","66","  ","-164","  ","-4","R","2090","R",
"  May                 ","2779","E ","2411","E ","160","  ","2250","E ","5","  ","62","  ","-327","  ","-18","R","1973","R",
"  June                 ","2635","E ","2304","E ","156","  ","2148","E ","2","  ","61","  ","-224","  ","18","R","2006","R",
"  July                 ","2710","E ","2372","E ","160","  ","2213","E ","5","  ","79","  ","-133","  ","27","R","2190","R",
"  August                 ","2742","E ","2394","E ","152","  ","2242","E ","5","  ","49","  ","-124","  ","43","R","2215","R",
"  September                 ","2640","RE","2303","RE","147","  ","2155","RE","5","  ","37","  ","-263","  ","16","R","1951","R",
"  October                 ","2716","RE","2351","E ","160","  ","2191","E ","5","  ","56","R","-309","  ","-17","R","1926","R",
"  November                 ","2685","E ","2310","E ","155","  ","2155","E ","5","  ","5","  ","35","  ","-38","  ","2162","  ",
"2016 11-Month YTD","29900","E ","25942","E ","1687","  ","24255","E ","53","  ","655","  ","-318","  ","-12","  ","24632","  ",
"2015 11-Month YTD","30080","  ","26315","  ","1550","  ","24765","  ","54","  ","869","  ","-818","  ","-154","  ","24715","  ",
"2014 11-Month YTD","28635","  ","25088","  ","1467","  ","23620","  ","54","  ","1064","  ","-549","  ","-276","  ","23914","  ",
