"                   ","NGLC"," ","Natural Gas Spot"," ","Citygate"," ","Residential"," ","Residential"," ","Commercial"," ","Commercial"," ","Industrial"," ","Industrial"," ","Electric Power"," "
"Year and Month     ","Price"," ","Price"," ","Price"," ","Price"," ","Percentage"," ","Price"," ","Percentage"," ","Price"," ","Percentage"," ","Price"," "
"2011 Annual Average","15.12","  ","4.00","  ","5.63","  ","11.03","  ","96.2","  ","8.91","  ","67.3","  ","5.13","  ","16.3","  ","4.89","  ",
"2012 Annual Average","10.98","  ","2.75","  ","4.73","  ","10.65","  ","95.8","  ","8.10","  ","65.2","  ","3.88","  ","16.2","  ","3.54","  ",
"2013 Annual Average","9.94","  ","3.73","  ","4.88","  ","10.32","  ","95.7","  ","8.08","  ","65.8","  ","4.64","  ","16.6","  ","4.49","  ",
"2014",
"  January                 ","11.61","  ","4.71","  ","5.56","  ","9.26","  ","95.7","  ","8.11","  ","70.7","  ","5.69","  ","15.5","  ","7.46","  ",
"  February                 ","11.94","  ","6.00","  ","6.41","  ","9.77","  ","95.5","  ","8.69","  ","70.6","  ","6.63","  ","16.1","  ","7.80","  ",
"  March                 ","10.03","  ","4.90","  ","6.57","  ","10.70","  ","95.4","  ","9.35","  ","69.4","  ","6.47","  ","15.8","  ","6.29","  ",
"  April                 ","10.26","  ","4.66","  ","5.64","  ","11.76","  ","95.3","  ","9.49","  ","65.1","  ","5.85","  ","14.9","  ","5.25","  ",
"  May                 ","10.02","  ","4.58","  ","5.90","  ","13.60","  ","95.4","  ","9.70","  ","60.5","  ","5.74","  ","14.8","  ","5.09","  ",
"  June                 ","10.17","  ","4.59","  ","6.05","  ","16.13","  ","95.5","  ","9.94","  ","58.1","  ","5.46","  ","14.5","  ","4.99","  ",
"  July                 ","9.94","  ","4.05","  ","5.99","  ","17.23","  ","95.5","  ","10.06","  ","55.7","  ","5.43","  ","14.7","  ","4.58","  ",
"  August                 ","9.69","  ","3.91","  ","5.49","  ","17.41","  ","95.6","  ","9.67","  ","55.2","  ","4.96","  ","14.3","  ","4.25","  ",
"  September                 ","9.86","  ","3.92","  ","5.51","  ","16.27","  ","95.6","  ","9.39","  ","55.7","  ","5.02","  ","13.9","  ","4.34","  ",
