"                        ","YTD"," ","YTD"," ","YTD"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"                        ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Exports",
"  Volume (million cubic feet)           ",
"    Pipeline                            ",
"      Canada                            ","625686","  ","580783","  ","633600","  ","69786","  ","61499","  ","55012","  ","49750","  ","50715","  ","62768","  ","62931","  ","81403","  ","62192","  ","69629","  ","700647","  ","58603","  ","61260","  ","57430","  ","59695","  ","40986","  ","39995","  ","44658","  ","44672","  ","53086","  ","89639","  ","77594","  ","73028","  ","769258","  ","73331","  ","62327","  ","51838","  ","52153","  ","46888","  ","55096","  ","54581","  ","49976","  ","65157","  ","91436","  ","84535","  ","81939","  ",
"      Mexico                            ","1128808","  ","862829","  ","606425","  ","127427","  ","121461","R","130253","  ","120774","R","113570","  ","113229","  ","102605","  ","103413","  ","97234","  ","98841","  ","1054271","  ","99952","  ","91490","  ","98314","  ","100111","  ","101131","  ","101031","  ","90724","  ","86805","  ","77196","  ","74286","  ","64596","  ","68635","  ","728513","  ","63601","  ","58487","  ","60318","  ","64834","  ","65624","  ","69366","  ","65247","  ","62199","  ","56719","  ","58019","  ","51291","  ","52807","  ",
"    Total Pipeline Exports              ","1754494","  ","1443613","  ","1240025","  ","197213","  ","182961","R","185265","  ","170524","R","164285","  ","175997","  ","165537","  ","184816","  ","159426","  ","168470","  ","1754918","  ","158555","  ","152750","  ","155744","  ","159806","  ","142117","  ","141027","  ","135382","  ","131477","  ","130283","  ","163925","  ","142190","  ","141663","  ","1497771","  ","136932","  ","120814","  ","112156","  ","116987","  ","112513","  ","124462","  ","119828","  ","112175","  ","121877","  ","149455","  ","135827","  ","134746","  ",
"    LNG                                 ",
"       Exports",
"          By Vessel",
"             Argentina","16661","  ","0","  ","0","  ","0","  ","0","  ","2190","  ","0","  ","8161","  ","0","  ","6310","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"             Barbados","59","  ","0","  ","0","  ","15","  ","14","  ","11","  ","8","  ","2","  ","1","  ","3","  ","2","  ","2","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"             Brazil","9196","  ","0","  ","0","  ","0","  ","0","  ","3933","  ","0","  ","0","  ","0","  ","0","  ","3270","  ","1993","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"             Chile","26465","  ","0","  ","0","  ","0","  ","0","  ","9518","  ","6074","  ","4643","  ","6230","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"             China","3132","  ","0","  ","0","  ","0","  ","0","  ","0","  ","3132","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"             Dominican Republic","2945","  ","0","  ","0","  ","0","  ","0","  ","2945","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"             India","13801","  ","0","  ","0","  ","0","  ","3639","  ","3701","  ","0","  ","3617","  ","0","  ","0","  ","2844","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ",
"             Japan                             ","0","  ","8262","  ","13310","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","8262","  ","0","  ","0","  ","2755","  ","0","  ","2753","  ","2753","  ","0","  ","0","  ","0","  ","0","  ","0","  ","0","  ","13310","  ","0","  ","0","  ","2884","  ","2886","  ","2846","  ","2809","  ","0","  ","1886","  ","0","  ","0","  ","0","  ","0","  ",
