"                   ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," ",""," "
"Year and Month     ","Alaska"," ","Arkansas"," ","California"," ","Colorado"," ","Kansas"," ","Louisiana"," ","Montana"," ","New Mexico"," ","North Dakota"," ","Ohio"," ","Oklahoma"," ","Pennsylvania"," ","Texas"," ","Utah"," ","West Virginia"," ","Wyoming"," ","Other States"," ","Federal Gulf of Mexico"," ","US Total"," "
"2011 Total","3162922","  ","1076757","  ","279130","  ","1649306","  ","309952","  ","3040523","  ","79506","  ","1287682","  ","157025","  ","78858","  ","1888870","  ","1310592","  ","7934689","  ","461507","  ","394125","  ","2375301","  ","1161365","  ","1830913","  ","28479026","  ",
"2012 Total","3164791","  ","1146168","  ","246822","  ","1709376","  ","296299","  ","2955437","  ","66954","  ","1276296","  ","258568","  ","84482","  ","2023461","  ","2256696","  ","8143510","  ","490393","  ","539860","  ","2225622","  ","1129702","  ","1527875","  ","29542313","  ",
"2013 Total","3215358","  ","1139654","  ","252310","  ","1604860","  ","292467","  ","2366943","  ","63242","  ","1247394","  ","345787","  ","166017","  ","1993754","  ","3259042","  ","8299472","  ","470863","  ","741853","  ","2047757","  ","689082","  ","1326697","  ","29522551","  ",
"2014",
"  January                 ","306344","  ","94869","  ","21579","  ","135607","  ","23815","  ","174225","  ","5075","  ","104379","  ","31460","  ","28245","  ","169541","  ","348235","  ","696202","  ","38856","  ","73914","  ","171228","  ","54135","  ","102309","  ","2580019","  ",
"  February                 ","270272","  ","86784","  ","19426","  ","122421","  ","20985","  ","157443","  ","4542","  ","95316","  ","29785","  ","25512","  ","172102","  ","314535","  ","630948","  ","35555","  ","71648","  ","154960","  ","49149","  ","95596","  ","2356978","  ",
"  March                 ","298987","  ","96520","  ","20663","  ","138073","  ","23774","  ","173509","  ","5045","  ","107588","  ","33785","  ","28245","  ","181183","  ","348235","  ","714833","  ","39594","  ","82080","  ","172228","  ","54132","  ","105440","  ","2623914","  ",
"  April                 ","277210","  ","93375","  ","20004","  ","135652","  ","23366","  ","165060","  ","4922","  ","104517","  ","34177","  ","34153","  ","210833","  ","337002","  ","706789","  ","38591","  ","79244","  ","162724","  ","49892","  ","106362","  ","2583873","  ",
"  May                 ","262449","  ","96739","  ","20559","  ","140897","  ","24361","  ","172182","  ","5100","  ","105505","  ","37055","  ","35291","  ","189050","  ","348235","  ","737479","  ","39495","  ","84312","  ","168442","  ","54626","  ","111475","  ","2633253","  ",
"  June                 ","252462","  ","92022","  ","19139","  ","134887","  ","23521","  ","166782","  ","4972","  ","104200","  ","37621","  ","34153","  ","189852","  ","337002","  ","718128","  ","38276","  ","83597","  ","164161","  ","51851","  ","107406","  ","2560033","  ",
"  July                 ","195169","  ","95474","  ","19704","  ","137404","  ","24540","  ","165132","  ","5051","  ","108509","  ","40126","  ","49449","  ","205705","  ","374771","  ","744321","  ","39069","  ","92609","  ","168593","  ","53579","  ","109951","  ","2629156","  ",
"  August                 ","190335","  ","94382","  ","19778","  ","142911","  ","24747","  ","161519","  ","5010","  ","109888","  ","41826","  ","49449","  ","216406","  ","374771","  ","750316","  ","38583","  ","95588","  ","164792","  ","53823","  ","110811","  ","2644937","  ",
"  September                 ","259855","  ","92090","  ","18945","  ","135489","  ","24182","  ","160478","  ","4772","  ","104213","  ","42687","  ","47854","  ","195150","  ","362682","  ","719501","  ","36758","  ","96856","  ","165309","  ","52162","  ","106522","  ","2625503","  ",
"  October                 ","271472","  ","94412","  ","19834","  ","142845","  ","25030","  ","162334","  ","4917","  ","107653","  ","44551","  ","60659","  ","202957","  ","374771","  ","749286","  ","37217","  ","101552","  ","171773","  ","53731","  ","110725","  ","2735719","  ",
"  November                 ","282350","  ","92488","  ","19365","  ","136375","  ","23923","  ","158040","  ","4641","  ","105856","  ","43146","  ","58702","  ","196620","  ","362682","  ","726287","  ","35868","  ","98013","  ","164726","  ","51055","  ","101778","  ","2661917","  ",
"  December                 ","301640","  ","93578","  ","19993","  ","140925","  ","24236","  ","151915","  ","5112","  ","108754","  ","46996","  ","60659","  ","201686","  ","374771","  ","765097","  ","36681","  ","107701","  ","169569","  ","53403","  ","107362","  ","2770080","  ",
"     Total             ","3168545","  ","1122733","  ","238988","  ","1643487","  ","286480","  ","1968618","  ","59160","  ","1266379","  ","463216","  ","512371","  ","2331086","  ","4257693","  ","8659188","  ","454545","  ","1067114","  ","1998505","  ","631536","  ","1275738","  ","31405381","  ",
"2015",
"  January                 ","291928","  ","90124","  ","19579","  ","143307","  ","27171","  ","151130","  ","5016","  ","103388","  ","45747","  ","64049","  ","206817","  ","408019","  ","740385","  ","37590","  ","110332","  ","166745","  ","52270","  ","107666","  ","2771263","  ",
