"                   ","Salt Cavern"," ","Salt Cavern"," ","Salt Cavern"," ","Chg Work Gas"," ","Chg Work Gas"," ",""," ",""," ","Net"," "
"Year and Month     ","Base Gas"," ","Working Gas"," ","Total"," ","Volume"," ","Percentage"," ","Injection"," ","Withdrawals"," ","Withdrawals"," "
"2011 Total","0","--","0","--","0","--","0","--","0.0","--","533","  ","440","  ","-92","  ",
"2012 Total","0","--","0","--","0","--","0","--","0.0","--","465","  ","445","  ","-20","  ",
"2013 Total","0","--","0","--","0","--","0","--","0.0","--","492","  ","521","  ","29","  ",
"2014",
"  January                 ","170","  ","143","  ","312","  ","-109","  ","-43.3","  ","32","  ","159","  ","128","  ",
"  February                 ","169","  ","95","  ","263","  ","-105","  ","-52.6","  ","56","  ","105","  ","49","  ",
"  March                 ","168","  ","68","  ","236","  ","-107","  ","-61.2","  ","41","  ","68","  ","27","  ",
"  April                 ","168","  ","119","  ","288","  ","-94","  ","-44.1","  ","67","  ","15","  ","-51","  ",
"  May                 ","168","  ","179","  ","347","  ","-79","  ","-30.5","  ","75","  ","15","  ","-60","  ",
"  June                 ","172","  ","209","  ","381","  ","-60","  ","-22.5","  ","52","  ","18","  ","-34","  ",
"  July                 ","173","  ","226","  ","399","  ","-47","  ","-17.2","  ","43","  ","24","  ","-20","  ",
"  August                 ","178","  ","229","  ","407","  ","-35","  ","-13.2","  ","37","  ","30","  ","-7","  ",
"  September                 ","180","  ","271","  ","450","  ","-25","  ","-8.6","  ","61","  ","17","  ","-44","  ",
"  October                 ","180","  ","331","  ","511","  ","0","**","0.1","  ","77","  ","17","  ","-61","  ",
"  November                 ","180","  ","335","  ","515","  ","23","  ","7.3","  ","50","  ","46","  ","-4","  ",
"  December                 ","179","  ","341","  ","520","  ","73","  ","27.3","  ","42","  ","37","  ","-5","  ",
"     Total             ","0","--","0","--","0","--","0","--","0.0","--","634","  ","552","  ","-82","  ",
"2015",
"  January                 ","179","  ","260","  ","439","  ","117","  ","82.2","  ","24","  ","105","  ","81","  ",
"  February                 ","179","  ","135","  ","314","  ","40","  ","42.6","  ","15","  ","140","  ","125","  ",
"  March                 ","178","  ","147","  ","325","  ","79","  ","115.5","  ","58","  ","46","  ","-12","  ",
"  April                 ","178","  ","230","  ","407","  ","110","  ","92.3","  ","95","  ","13","  ","-82","  ",
"  May                 ","180","  ","292","  ","472","  ","113","  ","63.3","  ","82","  ","17","  ","-65","  ",
"  June                 ","182","  ","307","  ","488","  ","98","  ","46.9","  ","44","  ","29","  ","-15","  ",
"  July                 ","182","  ","305","  ","487","  ","79","  ","35.0","  ","37","  ","38","  ","1","  ",
"  August                 ","182","  ","309","  ","491","  ","80","  ","35.0","  ","36","  ","32","  ","-4","  ",
"  September                 ","182","  ","341","  ","523","  ","70","  ","25.9","  ","55","  ","24","  ","-31","  ",
"  October                 ","182","  ","384","  ","566","  ","53","  ","16.1","  ","67","  ","24","  ","-43","  ",
"  November                 ","182","  ","398","  ","579","  ","62","  ","18.6","  ","50","  ","37","  ","-13","  ",
"  December                 ","182","  ","395","  ","577","  ","55","  ","16.0","  ","44","  ","46","  ","2","  ",
"     Total             ","0","--","0","--","0","--","0","--","0.0","--","607","  ","551","  ","-56","  ",
"2016",
"  January                 ","181","  ","320","  ","501","  ","60","  ","23.2","  ","29","  ","105","  ","76","  ",
"  February                 ","181","  ","303","  ","485","  ","168","  ","124.4","  ","42","  ","58","  ","16","  ",
"  March                 ","182","  ","331","  ","513","  ","184","  ","125.2","  ","67","  ","39","  ","-28","  ",
"  April                 ","183","  ","367","  ","550","  ","138","  ","60.0","  ","66","  ","27","  ","-38","  ",
"  May                 ","183","  ","377","  ","560","  ","84","  ","28.9","  ","46","  ","36","  ","-10","  ",
"  June                 ","183","  ","357","  ","541","  ","51","  ","16.5","  ","26","  ","45","  ","19","  ",
"  July                 ","183","  ","328","  ","511","  ","22","  ","7.4","  ","32","  ","62","  ","29","  ",
"  August                 ","184","  ","290","  ","474","  ","-19","  ","-6.1","  ","33","  ","69","  ","37","  ",
"  September                 ","185","  ","304","  ","489","  ","-37","  ","-10.9","  ","52","  ","37","  ","-14","  ",
"  October                 ","185","  ","392","  ","577","  ","8","  ","2.0","  ","115","  ","26","  ","-89","  ",
"  November                 ","186","  ","410","  ","596","  ","12","  ","3.1","  ","47","  ","28","  ","-20","  ",
"2016 11-Month YTD","0","--","0","--","0","--","0","--","0.0","--","555","  ","533","  ","-21","  ",
"2015 11-Month YTD","0","--","0","--","0","--","0","--","0.0","--","563","  ","505","  ","-58","  ",
"2014 11-Month YTD","0","--","0","--","0","--","0","--","0.0","--","592","  ","515","  ","-77","  ",
