"                   ","Non-Sal"," ","Non-Salt Cavern"," ","Non-Salt Cavern"," ","Chg Work Gas"," ","Chg Work Gas"," ",""," ",""," ","Net"," "
"Year and Month     ",""," ","Working"," ","Total"," ","Volume"," ","Percentage"," ","Injections"," ","Withdrawals"," ","Withdrawals"," "
"2011 Total","0","--","0","--","0","--","0","--","0.0","--","2889","  ","2634","  ","-255","  ",
"2012 Total","0","--","0","--","0","--","0","--","0.0","--","2360","  ","2373","  ","12","  ",
"2013 Total","0","--","0","--","0","--","0","--","0.0","--","2664","  ","3181","  ","517","  ",
"2014",
"  January                 ","4194","  ","1782","  ","5976","  ","-665","  ","-27.2","  ","37","  ","879","  ","843","  ",
"  February                 ","4192","  ","1105","  ","5297","  ","-794","  ","-41.8","  ","48","  ","727","  ","679","  ",
"  March                 ","4182","  ","789","  ","4971","  ","-755","  ","-48.9","  ","93","  ","419","  ","326","  ",
"  April                 ","4188","  ","947","  ","5135","  ","-695","  ","-42.3","  ","256","  ","90","  ","-166","  ",
"  May                 ","4184","  ","1369","  ","5553","  ","-643","  ","-32.0","  ","454","  ","36","  ","-418","  ",
"  June                 ","4186","  ","1797","  ","5982","  ","-577","  ","-24.3","  ","454","  ","25","  ","-429","  ",
"  July                 ","4188","  ","2174","  ","6362","  ","-490","  ","-18.4","  ","420","  ","40","  ","-380","  ",
"  August                 ","4189","  ","2539","  ","6728","  ","-409","  ","-13.9","  ","410","  ","44","  ","-366","  ",
"  September                 ","4190","  ","2916","  ","7106","  ","-352","  ","-10.8","  ","408","  ","30","  ","-378","  ",
"  October                 ","4188","  ","3256","  ","7444","  ","-230","  ","-6.6","  ","375","  ","35","  ","-340","  ",
"  November                 ","4188","  ","3092","  ","7279","  ","-201","  ","-6.1","  ","150","  ","316","  ","166","  ",
"  December                 ","4185","  ","2800","  ","6986","  ","178","  ","6.8","  ","101","  ","392","  ","291","  ",
"     Total             ","0","--","0","--","0","--","0","--","0.0","--","3205","  ","3034","  ","-171","  ",
"2015",
"  January                 ","4182","  ","2155","  ","6337","  ","373","  ","20.9","  ","46","  ","690","  ","644","  ",
"  February                 ","4181","  ","1539","  ","5720","  ","434","  ","39.2","  ","46","  ","663","  ","616","  ",
"  March                 ","4182","  ","1333","  ","5515","  ","544","  ","68.9","  ","124","  ","330","  ","205","  ",
"  April                 ","4182","  ","1572","  ","5755","  ","625","  ","66.0","  ","310","  ","71","  ","-239","  ",
"  May                 ","4183","  ","2004","  ","6187","  ","635","  ","46.4","  ","460","  ","28","  ","-433","  ",
"  June                 ","4185","  ","2349","  ","6534","  ","552","  ","30.7","  ","386","  ","39","  ","-346","  ",
"  July                 ","4190","  ","2627","  ","6818","  ","454","  ","20.9","  ","342","  ","58","  ","-284","  ",
"  August                 ","4182","  ","2941","  ","7123","  ","401","  ","15.8","  ","358","  ","53","  ","-305","  ",
"  September                 ","4183","  ","3281","  ","7465","  ","365","  ","12.5","  ","380","  ","39","  ","-341","  ",
"  October                 ","4184","  ","3566","  ","7750","  ","310","  ","9.5","  ","334","  ","46","  ","-288","  ",
"  November                 ","4186","  ","3537","  ","7724","  ","446","  ","14.4","  ","151","  ","177","  ","26","  ",
"  December                 ","4181","  ","3280","  ","7461","  ","479","  ","17.1","  ","94","  ","356","  ","262","  ",
"     Total             ","0","--","0","--","0","--","0","--","0.0","--","3032","  ","2549","  ","-482","  ",
"2016",
"  January                 ","4181","  ","2629","  ","6809","  ","474","  ","22.0","  ","37","  ","689","  ","652","  ",
"  February                 ","4180","  ","2242","  ","6422","  ","703","  ","45.7","  ","69","  ","456","  ","387","  ",
"  March                 ","4171","  ","2164","  ","6335","  ","831","  ","62.4","  ","149","  ","236","  ","87","  ",
"  April                 ","4173","  ","2287","  ","6460","  ","715","  ","45.5","  ","229","  ","103","  ","-126","  ",
"  May                 ","4175","  ","2599","  ","6774","  ","595","  ","29.7","  ","357","  ","40","  ","-317","  ",
"  June                 ","4177","  ","2839","  ","7016","  ","490","  ","20.9","  ","292","  ","49","  ","-243","  ",
"  July                 ","4177","  ","3001","  ","7178","  ","374","  ","14.2","  ","251","  ","88","  ","-163","  ",
"  August                 ","4177","  ","3162","  ","7340","  ","222","  ","7.5","  ","253","  ","92","  ","-161","  ",
"  September                 ","4175","  ","3413","  ","7588","  ","131","  ","4.0","  ","299","  ","51","  ","-248","  ",
"  October                 ","4178","  ","3633","  ","7810","  ","66","  ","1.9","  ","271","  ","51","  ","-220","  ",
"2016 10-Month YTD","0","--","0","--","0","--","0","--","0.0","--","2207","  ","1855","  ","-352","  ",
"2015 10-Month YTD","0","--","0","--","0","--","0","--","0.0","--","2787","  ","2017","  ","-770","  ",
"2014 10-Month YTD","0","--","0","--","0","--","0","--","0.0","--","2954","  ","2326","  ","-628","  ",
