"                   ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Alabama","-2161","  ","-5368","  ","-597","  ","2250","  ","3115","  ","1486","  ","-1536","  ","-3383","  ","-323","  ","-713","  ","4787","  ","-3817","  ","-249","  ","-1217","  ","-415","  ","-2416","  ","1057","  ","-971","  ","-734","  ","-5684","  ","-6159","  ","-243","  ","8440","  ","4774","  ","-5603","  ","-1346","  ","321","  ","-3227","  ","-761","  ","492","  ","-38","  ","-420","  ","-5110","  ","-5260","  ","61","  ","3236","  ","6448","  ",
"Alaska","872","  ","139","  ","-1321","  ","-1997","  ","-1976","  ","-1468","  ","-1957","  ","-1441","  ","-451","  ","-459","  ","-50","  ","782","  ","140","  ","197","  ","-52","  ","92","  ","-108","  ","-171","  ","-78","  ","-71","  ","219","  ","235","  ","185","  ","194","  ","-5152","  ","-733","  ","-558","  ","106","  ","-564","  ","-697","  ","-256","  ","-1546","  ","-263","  ","-701","  ","-197","  ","559","  ","-301","  ",
"Arkansas","-107","  ","-152","  ","-318","  ","-564","  ","-517","  ","-724","  ","-801","  ","-444","  ","438","  ","328","  ","434","  ","-1046","  ","-127","  ","-283","  ","-212","  ","-141","  ","-403","  ","-437","  ","-357","  ","-411","  ","91","  ","234","  ","567","  ","431","  ","468","  ","187","  ","259","  ","-12","  ","-166","  ","-396","  ","-422","  ","-450","  ","-450","  ","248","  ","416","  ","707","  ","546","  ",
"California","1937","  ","-8590","  ","-3383","  ","4248","  ","769","  ","-7766","  ","-16700","  ","-17261","  ","-4805","  ","7203","  ","40217","  ","-2698","  ","44087","  ","5699","  ","-18709","  ","-6577","  ","1758","  ","-8522","  ","-10336","  ","-25451","  ","-16467","  ","-4345","  ","-2750","  ","38916","  ","-45335","  ","14741","  ","2894","  ","-27183","  ","-12319","  ","-22052","  ","-20946","  ","-41166","  ","-48253","  ","-37379","  ","7619","  ","74988","  ","63722","  ",
"Colorado","-1452","  ","-7324","  ","-5271","  ","-4075","  ","-5222","  ","-5842","  ","-5548","  ","1334","  ","3688","  ","2412","  ","9800","  ","-5930","  ","9420","  ","1802","  ","-4141","  ","-5250","  ","-5181","  ","-5048","  ","-6817","  ","-5045","  ","1888","  ","920","  ","5579","  ","5942","  ","-1818","  ","9314","  ","2970","  ","-3960","  ","-6177","  ","-6161","  ","-7622","  ","-7111","  ","-3848","  ","-381","  ","4485","  ","8422","  ","8251","  ",
"Illinois","623","  ","-37807","  ","-41363","  ","-33535","  ","-28440","  ","-32072","  ","-26284","  ","4551","  ","26092","  ","50274","  ","69604","  ","-10603","  ","45715","  ","-1164","  ","-36756","  ","-37238","  ","-34172","  ","-32685","  ","-29520","  ","-28714","  ","1105","  ","21193","  ","58104","  ","63529","  ","-10730","  ","50911","  ","11226","  ","-38767","  ","-38887","  ","-39186","  ","-35418","  ","-35170","  ","-29654","  ","-1578","  ","23881","  ","49721","  ","72190","  ",
"Indiana","-1533","  ","-2257","  ","-2199","  ","-1850","  ","-1850","  ","-2226","  ","-2905","  ","527","  ","1694","  ","5259","  ","6106","  ","-4411","  ","1569","  ","-1236","  ","-2047","  ","-3878","  ","-3494","  ","-2687","  ","-2942","  ","-2903","  ","-294","  ","2709","  ","5238","  ","5552","  ","-841","  ","2764","  ","207","  ","-2561","  ","-3451","  ","-3655","  ","-3103","  ","-3175","  ","-2745","  ","-297","  ","2106","  ","5517","  ","7553","  ",
"Iowa","5150","  ","-18715","  ","-18041","  ","-14078","  ","-1925","  ","-2856","  ","-2349","  ","2150","  ","4762","  ","10674","  ","19427","  ","-4955","  ","16556","  ","4637","  ","-14124","  ","-16136","  ","-13614","  ","-2563","  ","-6962","  ","-5355","  ","541","  ","6384","  ","11129","  ","14550","  ","-7424","  ","15333","  ","9991","  ","-11564","  ","-16589","  ","-16826","  ","-8737","  ","-7981","  ","-7521","  ","1171","  ","5913","  ","10432","  ","18955","  ",
"Kansas","876","  ","-5577","  ","-8157","  ","-2098","  ","-7378","  ","-4701","  ","-13272","  ","-7167","  ","-4070","  ","11913","  ","26541","  ","-11154","  ","11377","  ","7836","  ","-5912","  ","-14045","  ","-9249","  ","-16737","  ","-11868","  ","-13935","  ","-2777","  ","-721","  ","26416","  ","18461","  ","-15614","  ","8640","  ","11740","  ","-9250","  ","-12602","  ","-7892","  ","-15372","  ","-12785","  ","-4659","  ","-3998","  ","1135","  ","11044","  ","18383","  ",
"Kentucky","51","  ","-4545","  ","-4548","  ","-128","  ","-2707","  ","-2776","  ","-8262","  ","-16117","  ","2150","  ","9656","  ","19675","  ","-17554","  ","7953","  ","-1730","  ","-9465","  ","-7783","  ","-6294","  ","-5729","  ","-5537","  ","-9947","  ","-14941","  ","2284","  ","20181","  ","13454","  ","-5015","  ","1712","  ","2549","  ","-11752","  ","-9008","  ","-9946","  ","-9214","  ","-9743","  ","-8340","  ","-4574","  ","12228","  ","16687","  ","24386","  ",
"Louisiana","-3818","  ","-51370","  ","-11031","  ","18506","  ","16049","  ","-2585","  ","-11540","  ","-20296","  ","-14011","  ","21175","  ","56058","  ","-88237","  ","8860","  ","-15244","  ","-40257","  ","-33722","  ","-20717","  ","-17892","  ","-16431","  ","-36612","  ","-45037","  ","-1990","  ","73436","  ","57369","  ","21565","  ","11447","  ","7202","  ","-49804","  ","-37896","  ","-26081","  ","-35789","  ","-30151","  ","-29849","  ","-16457","  ","47174","  ","64290","  ","117479","  ",
"Maryland","893","  ","133","  ","-150","  ","-1397","  ","-1133","  ","-3022","  ","-1671","  ","716","  ","-342","  ","2294","  ","3991","  ","-1304","  ","517","  ","490","  ","-262","  ","-372","  ","-2786","  ","-2440","  ","-2577","  ","-2522","  ","-254","  ","970","  ","4876","  ","3057","  ","556","  ","596","  ","2764","  ","-1919","  ","-1591","  ","14","  ","-2308","  ","-3179","  ","-3611","  ","-979","  ","1843","  ","3686","  ","5240","  ",
"Michigan","17030","  ","-27683","  ","-54745","  ","-36754","  ","-35799","  ","-52688","  ","-65480","  ","-13874","  ","30025","  ","80654","  ","108415","  ","-87722","  ","30889","  ","3499","  ","-60050","  ","-75170","  ","-81284","  ","-74938","  ","-82493","  ","-82150","  ","-42975","  ","61590","  ","176480","  ","138879","  ","-75432","  ","47328","  ","51226","  ","-45756","  ","-78777","  ","-92472","  ","-97216","  ","-97918","  ","-85403","  ","-36504","  ","58301","  ","129459","  ","172300","  ",
"Minnesota","14","  ","-104","  ","-197","  ","-228","  ","-205","  ","-174","  ","-76","  ","7","  ","515","  ","127","  ","315","  ","-78","  ","10","  ","-149","  ","-262","  ","-219","  ","-202","  ","-176","  ","-37","  ","6","  ","6","  ","351","  ","255","  ","337","  ","-364","  ","97","  ","-107","  ","-294","  ","-223","  ","-269","  ","-247","  ","-225","  ","-184","  ","104","  ","240","  ","284","  ","461","  ",
"Mississippi","1560","  ","-24918","  ","-3355","  ","2651","  ","7130","  ","1758","  ","-6684","  ","-6394","  ","-12187","  ","6944","  ","36129","  ","-27879","  ","-723","  ","-4892","  ","-14206","  ","-16234","  ","-4313","  ","-1700","  ","-11013","  ","-21243","  ","-30471","  ","371","  ","40415","  ","36131","  ","-35561","  ","-4655","  ","-2348","  ","-14920","  ","-13380","  ","331","  ","-7067","  ","-16132","  ","-28960","  ","-23328","  ","7170","  ","19014","  ","48713","  ",
"Missouri","-210","  ","-405","  ","-290","  ","-0","*","0","  ","0","  ","0","  ","0","  ","119","  ","-168","  ","433","  ","-586","  ","28","  ","-212","  ","-268","  ","-581","  ","0","  ","0","  ","-0","*","0","  ","0","  ","-976","  ","1273","  ","151","  ","-1253","  ","135","  ","-314","  ","-312","  ","-257","  ","-777","  ","0","  ","0","  ","0","*","-5","  ","1","  ","58","  ","218","  ",
"Montana","2401","  ","-782","  ","-2191","  ","-3465","  ","-3260","  ","-4908","  ","-5202","  ","-3943","  ","-770","  ","2057","  ","4394","  ","-3197","  ","3620","  ","2456","  ","-1050","  ","-2101","  ","-3445","  ","-3385","  ","-3128","  ","-2545","  ","-1350","  ","-172","  ","3314","  ","4588","  ","16007","  ","3346","  ","3688","  ","-1742","  ","-1952","  ","-2072","  ","-2852","  ","-2151","  ","-2124","  ","1805","  ","5696","  ","7344","  ","7020","  ",
"Nebraska","721","  ","-1175","  ","-1132","  ","-90","  ","-151","  ","-16","  ","-1099","  ","-630","  ","-103","  ","549","  ","1788","  ","-786","  ","979","  ","212","  ","-1193","  ","-1296","  ","-965","  ","-77","  ","-1343","  ","-1121","  ","-417","  ","669","  ","1778","  ","1989","  ","-278","  ","888","  ","719","  ","-574","  ","-2299","  ","-1907","  ","-1589","  ","-1809","  ","-94","  ","761","  ","498","  ","2400","  ","2728","  ",
"New Mexico","-1195","  ","-1530","  ","75","  ","167","  ","659","  ","-391","  ","-1615","  ","-1170","  ","-1658","  ","1413","  ","1568","  ","-19897","  ","-616","  ","-2132","  ","-2258","  ","-1275","  ","-1429","  ","-1726","  ","-1306","  ","-2874","  ","-2771","  ","-2404","  ","-1237","  ","131","  ","7015","  ","440","  ","-200","  ","-2469","  ","-41","  ","1099","  ","401","  ","-2165","  ","-1792","  ","-399","  ","2453","  ","5131","  ","4559","  ",
"New York","4697","  ","-7006","  ","-12209","  ","-3017","  ","-3467","  ","-7422","  ","-11246","  ","-1571","  ","4660","  ","14573","  ","21931","  ","-15923","  ","2020","  ","7","  ","-6129","  ","-8376","  ","-8289","  ","-9553","  ","-15297","  ","-12852","  ","-4764","  ","12169","  ","17191","  ","17951","  ","-4857","  ","5228","  ","7036","  ","-11131","  ","-14041","  ","-15669","  ","-13780","  ","-11399","  ","-6000","  ","-1276","  ","14829","  ","17329","  ","24017","  ",
"Ohio","14460","  ","-10323","  ","-22602","  ","-23658","  ","-25774","  ","-26258","  ","-21537","  ","-5040","  ","17603","  ","32160","  ","47082","  ","-33025","  ","19441","  ","7717","  ","-11308","  ","-22886","  ","-27651","  ","-25160","  ","-26651","  ","-31413","  ","-14797","  ","19170","  ","37546","  ","42969","  ","-6127","  ","23765","  ","18676","  ","-15873","  ","-25383","  ","-22667","  ","-22917","  ","-28204","  ","-27166","  ","-9245","  ","19863","  ","32485","  ","50540","  ",
