"                   ","Field"," ","Total Storage"," ","Working Gas"," ","Und Storage"," ","Und Storage"," ","Und Storage"," ","Chg Work Gas"," ","Chg Work Gas"," ",""," ",""," "
"State                   ","Count"," ","Capacity"," ","Storage Capacity"," ","Base Gas"," ","Working Gas"," ","Total"," ","Volume"," ","Percentage"," ","Injections"," ","Withdrawals"," "
"Alabama","2","  ","43600","  ","33150","  ","10450","  ","26379","  ","36829","  ","1886","  ","7.7","  ","2468","  ","308","  ",
"Alaska","5","  ","83592","  ","67915","  ","14197","  ","34392","  ","48589","  ","9931","  ","40.6","  ","313","  ","1185","  ",
"Arkansas","2","  ","21853","  ","12178","  ","12880","  ","2849","  ","15729","  ","716","  ","33.6","  ","177","  ","70","  ",
"California","14","  ","601808","  ","375496","  ","225845","  ","287380","  ","513225","  ","-44684","  ","-13.5","  ","4770","  ","6707","  ",
"Colorado","10","  ","130186","  ","63774","  ","58436","  ","59336","  ","117771","  ","8356","  ","16.4","  ","5392","  ","3940","  ",
"Illinois","28","  ","1004210","  ","303613","  ","702985","  ","256765","  ","959750","  ","1942","  ","0.8","  ","17875","  ","18498","  ",
"Indiana","21","  ","111581","  ","33592","  ","77198","  ","27726","  ","104924","  ","-482","  ","-1.7","  ","1968","  ","435","  ",
"Iowa","4","  ","288210","  ","90313","  ","197897","  ","73873","  ","271770","  ","-753","  ","-1.0","  ","4711","  ","9861","  ",
"Kansas","17","  ","282986","  ","122982","  ","164139","  ","108657","  ","272796","  ","1713","  ","1.6","  ","7455","  ","8331","  ",
"Kentucky","23","  ","221723","  ","107572","  ","112947","  ","104821","  ","217768","  ","-534","  ","-0.5","  ","3517","  ","3568","  ",
"Louisiana","19","  ","743169","  ","454753","  ","278727","  ","379767","  ","658494","  ","-9635","  ","-2.5","  ","27273","  ","23456","  ",
"Maryland","1","  ","64000","  ","18300","  ","45677","  ","15084","  ","60761","  ","-829","  ","-5.2","  ","941","  ","1834","  ",
"Michigan","44","  ","1071630","  ","685726","  ","386922","  ","638670","  ","1025591","  ","19629","  ","3.2","  ","9639","  ","26670","  ",
"Minnesota","1","  ","7000","  ","2000","  ","4848","  ","2131","  ","6979","  ","-4","  ","-0.2","  ","0","  ","14","  ",
"Mississippi","12","  ","334654","  ","204713","  ","115694","  ","166764","  ","282458","  ","-1639","  ","-1.0","  ","10403","  ","11963","  ",
"Missouri","1","  ","13845","  ","6000","  ","7845","  ","6810","  ","14655","  ","273","  ","4.2","  ","220","  ","10","  ",
"Montana","5","  ","376301","  ","197501","  ","178501","  ","35559","  ","214059","  ","12049","  ","51.2","  ","166","  ","2568","  ",
"Nebraska","1","  ","34850","  ","12653","  ","22197","  ","11734","  ","33931","  ","316","  ","2.8","  ","342","  ","1063","  ",
"New Mexico","2","  ","89100","  ","59738","  ","29362","  ","49249","  ","78611","  ","4292","  ","9.5","  ","1782","  ","587","  ",
"New York","26","  ","245779","  ","126871","  ","115084","  ","109719","  ","224803","  ","-831","  ","-0.8","  ","3055","  ","7752","  ",
"Ohio","24","  ","575794","  ","230828","  ","340158","  ","189428","  ","529587","  ","4503","  ","2.4","  ","1801","  ","16261","  ",
"Oklahoma","13","  ","375289","  ","195435","  ","179696","  ","185715","  ","365411","  ","16260","  ","9.6","  ","9561","  ","3856","  ",
"Oregon","7","  ","29565","  ","15935","  ","11186","  ","18288","  ","29474","  ","1267","  ","7.4","  ","0","  ","406","  ",
"Pennsylvania","49","  ","760619","  ","425861","  ","337355","  ","375537","  ","712892","  ","-11146","  ","-2.9","  ","14564","  ","25056","  ",
"Tennessee","2","  ","2400","  ","1800","  ","878","  ","1289","  ","2167","  ","182","  ","16.4","  ","16","  ","2","  ",
"Texas","36","  ","854469","  ","549887","  ","298451","  ","489354","  ","787804","  ","17760","  ","3.8","  ","36475","  ","18480","  ",
"Utah","3","  ","124509","  ","54942","  ","69508","  ","52536","  ","122044","  ","7324","  ","16.2","  ","1647","  ","1181","  ",
"Virginia","2","  ","9500","  ","5400","  ","4100","  ","5225","  ","9325","  ","-26","  ","-0.5","  ","769","  ","558","  ",
"Washington","1","  ","46900","  ","24600","  ","22300","  ","22761","  ","45061","  ","2971","  ","15.0","  ","1197","  ","1644","  ",
"West Virginia","31","  ","528837","  ","259347","  ","270152","  ","204055","  ","474207","  ","-2869","  ","-1.4","  ","3974","  ","14692","  ",
"Wyoming","9","  ","157985","  ","73705","  ","68279","  ","45031","  ","113309","  ","13785","  ","44.1","  ","5344","  ","2239","  ",
"Regions",
"   East Region","133","  ","2184529","  ","1066607","  ","1112526","  ","899048","  ","2011574","  ","-11198","  ","-1.2","  ","25105","  ","66153","  ",
"   South Central Region","101","  ","2656020","  ","1573098","  ","1060037","  ","1359484","  ","2419520","  ","27063","  ","2.0","  ","93813","  ","66463","  ",
"   Midwest Region","124","  ","2720598","  ","1230616","  ","1491519","  ","1112085","  ","2603604","  ","20252","  ","1.9","  ","37946","  ","59057","  ",
"   Mountain Region","30","  ","912931","  ","462313","  ","426282","  ","253444","  ","679726","  ","46121","  ","22.2","  ","14673","  ","11577","  ",
"   Pacific Region","22","  ","678273","  ","416031","  ","259331","  ","328428","  ","587760","  ","-40446","  ","-11.0","  ","5967","  ","8757","  ",
"Total Lower 48 States","410","  ","9152351","  ","4748665","  ","4349695","  ","3952489","  ","8302185","  ","41790","  ","1.1","  ","177504","  ","212007","  ",
"U.S. Total","415","  ","9235944","  ","4816580","  ","4363892","  ","3986881","  ","8350773","  ","51721","  ","1.3","  ","177817","  ","213192","  ",
