"                   ","YTD"," ","YTD"," ","YTD"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Alabama","551547","  ","537402","  ","486483","  ","49252","  ","56230","  ","59870","  ","60943","  ","56589","  ","52226","  ","45585","  ","51971","  ","54477","  ","64403","  ","642961","  ","54905","  ","50654","  ","49410","  ","50245","  ","54988","  ","57075","  ","53437","  ","50554","  ","42142","  ","52437","  ","61057","  ","66057","  ","600643","  ","56399","  ","57761","  ","49050","  ","49380","  ","51590","  ","47261","  ","46623","  ","45433","  ","37858","  ","50469","  ","43559","  ","65260","  ",
"Alaska","46311","  ","54839","  ","57221","  ","5385","  ","4082","  ","3639","  ","3399","  ","3319","  ","3739","  ","4286","  ","5551","  ","5882","  ","7029","  ","69642","  ","7912","  ","6892","  ","5288","  ","4451","  ","3768","  ","3915","  ","3850","  ","4209","  ","6324","  ","7352","  ","7022","  ","8659","  ","72459","  ","7957","  ","7281","  ","6422","  ","4398","  ","4267","  ","4368","  ","4694","  ","4710","  ","5674","  ","7369","  ","7767","  ","7551","  ",
"Arizona","303583","  ","280900","  ","251131","  ","26095","  ","33303","  ","40450","  ","40363","  ","36029","  ","25972","  ","25246","  ","21860","  ","23678","  ","30588","  ","337347","  ","30546","  ","25902","  ","29635","  ","35525","  ","42566","  ","38370","  ","35446","  ","19112","  ","19839","  ","17432","  ","17874","  ","25102","  ","293221","  ","20524","  ","21566","  ","25160","  ","31954","  ","34547","  ","36749","  ","27795","  ","20069","  ","16417","  ","13935","  ","20464","  ","24041","  ",
"Arkansas","238734","  ","232463","  ","204940","  ","19714","  ","18829","  ","25977","  ","25368","  ","26475","  ","22346","  ","21580","  ","26570","  ","23250","  ","28625","  ","274727","  ","23235","  ","19028","  ","14993","  ","18137","  ","22054","  ","22228","  ","19318","  ","17712","  ","20592","  ","28589","  ","35096","  ","33744","  ","249425","  ","25372","  ","19113","  ","16315","  ","16083","  ","17685","  ","16738","  ","18058","  ","17239","  ","18688","  ","24659","  ","26360","  ","33114","  ",
"California","1715495","  ","1819064","  ","1871271","  ","167287","  ","170941","  ","189915","  ","176214","  ","164182","  ","146103","  ","145554","  ","161293","  ","172050","  ","221957","  ","2247961","  ","234012","  ","194884","  ","186153","  ","188710","  ","198391","  ","192293","  ","175938","  ","163283","  ","165093","  ","168376","  ","165790","  ","215036","  ","2270834","  ","218289","  ","181273","  ","191905","  ","193409","  ","193331","  ","190351","  ","159661","  ","166204","  ","168620","  ","183038","  ","199902","  ","224852","  ",
"Colorado","275531","  ","258864","  ","275436","  ","20751","  ","17062","  ","19714","  ","21124","  ","20150","  ","23616","  ","30315","  ","35464","  ","38677","  ","48659","  ","348183","  ","49108","  ","40211","  ","22665","  ","19007","  ","18985","  ","18838","  ","18092","  ","21914","  ","24475","  ","31756","  ","37147","  ","45986","  ","365353","  ","46897","  ","43020","  ","25138","  ","19163","  ","16776","  ","19927","  ","18625","  ","22827","  ","25416","  ","37491","  ","42235","  ","47838","  ",
"Connecticut","0","NA","205691","  ","185553","  ","16856","  ","15371","  ","0","NA","0","NA","14458","  ","17321","  ","21402","  ","21864","  ","27237","  ","29301","  ","248366","  ","22980","  ","19695","  ","17358","  ","15681","  ","17414","  ","16767","  ","14710","  ","15290","  ","20133","  ","27483","  ","28851","  ","32004","  ","231163","  ","25507","  ","20103","  ","13510","  ","13102","  ","15637","  ","16387","  ","14406","  ","14891","  ","19705","  ","25057","  ","26137","  ","26722","  ",
"Delaware","91224","  ","86428","  ","80788","  ","9275","  ","8687","  ","10427","  ","10826","  ","9102","  ","7766","  ","8823","  ","8771","  ","8440","  ","9107","  ","100842","  ","7513","  ","6900","  ","6916","  ","7972","  ","8362","  ","8947","  ","7692","  ","8416","  ","9831","  ","8862","  ","8719","  ","10713","  ","100338","  ","10246","  ","9304","  ","7536","  ","7967","  ","8582","  ","8394","  ","7336","  ","6709","  ","6971","  ","9535","  ","8484","  ","9273","  ",
"District of Columbia","21104","  ","25729","  ","24632","  ","1303","  ","945","  ","981","  ","999","  ","983","  ","1430","  ","2074","  ","2466","  ","4776","  ","5148","  ","31502","  ","3143","  ","2631","  ","1872","  ","1147","  ","1108","  ","1051","  ","1150","  ","1257","  ","1949","  ","4306","  ","5602","  ","6285","  ","32543","  ","4427","  ","3484","  ","1626","  ","1073","  ","1078","  ","1021","  ","1103","  ","1392","  ","2183","  ","4480","  ","4739","  ","5937","  ",
"Florida","1179995","  ","1123043","  ","1040692","  ","111215","  ","122472","  ","135696","  ","136203","  ","127353","  ","121481","  ","115400","  ","107454","  ","96862","  ","105858","  ","1334385","  ","105479","  ","105863","  ","113989","  ","118347","  ","125914","  ","124432","  ","119224","  ","115263","  ","113144","  ","101972","  ","91489","  ","99269","  ","1210787","  ","87443","  ","82652","  ","104194","  ","108448","  ","125105","  ","117412","  ","107969","  ","107879","  ","101757","  ","94126","  ","76417","  ","97386","  ",
