"                   ","YTD"," ","YTD"," ","YTD"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," ","Total"," ","December"," ","November"," ","October"," ","September"," ","August"," ","July"," ","June"," ","May"," ","April"," ","March"," ","February"," ","January"," "
"State                   ","2016"," ","2015"," ","2014"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2016"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2015"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," ","2014"," "
"Alabama","0.00","NA","4.12","  ","5.51","  ","4.32","  ","4.24","  ","0.00","NA","3.81","  ","3.98","  ","3.34","  ","2.97","  ","3.22","  ","3.21","  ","3.66","  ","3.65","  ","4.08","  ","3.61","  ","3.45","  ","3.61","  ","3.82","  ","4.05","  ","3.96","  ","4.08","  ","3.69","  ","4.13","  ","4.69","  ","4.95","  ","4.66","  ","5.49","  ","5.25","  ","5.24","  ","4.75","  ","4.82","  ","4.74","  ","4.99","  ","5.72","  ","6.10","  ","5.82","  ","5.54","  ","6.77","  ","5.75","  ",
"Alaska","5.05","  ","6.86","  ","7.99","  ","4.83","  ","4.53","  ","4.45","  ","5.64","  ","5.17","  ","4.58","  ","3.69","  ","6.36","  ","6.75","  ","6.74","  ","4.88","  ","6.86","  ","6.84","  ","6.77","  ","6.85","  ","6.83","  ","6.82","  ","6.78","  ","6.84","  ","6.86","  ","6.70","  ","6.88","  ","7.08","  ","6.97","  ","7.97","  ","7.76","  ","7.73","  ","7.87","  ","8.01","  ","7.84","  ","8.10","  ","7.85","  ","7.84","  ","7.82","  ","7.86","  ","8.41","  ","8.66","  ",
"Arizona","5.73","  ","6.82","  ","7.50","  ","5.77","  ","5.56","  ","5.51","  ","6.02","  ","5.76","  ","4.93","  ","5.59","  ","5.72","  ","5.86","  ","6.17","  ","6.46","  ","6.78","  ","6.39","  ","6.30","  ","6.32","  ","6.58","  ","6.55","  ","6.76","  ","6.86","  ","6.54","  ","6.96","  ","7.15","  ","7.51","  ","7.25","  ","7.52","  ","7.68","  ","7.64","  ","8.12","  ","8.06","  ","7.46","  ","7.59","  ","7.60","  ","7.55","  ","7.36","  ","7.61","  ","7.57","  ","6.28","  ",
"Arkansas","5.68","  ","7.02","  ","6.93","  ","6.38","  ","5.24","  ","5.17","  ","5.96","  ","5.35","  ","5.46","  ","5.29","  ","5.35","  ","5.85","  ","5.86","  ","5.96","  ","6.91","  ","5.64","  ","5.99","  ","6.43","  ","6.44","  ","6.59","  ","6.61","  ","6.09","  ","6.41","  ","6.84","  ","7.70","  ","7.90","  ","7.88","  ","6.99","  ","7.51","  ","7.45","  ","7.31","  ","7.15","  ","7.25","  ","7.12","  ","7.02","  ","7.11","  ","6.92","  ","6.46","  ","6.50","  ","6.74","  ",
"California","6.74","  ","6.34","  ","7.65","  ","7.59","  ","7.38","  ","7.47","  ","7.02","  ","6.40","  ","5.89","  ","5.93","  ","5.79","  ","6.77","  ","7.01","  ","6.66","  ","6.41","  ","6.99","  ","5.83","  ","5.94","  ","6.15","  ","6.12","  ","6.08","  ","6.29","  ","5.51","  ","6.45","  ","6.89","  ","6.77","  ","7.68","  ","7.65","  ","7.67","  ","6.89","  ","7.22","  ","7.35","  ","7.38","  ","7.84","  ","7.65","  ","7.71","  ","8.24","  ","8.86","  ","7.65","  ","7.50","  ",
"Colorado","0.00","NA","5.94","  ","6.94","  ","5.17","  ","0.00","NA","0.00","NA","7.03","  ","6.21","  ","5.50","  ","4.28","  ","4.39","  ","4.99","  ","4.53","  ","4.24","  ","5.74","  ","4.52","  ","5.20","  ","6.03","  ","6.22","  ","6.65","  ","7.39","  ","6.58","  ","5.32","  ","5.49","  ","6.20","  ","6.15","  ","6.01","  ","6.84","  ","6.22","  ","6.51","  ","7.16","  ","7.58","  ","8.05","  ","7.70","  ","7.75","  ","7.22","  ","6.94","  ","7.00","  ","6.67","  ","6.28","  ",
"Connecticut","6.09","  ","6.33","  ","8.03","  ","5.63","  ","5.98","  ","6.08","  ","6.17","  ","6.19","  ","6.05","  ","6.58","  ","6.84","  ","5.84","  ","5.71","  ","6.10","  ","6.35","  ","6.58","  ","5.85","  ","5.75","  ","6.58","  ","5.64","  ","5.86","  ","6.01","  ","6.18","  ","6.77","  ","5.81","  ","6.52","  ","7.89","  ","8.07","  ","8.41","  ","7.46","  ","7.23","  ","7.39","  ","7.02","  ","7.25","  ","7.89","  ","8.93","  ","8.83","  ","8.62","  ","8.91","  ","7.86","  ",
"Delaware","0.00","NA","10.25","  ","11.11","  ","0.00","NA","0.00","NA","0.00","NA","10.31","  ","0.00","NA","8.93","  ","8.62","  ","7.85","  ","8.29","  ","7.98","  ","8.14","  ","10.11","  ","8.32","  ","9.62","  ","11.15","  ","11.40","  ","11.38","  ","10.89","  ","9.09","  ","9.78","  ","9.56","  ","10.20","  ","10.25","  ","9.91","  ","10.95","  ","9.65","  ","10.71","  ","11.91","  ","12.25","  ","11.58","  ","10.43","  ","11.53","  ","10.88","  ","10.81","  ","10.18","  ","10.20","  ","10.35","  ",
"District of Columbia","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--","0.00","--",
"Florida","5.73","  ","6.47","  ","6.93","  ","5.71","  ","6.07","  ","5.29","  ","5.71","  ","5.39","  ","5.25","  ","5.14","  ","5.66","  ","6.22","  ","6.05","  ","6.30","  ","6.43","  ","6.10","  ","6.22","  ","6.30","  ","6.09","  ","6.04","  ","6.70","  ","5.78","  ","5.88","  ","6.05","  ","6.53","  ","7.12","  ","8.40","  ","6.89","  ","6.48","  ","6.64","  ","6.91","  ","6.41","  ","7.16","  ","7.29","  ","6.90","  ","7.23","  ","6.86","  ","6.90","  ","6.57","  ","7.66","  ",
