"                   ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," ","  Residential   "," ","  Commercial   "," ","  Industrial   "," "
"State                   ","YTD 2016"," ","YTD 2016"," ","YTD 2016"," ","YTD 2015"," ","YTD 2015"," ","YTD 2015"," ","YTD 2014"," ","YTD 2014"," ","YTD 2014"," ","November 2016"," ","November 2016"," ","November 2016"," ","October 2016"," ","October 2016"," ","October 2016"," ","September 2016"," ","September 2016"," ","September 2016"," ","August 2016"," ","August 2016"," ","August 2016"," ","July 2016"," ","July 2016"," ","July 2016"," ","June 2016"," ","June 2016"," ","June 2016"," ","May 2016"," ","May 2016"," ","May 2016"," ","April 2016"," ","April 2016"," ","April 2016"," ","March 2016"," ","March 2016"," ","March 2016"," ","February 2016"," ","February 2016"," ","February 2016"," ","January 2016"," ","January 2016"," ","January 2016"," ","Total 2015"," ","Total 2015"," ","Total 2015"," ","December 2015"," ","December 2015"," ","December 2015"," ","November 2015"," ","November 2015"," ","November 2015"," ","October 2015"," ","October 2015"," ","October 2015"," "
"Alabama","100.0","  ","0.0","NA","0.0","NA","98.9","  ","77.6","  ","23.2","  ","100.0","  ","78.2","  ","23.3","  ","100.0","  ","0.0","NA","24.6","  ","100.0","  ","69.7","  ","25.3","  ","100.0","  ","73.3","  ","0.0","NA","100.0","  ","72.1","  ","24.5","  ","100.0","  ","72.5","  ","24.2","  ","100.0","  ","73.4","  ","21.8","  ","100.0","  ","73.2","  ","24.3","  ","100.0","  ","75.9","  ","21.5","  ","100.0","  ","81.9","  ","24.1","  ","100.0","  ","84.2","  ","25.9","  ","100.0","  ","77.2","  ","24.3","  ","99.0","  ","77.6","  ","23.3","  ","100.0","  ","76.0","  ","22.8","  ","100.0","  ","69.7","  ","23.0","  ","100.0","  ","68.4","  ","23.6","  ",
"Alaska","100.0","  ","98.3","  ","100.0","  ","100.0","  ","98.0","  ","100.0","  ","100.0","  ","94.0","  ","100.0","  ","100.0","  ","98.9","  ","100.0","  ","100.0","  ","97.5","  ","100.0","  ","100.0","  ","96.5","  ","100.0","  ","100.0","  ","96.6","  ","100.0","  ","100.0","  ","96.2","  ","100.0","  ","100.0","  ","97.0","  ","100.0","  ","100.0","  ","98.0","  ","100.0","  ","100.0","  ","98.5","  ","100.0","  ","100.0","  ","99.0","  ","100.0","  ","100.0","  ","99.0","  ","100.0","  ","100.0","  ","99.2","  ","100.0","  ","100.0","  ","98.1","  ","100.0","  ","100.0","  ","99.7","  ","100.0","  ","100.0","  ","99.9","  ","100.0","  ","100.0","  ","98.7","  ","100.0","  ",
"Arizona","100.0","  ","82.6","  ","16.1","  ","100.0","  ","83.4","  ","16.0","  ","100.0","  ","84.2","  ","12.6","  ","100.0","  ","80.4","  ","15.2","  ","100.0","  ","78.2","  ","18.5","  ","100.0","  ","79.5","  ","19.8","  ","100.0","  ","79.6","  ","14.3","  ","100.0","  ","80.6","  ","18.5","  ","100.0","  ","81.6","  ","20.3","  ","100.0","  ","81.5","  ","15.2","  ","100.0","  ","83.1","  ","14.5","  ","100.0","  ","83.3","  ","14.3","  ","100.0","  ","85.7","  ","14.0","  ","100.0","  ","87.1","  ","13.5","  ","100.0","  ","83.8","  ","0.0","NA","100.0","  ","85.4","  ","13.7","  ","100.0","  ","83.2","  ","14.0","  ","100.0","  ","80.1","  ","16.5","  ",
"Arkansas","100.0","  ","0.0","NA","1.4","  ","100.0","  ","42.5","  ","1.7","  ","100.0","  ","44.9","  ","1.8","  ","100.0","  ","0.0","NA","1.8","  ","100.0","  ","25.8","  ","1.3","  ","100.0","  ","28.4","  ","1.5","  ","100.0","  ","26.9","  ","1.1","  ","100.0","  ","26.4","  ","1.2","  ","100.0","  ","26.3","  ","1.1","  ","100.0","  ","27.7","  ","1.1","  ","100.0","  ","38.3","  ","1.4","  ","100.0","  ","46.4","  ","1.7","  ","100.0","  ","53.1","  ","1.8","  ","100.0","  ","47.2","  ","1.6","  ","100.0","  ","42.5","  ","1.7","  ","100.0","  ","41.7","  ","1.7","  ","100.0","  ","28.2","  ","1.7","  ","100.0","  ","28.1","  ","1.5","  ",
"California","95.0","  ","50.9","  ","3.9","  ","94.8","  ","49.2","  ","3.8","  ","94.7","  ","48.0","  ","3.7","  ","95.7","  ","52.2","  ","4.5","  ","95.0","  ","49.7","  ","4.3","  ","94.8","  ","47.0","  ","3.1","  ","94.4","  ","43.3","  ","3.2","  ","94.9","  ","47.4","  ","3.3","  ","94.6","  ","48.4","  ","3.8","  ","95.1","  ","53.3","  ","3.7","  ","94.6","  ","54.2","  ","4.0","  ","94.9","  ","52.5","  ","3.7","  ","94.9","  ","53.4","  ","4.8","  ","95.2","  ","54.6","  ","5.0","  ","94.9","  ","50.0","  ","3.8","  ","95.6","  ","54.7","  ","4.6","  ","96.1","  ","51.7","  ","4.1","  ","94.7","  ","46.5","  ","4.0","  ",
"Colorado","100.0","  ","93.9","  ","0.0","NA","100.0","  ","94.3","  ","7.4","  ","100.0","  ","94.3","  ","7.4","  ","100.0","  ","94.6","  ","7.6","  ","100.0","  ","92.3","  ","0.0","NA","100.0","  ","90.6","  ","0.0","NA","100.0","  ","89.1","  ","4.3","  ","100.0","  ","90.9","  ","4.6","  ","100.0","  ","91.4","  ","5.3","  ","100.0","  ","93.3","  ","7.1","  ","100.0","  ","93.6","  ","7.1","  ","100.0","  ","94.6","  ","8.8","  ","100.0","  ","94.6","  ","9.5","  ","100.0","  ","95.7","  ","10.1","  ","100.0","  ","0.0","NA","0.0","NA","100.0","  ","95.7","  ","9.6","  ","100.0","  ","95.6","  ","9.0","  ","100.0","  ","93.0","  ","6.5","  ",
"Connecticut","96.2","  ","0.0","NA","49.0","  ","96.3","  ","75.9","  ","47.0","  ","95.8","  ","65.9","  ","38.8","  ","95.9","  ","75.7","  ","49.6","  ","95.1","  ","67.6","  ","47.9","  ","95.6","  ","64.1","  ","48.8","  ","95.6","  ","0.0","NA","49.8","  ","96.0","  ","0.0","NA","50.0","  ","95.3","  ","70.8","  ","44.5","  ","95.4","  ","72.9","  ","46.4","  ","96.2","  ","75.9","  ","47.1","  ","96.4","  ","79.9","  ","49.4","  ","96.6","  ","80.7","  ","52.1","  ","96.6","  ","0.0","NA","50.9","  ","96.3","  ","76.2","  ","47.2","  ","96.4","  ","78.4","  ","51.1","  ","95.9","  ","75.3","  ","50.0","  ","94.6","  ","73.4","  ","48.0","  ",
"Delaware","100.0","  ","37.4","  ","0.0","NA","100.0","  ","46.5","  ","0.3","  ","100.0","  ","46.3","  ","0.3","  ","100.0","  ","29.5","  ","0.0","NA","100.0","  ","22.8","  ","0.0","NA","100.0","  ","23.4","  ","0.0","NA","100.0","  ","24.2","  ","0.2","  ","100.0","  ","26.5","  ","0.0","NA","100.0","  ","31.2","  ","0.2","  ","100.0","  ","35.9","  ","0.1","  ","100.0","  ","40.8","  ","0.1","  ","100.0","  ","47.8","  ","0.4","  ","100.0","  ","49.4","  ","0.5","  ","100.0","  ","41.6","  ","0.3","  ","100.0","  ","45.7","  ","0.0","NA","100.0","  ","38.9","  ","0.2","  ","100.0","  ","31.6","  ","0.1","  ","100.0","  ","31.6","  ","0.2","  ",
"District of Columbia","0.0","NA","0.0","NA","0.0","  ","73.3","  ","21.3","  ","0.0","  ","73.8","  ","19.7","  ","0.0","  ","0.0","NA","0.0","NA","0.0","  ","0.0","NA","16.0","  ","0.0","  ","68.7","  ","13.6","  ","0.0","  ","69.4","  ","14.8","  ","0.0","  ","70.2","  ","15.3","  ","0.0","--","70.3","  ","15.8","  ","0.0","--","70.6","  ","17.0","  ","0.0","--","71.8","  ","18.7","  ","0.0","--","74.7","  ","22.9","  ","0.0","--","74.8","  ","22.0","  ","0.0","--","74.8","  ","22.6","  ","0.0","--","73.3","  ","21.4","  ","0.0","  ","72.4","  ","21.9","  ","0.0","--","70.2","  ","17.4","  ","0.0","--","70.6","  ","15.9","  ","0.0","--",
"Florida","97.6","  ","28.3","  ","0.0","NA","97.7","  ","29.9","  ","3.4","  ","97.9","  ","32.2","  ","3.4","  ","97.2","  ","27.7","  ","0.0","NA","97.4","  ","27.7","  ","3.1","  ","97.7","  ","26.2","  ","3.2","  ","97.8","  ","28.0","  ","3.2","  ","97.8","  ","25.6","  ","3.1","  ","97.8","  ","26.5","  ","3.5","  ","97.8","  ","28.5","  ","3.2","  ","97.4","  ","29.4","  ","3.2","  ","97.6","  ","29.8","  ","3.4","  ","97.9","  ","31.0","  ","4.2","  ","97.5","  ","29.4","  ","3.0","  ","97.7","  ","0.0","NA","0.0","NA","97.5","  ","28.6","  ","3.3","  ","97.5","  ","27.6","  ","3.5","  ","97.6","  ","27.9","  ","3.1","  ",
