"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied","Ending Stocks"
"Crude Oil","3,436,524","– –","– –","2,687,409","46,873","92,515","5,908,550","169,741","0","1,144,339"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","1,219,949","-7,650","224,329","56,789","– –","21,676","188,722","352,618","930,401","197,040"
"Pentanes Plus","158,389","-7,650","– –","4,009","– –","-92","53,465","66,642","34,733","20,516"
"Liquefied Petroleum Gases","1,061,560","– –","224,329","52,780","– –","21,768","135,257","285,976","895,668","176,524"
"Ethane/Ethylene","412,348","– –","2,103","36","– –","-548","–","23,619","391,416","34,315"
"Propane/Propylene","417,632","– –","204,069","45,134","– –","18,301","–","224,426","424,108","96,247"
"Normal Butane/Butylene","121,703","– –","20,590","3,829","– –","4,099","61,813","35,341","44,869","37,329"
"Isobutane/Isobutylene","109,877","– –","-2,433","3,781","– –","-84","73,444","2,590","35,275","8,633"
"Other Liquids","– –","406,277","– –","435,714","121,948","6,055","773,432","187,576","-3,123","316,885"
"Hydrogen/Oxygenates/Renewables/ Other Hydrocarbons","– –","406,325","– –","17,492","49,688","3,802","425,907","43,796","0","27,146"
"Hydrogen","– –","– –","– –","–","77,589","– –","77,589","–","0","– –"
"Oxygenates (excluding Fuel Ethanol)","– –","23,692","– –","1,314","-2,425","-143","830","21,894","0","927"
"Renewable Fuels (including Fuel Ethanol)","– –","382,633","– –","15,452","-25,124","3,951","347,108","21,902","0","26,177"
"Fuel Ethanol","– –","352,553","– –","2,179","-6,206","2,857","325,858","19,811","0","21,596"
"Renewable Fuels Except Fuel Ethanol","– –","30,080","– –","13,273","-18,918","1,094","21,250","2,091","0","4,581"
"Other Hydrocarbons","– –","– –","– –","726","-352","-6","380","–","0","42"
"Unfinished Oils","– –","– –","– –","199,615","– –","4,516","106,052","92,101","-3,054","82,861"
"Motor Gasoline Blend.Comp. (MGBC)","– –","-48","– –","218,607","72,260","-2,262","241,403","51,678","0","206,870"
"Reformulated","– –","–","– –","64,244","73,320","-470","137,767","267","0","50,862"
"Conventional","– –","-48","– –","154,363","-1,059","-1,792","103,636","51,412","0","156,008"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","– –","-1","70","–","-69","8"
"Finished Petroleum Products","– –","1,062","7,033,985","268,822","-45,636","37,288","– –","1,019,443","6,201,502","326,307"
"Finished Motor Gasoline","– –","1,062","3,560,117","26,041","-66,055","-2,641","– –","173,701","3,350,106","28,595"
"Reformulated","– –","–","1,148,231","–","-68,082","-8","– –","–","1,080,157","30"
"Conventional","– –","1,062","2,411,886","26,041","2,028","-2,633","– –","173,701","2,269,949","28,565"
"Finished Aviation Gasoline","– –","– –","3,953","30","– –","-205","– –","–","4,188","878"
"Kerosene-Type Jet Fuel","– –","– –","580,431","48,118","– –","2,116","– –","61,324","565,109","40,390"
"Kerosene","– –","– –","5,937","1,593","– –","450","– –","4,749","2,331","2,574"
"Distillate Fuel Oil","– –","– –","1,818,780","73,178","20,418","25,040","– –","429,075","1,458,262","161,326"
"15 ppm sulfur and under","– –","– –","1,693,086","50,161","20,418","23,711","– –","352,491","1,387,463","137,509"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","44,773","4,386","–","1,287","– –","37,379","10,493","8,297"
"Greater than 500 ppm sulfur","– –","– –","80,921","18,631","– –","42","– –","39,205","60,305","15,520"
"Residual Fuel Oil","– –","– –","152,266","69,914","– –","8,486","– –","119,040","94,654","42,148"
"Less than 0.31 percent sulfur","– –","– –","16,552","5,715","– –","437","– –","NA","NA","4,304"
"0.31 to 1.00 percent sulfur","– –","– –","19,038","12,987","– –","-384","– –","NA","NA","5,858"
"Greater than 1.00 percent sulfur","– –","– –","116,676","51,212","– –","8,433","– –","NA","NA","31,980"
"Petrochemical Feedstocks","– –","– –","106,339","14,428","– –","-119","– –","–","120,886","3,287"
"Naphtha for Petro. Feed. Use","– –","– –","69,375","12,021","– –","-170","– –","–","81,566","2,103"
"Other Oils for Petro. Feed. Use","– –","– –","36,964","2,407","– –","51","– –","–","39,320","1,184"
"Special Naphthas","– –","– –","13,276","5,532","– –","-107","– –","–","18,915","1,336"
"Lubricants","– –","– –","65,449","12,461","– –","1,275","– –","26,355","50,280","13,454"
"Waxes","– –","– –","1,755","2,056","– –","130","– –","1,449","2,232","573"
"Petroleum Coke","– –","– –","318,834","3,892","– –","-1,204","– –","196,482","127,448","6,315"
"Marketable","– –","– –","236,805","3,892","– –","-1,204","– –","196,482","45,419","6,315"
"Catalyst","– –","– –","82,029","– –","– –","– –","– –","– –","82,029","– –"
"Asphalt and Road Oil","– –","– –","124,429","11,563","– –","3,816","– –","6,850","125,326","24,655"
"Still Gas","– –","– –","249,171","– –","– –","– –","– –","– –","249,171","– –"
"Miscellaneous Products","– –","– –","33,248","16","– –","251","– –","417","32,596","776"
"Total","4,656,473","399,689","7,258,314","3,448,734","123,185","157,534","6,870,704","1,729,378","7,128,780","1,984,571"
