"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied"
"Crude Oil","762","– –","– –","326","-440","-29","9","602","8","0"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","340","0","13","11","-297","– –","1","20","7","38"
"Pentanes Plus","57","0","– –","–","-45","– –","0","6","5","1"
"Liquefied Petroleum Gases","283","– –","13","11","-252","– –","1","14","2","37"
"Ethane/Ethylene","81","– –","–","–","-76","– –","0","–","–","5"
"Propane/Propylene","128","– –","9","10","-110","– –","0","–","0","37"
"Normal Butane/Butylene","52","– –","3","0","-40","– –","1","7","2","6"
"Isobutane/Isobutylene","22","– –","0","1","-25","– –","0","7","0","-10"
"Other Liquids","– –","14","– –","1","8","-4","1","15","1","3"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","14","– –","0","11","12","0","37","1","0"
"Hydrogen","– –","– –","– –","–","–","6","– –","6","–","0"
"Oxygenates (excluding Fuel Ethanol)","– –","–","– –","–","–","0","–","–","0","0"
"Renewable Fuels (including Fuel Ethanol)","– –","14","– –","0","11","6","0","31","1","0"
"Fuel Ethanol","– –","14","– –","–","10","5","0","29","0","0"
"Renewable Fuels Except Fuel Ethanol","– –","0","– –","0","1","1","0","2","1","0"
"Other Hydrocarbons","– –","– –","– –","–","–","–","–","–","–","–"
"Unfinished Oils","– –","– –","– –","–","–","– –","1","-4","0","3"
"Motor Gasoline Blend.Comp. (MGBC)","– –","–","– –","1","-3","-16","0","-17","0","0"
"Reformulated","– –","–","– –","–","–","–","–","–","–","–"
"Conventional","– –","–","– –","–","-3","-16","0","-17","0","0"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","–","–","–","–"
"Finished Petroleum Products","– –","–","650","3","-2","10","-1","– –","1","661"
"Finished Motor Gasoline","– –","–","317","0","-13","11","-1","– –","0","316"
"Reformulated","– –","–","–","–","–","–","–","– –","–","–"
"Conventional","– –","–","317","0","-13","11","-1","– –","0","316"
"Finished Aviation Gasoline","– –","– –","0","0","–","– –","0","– –","–","0"
"Kerosene-Type Jet Fuel","– –","– –","32","–","20","– –","0","– –","0","51"
"Kerosene","– –","– –","0","–","–","– –","0","– –","–","0"
"Distillate Fuel Oil","– –","– –","203","1","-8","-1","-1","– –","0","195"
"15 ppm sulfur and under","– –","– –","201","1","-8","-1","0","– –","0","193"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","1","0","–","–","0","– –","–","2"
"Greater than 500 ppm sulfur","– –","– –","0","0","–","– –","0","– –","–","0"
"Residual Fuel Oil","– –","– –","12","0","–","– –","0","– –","0","12"
"Less than 0.31 percent sulfur","– –","– –","6","–","–","– –","0","– –","NA","NA"
"0.31 to 1.00 percent sulfur","– –","– –","1","0","–","– –","0","– –","NA","NA"
"Greater than 1.00 percent sulfur","– –","– –","5","–","–","– –","0","– –","NA","NA"
"Petrochemical Feedstocks","– –","– –","–","–","–","– –","–","– –","–","–"
"Naphtha for Petro. Feed. Use","– –","– –","–","–","–","– –","–","– –","–","–"
"Other Oils for Petro. Feed. Use","– –","– –","–","–","–","– –","–","– –","–","–"
"Special Naphthas","– –","– –","–","–","–","– –","–","– –","–","–"
"Lubricants","– –","– –","–","–","–","– –","–","– –","0","0"
"Waxes","– –","– –","–","–","–","– –","–","– –","0","0"
"Petroleum Coke","– –","– –","25","–","–","– –","0","– –","0","25"
"Marketable","– –","– –","17","–","–","– –","0","– –","0","17"
"Catalyst","– –","– –","8","– –","– –","– –","– –","– –","– –","8"
"Asphalt and Road Oil","– –","– –","34","1","–","– –","0","– –","0","35"
"Still Gas","– –","– –","24","– –","– –","– –","– –","– –","– –","24"
"Miscellaneous Products","– –","– –","4","0","–","– –","0","– –","0","4"
"Total","1,102","14","663","341","-730","-22","10","637","18","703"
