"STUB_1","Total","Daily Average"
"PAD District 1","17,461","48"
"Florida","2,208","6"
"New York","279","1"
"Pennsylvania","6,993","19"
"Virginia","11","0"
"West Virginia","7,970","22"
"PAD District 2","684,641","1,876"
"Illinois","9,522","26"
"Indiana","2,219","6"
"Kansas","45,481","125"
"Kentucky","2,862","8"
"Michigan","6,424","18"
"Missouri","149","0"
"Nebraska","2,905","8"
"North Dakota","429,447","1,177"
"Ohio","25,901","71"
"Oklahoma","157,770","432"
"South Dakota","1,666","5"
"Tennessee","296","1"
"PAD District 3","2,066,856","5,663"
"Alabama","9,696","27"
"Arkansas","6,165","17"
"Louisiana","62,881","172"
"Mississippi","24,918","68"
"New Mexico","146,746","402"
"Texas","1,263,585","3,462"
"Federal Offshore PAD District 3","552,863","1,515"
"PAD District 4","278,279","762"
"Colorado","126,232","346"
"Montana","28,561","78"
"Utah","36,987","101"
"Wyoming","86,499","237"
"PAD District 5","389,288","1,067"
"Alaska","176,240","483"
"South Alaska","6,686","18"
"North Slope","169,554","465"
"Arizona","37","0"
"California","201,284","551"
"Nevada","281","1"
"Federal Offshore PAD District 5","11,445","31"
"U.S. Total","3,436,524","9,415"
