"STUB_1","East Coast","Appalachian No. 1","Total","Indiana, Illinois, Kentucky","Minnesota, Wisconsin, North and South Dakota","Oklahoma, Kansas, Missouri","Total","Texas Inland","Texas Gulf Coast","Louisiana Gulf Coast","North Louisiana, Arkansas","New Mexico","Total","PAD District 4 - Rocky Mountain","PAD District 5 - West Coast","U.S. Total"
"Crude Oil","375,533","33,817","409,350","833,934","175,484","290,519","1,299,937","239,118","1,537,660","1,203,134","81,621","45,452","3,106,985","219,787","872,491","5,908,550"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","12,528","30","12,558","20,215","1,733","11,557","33,505","6,235","53,066","46,781","1,474","2,173","109,729","7,170","25,760","188,722"
"Pentanes Plus","583","–","583","2,956","75","3,661","6,692","2,129","15,897","16,686","129","204","35,045","2,052","9,093","53,465"
"Liquefied Petroleum Gases","11,945","30","11,975","17,259","1,658","7,896","26,813","4,106","37,169","30,095","1,345","1,969","74,684","5,118","16,667","135,257"
"Normal Butane","8,379","30","8,409","5,948","1,054","2,957","9,959","1,811","17,177","12,132","609","2","31,731","2,548","9,166","61,813"
"Isobutane","3,566","–","3,566","11,311","604","4,939","16,854","2,295","19,992","17,963","736","1,967","42,953","2,570","7,501","73,444"
"Other Liquids","867,743","78,535","946,278","160,710","44,853","35,871","241,434","108,494","-382,006","-361,210","72,220","-5,467","-567,969","5,628","148,061","773,432"
"Hydrogen/Oxygenates/Renewables/ Other Hydrocarbons","114,292","9,862","124,154","68,867","18,010","20,522","107,399","23,855","37,270","27,214","13,221","2,697","104,257","13,435","76,662","425,907"
"Hydrogen","1,270","277","1,547","8,092","2,891","1,639","12,622","265","25,740","18,825","716","562","46,108","2,293","15,019","77,589"
"Oxygenates (excluding Fuel Ethanol)","–","–","–","–","–","–","–","–","830","–","–","–","830","–","–","830"
"Methyl Tertiary Butyl Ether (MTBE)","–","–","–","–","–","–","–","–","830","–","–","–","830","–","–","830"
"All Other Oxygenates","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Renewable Fuels (including Fuel Ethanol)","113,022","9,585","122,607","60,395","15,119","18,883","94,397","23,590","10,700","8,389","12,505","2,135","57,319","11,142","61,643","347,108"
"Fuel Ethanol","110,350","8,952","119,302","57,367","14,024","17,765","89,156","22,503","9,774","5,098","11,536","1,901","50,812","10,563","56,025","325,858"
"Renewable Diesel Fuel","2,672","633","3,305","3,028","1,095","1,118","5,241","1,087","922","3,291","969","234","6,503","579","5,618","21,246"
"Other Renewable Fuels","–","–","–","–","–","–","–","–","4","–","–","–","4","–","–","4"
"Other Hydrocarbons","–","–","–","380","–","–","380","–","–","–","–","–","–","–","–","380"
"Unfinished Oils (net)","20,863","-994","19,869","-3,865","-1,515","-651","-6,031","-1,719","20,990","68,729","78","-563","87,515","-1,571","6,270","106,052"
"Naphthas and Lighter","5,780","-391","5,389","3,847","-1,240","689","3,296","-972","-26,632","-12,696","350","-110","-40,060","468","-2,552","-33,459"
"Kerosene and Light Gas Oils","-609","-13","-622","-2,800","-254","-148","-3,202","-91","-42,018","3,428","-164","-279","-39,124","-3,054","-1,297","-47,299"
"Heavy Gas Oils","10,886","-544","10,342","-1,973","-21","-131","-2,125","-330","74,116","52,674","382","-174","126,668","1,234","8,990","145,109"
"Residuum","4,806","-46","4,760","-2,939","–","-1,061","-4,000","-326","15,524","25,323","-490","–","40,031","-219","1,129","41,701"
"Motor Gasoline Blend.Comp. (MGBC)(net)","732,588","69,667","802,255","95,708","28,358","16,000","140,066","86,357","-440,266","-457,222","58,921","-7,601","-759,811","-6,236","65,129","241,403"
"Reformulated - RBOB","201,632","3,786","205,418","-4,652","11,632","9,758","16,738","61,034","-124,748","-51,040","76","-8,925","-123,603","–","39,214","137,767"
"Conventional","530,956","65,881","596,837","100,360","16,726","6,242","123,328","25,323","-315,518","-406,182","58,845","1,324","-636,208","-6,236","25,915","103,636"
"CBOB","449,064","65,721","514,785","87,324","14,373","6,326","108,023","27,650","-337,171","-384,860","58,940","1,401","-634,040","-6,491","16,823","-900"
"GTAB","23,632","–","23,632","–","–","–","–","–","–","–","–","–","–","–","226","23,858"
"Other","58,260","160","58,420","13,036","2,353","-84","15,305","-2,327","21,653","-21,322","-95","-77","-2,168","255","8,866","80,678"
"Aviation Gasoline Blend. Comp. (net)","–","–","–","–","–","–","–","1","–","69","–","–","70","–","–","70"
"Total Input","1,255,804","112,382","1,368,186","1,014,859","222,070","337,947","1,574,876","353,847","1,208,720","888,705","155,315","42,158","2,648,745","232,585","1,046,312","6,870,704"
