"STUB_1","STUB_2","East Coast","Appalachian No. 1","Total","Indiana, Illinois, Kentucky","Minnesota, Wisconsin, North and South Dakota","Oklahoma, Kansas, Missouri","Total","Texas Inland","Texas Gulf Coast","Louisiana Gulf Coast","North Louisiana, Arkansas","New Mexico","Total","PAD District 4 - Rocky Mountain","PAD District 5 - West Coast","U.S. Total"
"Crude Oil","","375,533","33,817","409,350","833,934","175,484","290,519","1,299,937","239,118","1,537,660","1,203,134","81,621","45,452","3,106,985","219,787","872,491","5,908,550"
"Natural Gas Plant Liquids","","6,547","–","6,547","19,203","1,174","8,478","28,855","5,885","49,378","45,999","1,246","2,173","104,681","6,581","25,736","172,400"
"Pentanes Plus","","–","–","–","2,956","–","3,301","6,257","2,014","14,691","16,686","129","204","33,724","1,830","9,093","50,904"
"Liquefied Petroleum Gases","","6,547","–","6,547","16,247","1,174","5,177","22,598","3,871","34,687","29,313","1,117","1,969","70,957","4,751","16,643","121,496"
"Normal Butane","","2,981","–","2,981","4,936","570","277","5,783","1,576","14,695","11,350","381","2","28,004","2,181","9,142","48,091"
"Isobutane","","3,566","–","3,566","11,311","604","4,900","16,815","2,295","19,992","17,963","736","1,967","42,953","2,570","7,501","73,405"
"Other Liquids","","-163,851","905","-162,946","-373,242","-66,801","-124,015","-564,058","-94,327","-512,452","-397,822","-19,191","-18,717","-1,042,509","-46,442","-383,524","-2,199,479"
"Hydrogen/Oxygenates/Renewables/ Other Hydrocarbons","","2,307","1,614","3,921","11,328","4,963","2,690","18,981","2,958","27,221","22,154","1,570","1,124","55,027","6,196","17,867","101,992"
"Hydrogen","","1,270","277","1,547","8,092","2,891","1,639","12,622","265","25,740","18,825","716","562","46,108","2,293","15,019","77,589"
"Oxygenates (excluding Fuel Ethanol)","","–","–","–","–","–","–","–","–","830","–","–","–","830","–","–","830"
"Methyl Tertiary Butyl Ether (MTBE)","","–","–","–","–","–","–","–","–","830","–","–","–","830","–","–","830"
"All Other Oxygenates","","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Renewable Fuels (including Fuel Ethanol)","","1,037","1,337","2,374","2,856","2,072","1,051","5,979","2,693","651","3,329","854","562","8,089","3,903","2,848","23,193"
"Fuel Ethanol","","907","1,149","2,056","1,826","1,739","899","4,464","2,138","519","1,542","475","562","5,236","3,485","1,127","16,368"
"Renewable Diesel Fuel","","130","188","318","1,030","333","152","1,515","555","132","1,787","379","–","2,853","418","1,721","6,825"
"Other Renewable Fuels","","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Other Hydrocarbons","","–","–","–","380","–","–","380","–","–","–","–","–","–","–","–","380"
"Unfinished Oils (net)","","20,849","-981","19,868","-3,940","-1,515","-651","-6,106","-1,719","20,990","68,227","78","-563","87,013","-1,571","6,270","105,474"
"Naphthas and Lighter","","5,777","-391","5,386","3,847","-1,240","689","3,296","-972","-26,632","-12,696","350","-110","-40,060","468","-2,552","-33,462"
"Kerosene and Light Gas Oils","","-620","–","-620","-2,009","-254","-148","-2,411","-91","-42,018","2,817","-164","-279","-39,735","-3,054","-1,297","-47,117"
"Heavy Gas Oils","","10,886","-544","10,342","-1,974","-21","-131","-2,126","-330","74,116","52,783","382","-174","126,777","1,234","8,990","145,217"
