"STUB_1","STUB_2","Crude     Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Less than 0.31  % sulfur","0.31 to 1.00  % sulfur","Greater than 1.00 % sulfur","Total","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellaneous Products","Total Products","Total Crude Oil and Products","Crude  Oil","Products","Total"
"PAD District 4","OPEC","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 4","Algeria","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 4","Angola","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 4","Ecuador","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 4","Iran","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 4","Iraq","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 4","Kuwait","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 4","Libya","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 4","Nigeria","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 4","Qatar","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 4","Saudi Arabia","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 4","United Arab Emirates","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 4","Venezuela","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 4","Non-OPEC","101,637","–","3,912","–","–","24","24","–","518","518","–","–","–","29","–","–","233","20","19","–","272","–","10","–","–","–","–","163","–","163","–","–","–","–","444","–","15","5,387","107,024","278","15","293"
"PAD District 4","Canada","101,637","–","3,912","–","–","24","24","–","518","518","–","–","–","29","–","–","233","20","19","–","272","–","10","–","–","–","–","163","–","163","–","–","–","–","444","–","15","5,387","107,024","278","15","293"
"Other","","0","–","0","–","–","0","0","–","0","0","–","–","–","0","–","–","0","0","0","–","0","–","0","–","–","–","–","0","–","0","–","–","–","–","0","–","0","0","0","0","0","0"
"Total","","101,637","–","3,912","–","–","24","24","–","518","518","–","–","–","29","–","–","233","20","19","–","272","–","10","–","–","–","–","163","–","163","–","–","–","–","444","–","15","5,387","107,024","278","15","293"
"PAD District 5","OPEC","236,974","–","–","4,927","–","–","–","–","–","–","–","–","–","–","–","–","–","–","108","–","108","–","–","–","–","–","–","–","216","216","–","–","–","–","99","38","–","5,388","242,362","649","15","664"
"PAD District 5","Algeria","–","–","–","3,186","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","3,186","3,186","–","9","9"
"PAD District 5","Angola","14,291","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","14,291","39","–","39"
"PAD District 5","Ecuador","63,048","–","–","1,384","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","216","216","–","–","–","–","–","–","–","1,600","64,648","173","4","177"
"PAD District 5","Iran","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"PAD District 5","Iraq","16,442","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","16,442","45","–","45"
"PAD District 5","Kuwait","24,228","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","108","–","108","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","108","24,336","66","0","67"
"PAD District 5","Libya","348","–","–","357","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","357","705","1","1","2"
"PAD District 5","Nigeria","1,944","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1,944","5","–","5"
"PAD District 5","Qatar","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","38","–","38","38","–","0","0"
"PAD District 5","Saudi Arabia","113,759","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","113,759","312","–","312"
"PAD District 5","United Arab Emirates","602","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","602","2","–","2"
"PAD District 5","Venezuela","2,312","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","99","–","–","99","2,411","6","0","7"
"Non-OPEC","","178,368","–","2,803","12,130","–","2,349","2,349","2,074","17,605","19,679","–","–","1,055","1,216","3,889","–","4,137","3","1,113","–","5,253","–","–","–","22,541","–","276","1,522","15,874","17,672","449","–","399","347","1,007","213","–","91,002","269,370","489","249","738"
"Argentina","","5,299","–","54","–","–","–","–","–","–","–","–","–","–","108","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","162","5,461","15","0","15"
"Aruba","","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Australia","","1,179","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1,179","3","–","3"
"Brazil","","16,962","–","–","–","–","–","–","–","–","–","–","–","1,055","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","1,055","18,017","46","3","49"
"Brunei","","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Canada","","80,943","–","2,146","391","–","1,398","1,398","101","5,908","6,009","–","–","–","610","–","–","3,315","3","191","–","3,509","–","–","–","720","–","246","198","1,819","2,263","–","–","2","347","896","78","–","18,369","99,312","222","50","272"
"China","","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","694","–","–","–","–","–","–","–","329","–","–","–","–","1,023","1,023","–","3","3"
"Colombia","","39,990","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","32","–","–","32","40,022","110","0","110"
"Finland","","–","–","–","–","–","24","24","–","79","79","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","103","103","–","0","0"
"Germany","","–","–","–","145","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","145","145","–","0","0"
"Indonesia","","13,097","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","2","–","–","–","–","2","13,099","36","0","36"
"Japan","","–","–","–","–","–","–","–","–","592","592","–","–","–","–","–","–","484","–","–","–","484","–","–","–","2,019","–","–","–","–","–","–","–","52","–","–","4","–","3,151","3,151","–","9","9"
"Korea, South","","–","–","–","–","–","120","120","144","1,518","1,662","–","–","–","498","–","–","338","–","–","–","338","–","–","–","17,961","–","–","–","–","–","148","–","–","–","–","131","–","20,858","20,858","–","57","57"
"Malaysia","","182","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","2","–","–","–","–","2","184","0","0","1"
"Mexico","","–","–","–","–","–","230","230","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","30","–","9,386","9,416","–","–","–","–","–","–","–","9,646","9,646","–","26","26"
"Netherlands","","–","–","–","221","–","–","–","145","76","221","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","470","470","–","–","–","–","–","–","–","912","912","–","2","2"
"Netherlands Antilles","","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Oman","","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Papua New Guinea","","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Peru","","903","–","325","165","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","120","841","961","–","–","–","–","–","–","–","1,451","2,354","2","4","6"
"Singapore","","–","–","–","–","–","–","–","480","689","1,169","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","5,058","5,058","–","14","14"
"Sweden","","–","–","–","–","–","11","11","–","27","27","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","38","38","–","0","0"
"Taiwan","","–","–","–","–","–","–","–","–","814","814","–","–","–","–","–","–","–","–","–","–","–","–","–","–","322","–","–","–","–","–","301","–","–","–","–","–","–","1,437","1,437","–","4","4"
"United Kingdom","","261","–","–","371","–","9","9","394","3,600","3,994","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","4,374","4,635","1","12","13"
"Vietnam","","3,320","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","3,320","9","–","9"
"Virgin Islands, U.S.","","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Other","","16,232","–","278","10,837","–","557","557","810","4,302","5,112","–","–","0","0","3,889","–","0","0","922","–","922","–","–","–","825","–","0","1,204","3,358","4,562","0","–","12","0","79","0","–","23,184","39,416","45","65","109"
"Total","","415,342","–","2,803","17,057","–","2,349","2,349","2,074","17,605","19,679","–","–","1,055","1,216","3,889","–","4,137","3","1,221","–","5,361","–","–","–","22,541","–","276","1,522","16,090","17,888","449","–","399","347","1,106","251","–","96,390","511,732","1,138","264","1,402"
"Persian Gulf","","155,031","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","108","–","108","–","–","–","–","–","–","–","–","–","–","–","–","–","–","38","–","146","155,177","425","0","425"
