"STUB_1","1","2","3","4","5","Total","Daily Average"
"Crude Oil","26,689","30,597","106,491","3,056","2,909","169,741","465"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","16,485","92,506","228,415","2,695","12,518","352,618","966"
"Pentanes Plus","708","62,837","457","1,916","723","66,642","183"
"Liquefied Petroleum Gases","15,777","29,668","227,958","778","11,795","285,976","783"
"Ethane/Ethylene","–","23,619","–","–","–","23,619","65"
"Propane/Propylene","13,517","1,551","201,254","180","7,925","224,426","615"
"Normal Butane/Butylene","2,237","4,414","24,259","571","3,859","35,341","97"
"Isobutane/Isobutylene","24","85","2,444","27","11","2,590","7"
"Other Liquids","7,810","10,800","163,319","309","5,338","187,576","514"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","1,441","6,672","34,694","246","743","43,796","120"
"Hydrogen","–","–","–","–","–","–","–"
"Oxygenates (excluding Fuel Ethanol)","18","3","21,855","0","17","21,894","60"
"Methyl Tertiary Butyl Ether (MTBE)","1","0","13,390","–","0","13,392","37"
"Other Oxygenates","17","3","8,465","0","17","8,503","23"
"Renewable Fuels (including Fuel Ethanol)","1,423","6,668","12,839","246","726","21,902","60"
"Fuel Ethanol","1,414","5,616","12,450","19","312","19,811","54"
"Biomass-Based Diesel","10","1,052","388","227","414","2,091","6"
"Other Renewable Diesel","–","–","–","–","–","–","–"
"Other Renewable Fuels","–","–","–","–","–","–","–"
"Other Hydrocarbons","–","–","–","–","–","–","–"
"Unfinished Oils","4,602","1,149","85,122","38","1,190","92,101","252"
"Naphthas and Lighter","3,283","1,064","56,327","35","1,163","61,872","170"
"Kerosene and Light Gas Oils","1,319","85","28,795","2","27","30,229","83"
"Heavy Gas Oils","–","–","–","–","–","–","–"
"Residuum","–","–","–","–","–","–","–"
"Motor Gasoline Blend.Comp. (MGBC)","1,766","2,980","43,503","25","3,405","51,678","142"
"Reformulated","13","1","251","–","2","267","1"
"Conventional","1,753","2,979","43,252","25","3,403","51,412","141"
"Aviation Gasoline Blend. Comp.","–","–","–","–","–","–","–"
"Finished Petroleum Products","36,829","26,295","829,524","398","126,396","1,019,443","2,793"
"Finished Motor Gasoline","1,030","2,741","157,947","9","11,973","173,701","476"
"Reformulated","–","–","–","–","–","–","–"
"Conventional","1,030","2,741","157,947","9","11,973","173,701","476"
"Finished Aviation Gasoline","–","–","–","–","–","–","–"
"Kerosene-Type Jet Fuel","214","8,755","43,752","0","8,603","61,324","168"
"Kerosene","165","1,331","3,060","–","193","4,749","13"
"Distillate Fuel Oil","15,940","1,765","372,786","0","38,583","429,075","1,176"
"15 ppm sulfur and under","7,048","14","316,256","0","29,173","352,491","966"
"Greater than 15 ppm to 500 ppm sulfur","7,375","1,438","23,751","–","4,814","37,379","102"
"Greater than 500 ppm sulfur","1,517","313","32,779","–","4,596","39,205","107"
"Residual Fuel Oil","9,878","3,884","84,895","157","20,226","119,040","326"
"Naphtha for Petro. Feed. Use","–","–","–","–","–","–","–"
"Other Oils for Petro. Feed. Use","–","–","–","–","–","–","–"
"Special Naphthas","–","–","–","–","–","–","–"
"Lubricants","2,020","1,854","19,023","134","3,325","26,355","72"
"Waxes","841","311","227","5","65","1,449","4"
"Petroleum Coke","4,964","4,176","144,621","7","42,713","196,482","538"
"Asphalt and Road Oil","1,557","1,476","3,029","86","703","6,850","19"
"Miscellaneous Products","220","2","184","0","12","417","1"
"Total","87,813","160,198","1,327,749","6,457","147,161","1,729,378","4,738"
