"STUB_1","Crude Oil","Pentanes Plus","Liquefied Petroleum Gases","Unfinished Oils","Reform- ulated","Conven- tional","Total","Reform-  ulated","Conven-  tional","Total","Methyl Tertiary Butyl Ether (MTBE)","Other Oxygen- ates","Fuel Ethanol","Biomass- Based Diesel","Other Renewable Diesel","Other Renewable Fuels","15 ppm sulfur and   under","Greater than 15 ppm to  500 ppm sulfur","501 to 2000 ppm","Greater than 2000 ppm","Total","Kerosene","Finished Aviation Gasoline","Aviation Gasoline Blending Components","Kerosene- Type Jet Fuel","Special  Naphthas","Residual Fuel Oil","Naphtha","Other Oils","Waxes","Petroleum Coke","Asphalt and Road Oil","Lubricants","Miscellanous  Products","Total Products","Total Crude Oil and Products"
"OPEC","2,673","2","-34","89","–","-38","-38","1","34","35","-10","0","-2","0","–","–","-43","-9","-6","–","-58","-5","–","–","4","1","-3","1","0","0","-7","4","1","0","-19","2,654"
"Algeria","3","2","–","98","–","-1","-1","–","–","–","–","0","–","–","–","–","–","-1","-1","–","-2","–","–","–","1","–","4","0","–","0","–","0","0","–","103","105"
"Angola","124","0","–","11","–","–","–","–","–","–","–","–","–","0","–","–","–","–","–","–","–","–","–","–","–","–","2","–","–","–","–","0","0","–","13","136"
"Ecuador","225","0","-26","3","–","-32","-32","–","-5","-5","–","0","0","–","–","–","-42","-7","-1","–","-49","0","–","–","-1","0","-3","–","–","0","-4","0","-1","0","-118","108"
"Iran","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Iraq","229","–","–","0","–","0","0","–","–","–","–","–","0","–","–","–","–","–","–","–","–","0","–","–","–","–","–","–","–","–","0","–","0","–","0","229"
"Kuwait","204","0","–","0","–","0","0","–","0","0","–","–","0","–","–","–","–","–","0","–","0","–","–","–","0","–","–","–","–","0","0","0","0","0","0","204"
"Libya","3","–","–","3","–","–","–","–","–","–","–","–","–","–","–","–","–","–","-1","–","-1","0","–","–","–","–","1","–","–","–","0","0","0","–","3","6"
"Nigeria","54","0","-5","0","–","1","1","0","22","23","–","0","0","–","–","–","0","–","-1","–","-1","-5","–","–","-14","–","1","–","–","0","0","0","-1","–","-2","52"
"Qatar","–","–","0","0","–","0","0","–","0","0","0","–","0","–","–","–","1","–","–","–","1","–","–","–","0","–","0","–","–","0","-2","–","7","–","6","6"
"Saudi Arabia","1,052","0","0","0","–","0","0","0","0","0","0","0","0","–","–","–","3","–","–","–","3","0","–","–","1","1","0","1","–","0","-2","–","0","0","4","1,056"
"United Arab Emirates","2","0","0","2","–","0","0","–","0","0","0","0","-2","0","–","–","0","–","–","–","0","0","–","–","0","–","-4","0","–","0","-1","0","-1","0","-6","-4"
"Venezuela","776","0","-3","-28","–","-5","-5","1","16","17","-11","0","0","–","–","–","-5","-2","-3","–","-10","0","–","–","16","–","-4","1","0","0","3","4","-2","–","-22","754"
"Non-OPEC","4,225","-174","-604","205","–","-367","-367","175","248","422","-23","-23","-46","17","13","–","-786","-81","-50","0","-917","-4","0","–","-40","14","-131","32","7","2","-521","9","-39","-1","-2,168","2,057"
"Argentina","18","0","0","-1","–","-2","-2","–","1","1","0","0","0","13","–","–","-51","-1","-4","–","-56","0","–","–","-2","–","0","0","3","0","1","0","-2","0","-44","-26"
"Aruba","–","–","-25","-12","–","-1","-1","0","0","0","–","–","–","–","–","–","-1","–","–","–","-1","0","–","–","0","–","-3","–","–","–","–","0","0","–","-41","-41"
"Australia","10","0","0","0","–","-1","-1","0","0","0","–","0","0","–","–","–","0","–","0","–","0","–","–","–","–","–","0","–","–","0","-7","0","-1","0","-9","1"
"Bahamas","–","0","-1","0","–","1","1","0","-3","-3","–","0","0","–","–","–","-6","0","-3","–","-9","0","–","–","-1","–","-14","–","–","–","–","0","0","–","-27","-27"
