"STUB_1","1","2","3","4","5","U.S. Total"
"Crude Oil","16,151","144,504","909,794","19,746","54,144","1,144,339"
"Refinery","12,571","14,994","48,133","2,224","22,658","100,580"
"Tank Farms and Pipelines (Includes Cushing, OK)","3,580","129,510","166,542","17,522","27,105","344,259"
"Cushing, Oklahoma","–","63,507","–","–","–","–"
"Leases","– –","– –","– –","– –","– –","– –"
"Strategic Petroleum Reserve","–","–","695,119","–","–","695,119"
"Alaskan In Transit","–","–","–","–","4,381","4,381"
"Total Stocks, All Oils (excluding Crude Oil)","178,158","183,669","367,400","21,997","89,008","840,232"
"Refinery","18,647","49,840","117,329","11,814","51,061","248,691"
"Bulk Terminal","129,814","96,601","192,830","6,214","32,567","458,026"
"Pipeline","29,479","36,273","54,137","3,843","5,098","128,830"
"Natural Gas Processing Plant","218","955","3,104","126","282","4,685"
"Pentanes Plus","209","9,985","9,983","305","34","20,516"
"Refinery","–","296","397","24","1","718"
"Bulk Terminal","145","2,078","7,418","7","3","9,651"
"Pipeline","12","7,400","1,734","238","–","9,384"
"Natural Gas Processing Plant","52","211","434","36","30","763"
"Liquefied Petroleum Gases","8,073","44,079","116,365","3,312","4,695","176,524"
"Refinery","905","4,819","6,732","407","1,462","14,325"
"Bulk Terminal","6,278","30,542","94,304","1,220","2,981","135,325"
"Pipeline","724","7,974","12,659","1,595","–","22,952"
"Natural Gas Processing Plant","166","744","2,670","90","252","3,922"
"Ethane/Ethylene","118","5,182","28,583","432","–","34,315"
"Refinery","–","–","82","–","–","82"
"Bulk Terminal","–","2,537","22,746","–","–","25,283"
"Ethylene","–","–","2,549","–","–","2,549"
"Pipeline","118","2,545","5,071","431","–","8,165"
"Natural Gas Processing Plant","–","100","684","1","–","785"
"Propane/Propylene","6,723","25,352","61,178","1,520","1,474","96,247"
"Refinery","296","1,834","1,825","44","105","4,104"
"Bulk Terminal","5,725","19,180","52,904","694","1,354","79,857"
"Nonfuel Use","–","–","2,979","–","–","2,979"
"Pipeline","588","3,934","5,418","735","–","10,675"
"Natural Gas Processing Plant","114","404","1,031","47","15","1,611"
"Normal Butane/Butylene","1,040","11,605","20,901","1,025","2,758","37,329"
"Refinery","440","2,263","3,797","220","924","7,644"
"Bulk Terminal","553","8,118","14,964","525","1,627","25,787"
"Refinery Grade Butane","12","3,710","4,229","118","–","8,069"
"Pipeline","6","1,082","1,429","247","–","2,764"
"Natural Gas Processing Plant","41","142","711","33","207","1,134"
"Isobutane/Isobutylene","192","1,940","5,703","335","463","8,633"
"Refinery","169","722","1,028","143","433","2,495"
"Bulk Terminal","–","707","3,690","1","–","4,398"
"Pipeline","12","413","741","182","–","1,348"
"Natural Gas Processing Plant","11","98","244","9","30","392"
"Other Hydrocarbons","–","42","–","–","–","42"
"Refinery","–","42","–","–","–","42"
"Oxygenates (excluding Fuel Ethanol)","–","–","927","–","–","927"
"Refinery","–","–","104","–","–","104"
"Bulk Terminal","–","–","823","–","–","823"
"Pipeline","–","–","–","–","–","–"
"MTBE","–","–","829","–","–","829"
"Refinery","–","–","104","–","–","104"
"Bulk Terminal","–","–","725","–","–","725"
"Pipeline","–","–","–","–","–","–"
"Other Oxygenates","–","–","98","–","–","98"
"Refinery","–","–","–","–","–","–"
"Bulk Terminal","–","–","98","–","–","98"
"Pipeline","–","–","–","–","–","–"
"Renewable Fuels (including Fuel Ethanol)","8,858","8,056","5,484","351","3,428","26,177"
"Refinery","157","130","403","96","195","981"
"Bulk Terminal","8,681","7,926","5,081","255","3,233","25,176"
"Pipeline","20","–","–","–","–","20"
"Fuel Ethanol","7,218","7,216","4,345","338","2,479","21,596"
"Refinery","153","94","150","87","44","528"
"Bulk Terminal","7,045","7,122","4,195","251","2,435","21,048"
"Pipeline","20","–","–","–","–","20"
"Renewable Diesel Fuel","1,640","840","1,135","13","949","4,577"
"Refinery","4","36","253","9","151","453"
"Bulk Terminal","1,636","804","882","4","798","4,124"
"Pipeline","–","–","–","–","–","–"
"Other Renewable Fuels","–","–","4","–","–","4"
"Refinery","–","–","–","–","–","–"
