"STUB_1","2","3","1","3","4","1","2","4","5","1","2","3","5","3","4"
"Crude Oil","1,833","546","2,589","331,694","78,763","2,667","302,907","0","–","0","192,679","5,025","–","0","0"
"Petroleum Products","145,416","0","21,510","175,848","58,984","1,002,381","229,739","0","60,687","0","69,885","78,310","20,629","0","0"
"Pentanes Plus","121","0","125","12,562","2,362","0","53,879","0","–","0","7,080","11,775","–","0","0"
"Liquefied Petroleum Gases","33,098","0","11,391","145,938","26,368","17,164","29,749","0","–","0","51,639","66,535","–","0","0"
"Motor Gasoline Blending Components","71,752","0","3,378","9,325","14,102","476,028","82,405","0","47,995","0","2,075","0","12,969","0","0"
"Reformulated - RBOB","0","0","0","2,225","–","105,605","32,107","–","30,369","0","0","0","0","0","–"
"Conventional","71,752","0","3,378","7,100","14,102","370,423","50,298","0","17,626","0","2,075","0","12,969","0","0"
"CBOB","71,752","0","3,378","7,100","14,102","370,361","43,136","0","17,626","0","2,075","0","12,969","0","0"
"GTAB","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Other","0","0","0","0","–","62","7,162","–","–","0","0","0","–","0","–"
"Renewable Fuels","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Fuel Ethanol","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Renewable Diesel Fuel","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Other Renewable Fuels","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Finished Motor Gasoline","6,058","0","1,714","704","2,796","81,782","7,505","0","0","0","3,964","0","3,642","0","0"
"Reformulated","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Reformulated Blended with Fuel Ethanol","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Reformulated Other","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Conventional","6,058","0","1,714","704","2,796","81,782","7,505","0","0","0","3,964","0","3,642","0","0"
"Conventional Blended with Fuel Ethanol","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Ed55 and Lower","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Greater than Ed55","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Conventional Other","6,058","0","1,714","704","2,796","81,782","7,505","0","0","0","3,964","0","3,642","0","0"
"Finished Aviation Gasoline","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Kerosene-Type Jet Fuel","2,450","0","680","216","7,534","137,269","17,656","0","3,161","0","228","0","178","0","0"
"Kerosene","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Distillate Fuel Oil","31,937","0","4,222","7,103","5,822","290,138","38,545","0","9,531","0","4,899","0","3,840","0","0"
"15 ppm sulfur and under","31,937","0","4,222","7,103","5,822","258,112","37,079","0","9,531","0","4,899","0","3,840","0","0"
"Greater than 15 ppm to 500 ppm sulfur","0","0","0","0","–","2,355","1,466","–","–","0","0","0","–","0","–"
"Greater than 500 ppm sulfur","–","0","0","0","–","29,671","–","–","–","0","–","0","–","0","–"
"Residual Fuel Oil","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Miscellaneous Products","–","–","–","–","–","–","–","–","–","–","–","–","–","–","–"
"Total","147,249","546","24,099","507,542","137,747","1,005,048","532,646","0","60,687","0","262,564","83,335","20,629","0","0"
