"STUB_1","STUB_2","Pipeline","Tanker and Barge","Rail","Total"
"From 1 to","2","1,833","906","0","2,739"
"From 1 to","3","546","8,093","0","8,639"
"From 1 to","4","0","–","0","0"
"From 1 to","5","–","0","0","0"
"From 2 to","1","2,589","3,574","135,169","141,332"
"From 2 to","3","331,694","16,667","29,296","377,657"
"From 2 to","4","78,763","–","0","78,763"
"From 2 to","5","–","0","50,063","50,063"
"From 3 to","1","2,667","24,612","0","27,279"
"From 3 to","2","302,907","0","0","302,907"
"From 3 to","4","0","–","0","0"
"From 3 to","5","–","136","1,847","1,983"
"From 4 to","1","0","0","7,238","7,238"
"From 4 to","2","192,679","0","1,356","194,035"
"From 4 to","3","5,025","0","28,971","33,996"
"From 4 to","5","–","0","4,116","4,116"
"From 5 to","1","0","0","0","0"
"From 5 to","2","0","0","0","0"
"From 5 to","3","0","0","0","0"
"From 5 to","4","0","–","0","0"
