"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied","Ending Stocks"
"Crude Oil","2,066,856","– –","– –","1,082,586","88,123","18,693","42,782","3,106,985","106,491","0","909,794"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","713,764","-207","146,127","4,588","135,882","– –","19,166","109,729","228,415","642,844","126,348"
"Pentanes Plus","82,188","-207","– –","3,955","-29,542","– –","-1,003","35,045","457","21,895","9,983"
"Liquefied Petroleum Gases","631,576","– –","146,127","633","165,424","– –","20,169","74,684","227,958","620,949","116,365"
"Ethane/Ethylene","281,715","– –","1,932","–","69,639","– –","-1,049","–","–","354,335","28,583"
"Propane/Propylene","224,830","– –","131,618","47","63,289","– –","19,230","–","201,254","199,300","61,178"
"Normal Butane/Butylene","50,070","– –","15,266","586","24,374","– –","2,198","31,731","24,259","32,108","20,901"
"Isobutane/Isobutylene","74,961","– –","-2,689","–","8,122","– –","-210","42,953","2,444","35,207","5,703"
"Other Liquids","– –","37,623","– –","173,364","-635,783","20,925","1,112","-567,969","163,319","-333","119,744"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","37,623","– –","4,923","53,312","44,017","924","104,257","34,694","0","6,411"
"Hydrogen","– –","– –","– –","–","–","46,108","– –","46,108","–","0","– –"
"Oxygenates (excluding Fuel Ethanol)","– –","23,692","– –","1,314","–","-2,464","-143","830","21,855","0","927"
"Renewable Fuels (including Fuel Ethanol)","– –","13,931","– –","3,533","53,312","449","1,067","57,319","12,839","0","5,484"
"Fuel Ethanol","– –","8,944","– –","143","51,965","3,142","932","50,812","12,450","0","4,345"
"Renewable Fuels Except Fuel Ethanol","– –","4,987","– –","3,390","1,347","-2,693","135","6,507","388","0","1,139"
"Other Hydrocarbons","– –","– –","– –","76","–","-76","–","–","–","0","–"
"Unfinished Oils","– –","– –","– –","163,783","6,141","– –","-2,449","87,515","85,122","-264","39,958"
"Motor Gasoline Blend.Comp. (MGBC)","– –","–","– –","4,658","-695,236","-23,092","2,638","-759,811","43,503","0","73,367"
"Reformulated","– –","–","– –","–","-165,897","43,737","1,192","-123,603","251","0","11,762"
"Conventional","– –","–","– –","4,658","-529,339","-66,829","1,446","-636,208","43,252","0","61,605"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","-1","70","–","-69","8"
"Finished Petroleum Products","– –","–","2,726,305","47,821","-682,440","25,157","7,133","– –","829,524","1,280,186","121,308"
"Finished Motor Gasoline","– –","–","806,365","944","-131,105","19,950","-2,231","– –","157,947","540,438","11,240"
"Reformulated","– –","–","155,593","–","–","-52,512","–","– –","–","103,081","–"
"Conventional","– –","–","650,772","944","-131,105","72,462","-2,231","– –","157,947","437,356","11,240"
"Finished Aviation Gasoline","– –","– –","2,617","–","-4,162","– –","-124","– –","–","-1,421","370"
"Kerosene-Type Jet Fuel","– –","– –","293,668","–","-172,206","– –","113","– –","43,752","77,597","14,315"
"Kerosene","– –","– –","3,283","–","-228","– –","80","– –","3,060","-85","326"
"Distillate Fuel Oil","– –","– –","1,027,526","3,915","-370,289","5,207","1,940","– –","372,786","291,633","46,198"
"15 ppm sulfur and under","– –","– –","932,486","135","-336,603","5,207","2,578","– –","316,256","282,391","39,641"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","35,221","–","-3,821","–","331","– –","23,751","7,318","1,790"
"Greater than 500 ppm sulfur","– –","– –","59,819","3,780","-29,865","– –","-969","– –","32,779","1,924","4,767"
"Residual Fuel Oil","– –","– –","68,804","15,779","8,172","– –","5,269","– –","84,895","2,591","24,866"
"Less than 0.31 percent sulfur","– –","– –","10,635","2,437","186","– –","785","– –","NA","NA","2,325"
"0.31 to 1.00 percent sulfur","– –","– –","5,771","3,219","238","– –","-1,463","– –","NA","NA","2,483"
"Greater than 1.00 percent sulfur","– –","– –","52,398","10,123","7,748","– –","5,947","– –","NA","NA","20,058"
"Petrochemical Feedstocks","– –","– –","94,420","11,992","1,400","– –","-151","– –","–","107,963","2,379"
"Naphtha for Petro. Feed. Use","– –","– –","59,740","10,379","1,077","– –","-180","– –","–","71,376","1,358"
"Other Oils for Petro. Feed. Use","– –","– –","34,680","1,613","323","– –","29","– –","–","36,587","1,021"
"Special Naphthas","– –","– –","12,037","5,072","-575","– –","-117","– –","–","16,651","1,091"
"Lubricants","– –","– –","50,921","7,840","-8,208","– –","1,441","– –","19,023","30,089","10,565"
"Waxes","– –","– –","1,256","436","–","– –","-38","– –","227","1,503","230"
"Petroleum Coke","– –","– –","181,730","1,843","–","– –","-582","– –","144,621","39,534","3,562"
"Marketable","– –","– –","138,717","1,843","–","– –","-582","– –","144,621","-3,479","3,562"
"Catalyst","– –","– –","43,013","– –","– –","– –","– –","– –","– –","43,013","– –"
"Asphalt and Road Oil","– –","– –","30,494","–","-5,265","– –","1,268","– –","3,029","20,932","5,627"
"Still Gas","– –","– –","132,264","– –","– –","– –","– –","– –","– –","132,264","– –"
"Miscellaneous Products","– –","– –","20,920","–","26","– –","265","– –","184","20,497","539"
"Total","2,780,620","37,416","2,872,432","1,308,359","-1,094,218","64,775","70,193","2,648,745","1,327,749","1,922,697","1,277,194"
