"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports (PADD of Entry)","Net Receipts","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied","Ending Stocks"
"Crude Oil","221,937","– –","– –","109,503","-121,900","-2,522","4,272","200,215","2,531","0","23,958"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","121,942","-106","4,691","3,365","-109,154","– –","360","6,475","1,774","12,129","3,982"
"Pentanes Plus","19,774","-106","– –","–","-15,264","– –","-3","1,957","1,331","1,119","307"
"Liquefied Petroleum Gases","102,168","– –","4,691","3,365","-93,890","– –","363","4,518","443","11,010","3,675"
"Ethane/Ethylene","30,705","– –","–","–","-28,362","– –","20","–","–","2,323","452"
"Propane/Propylene","45,475","– –","3,091","3,179","-41,085","– –","-14","–","24","10,650","1,505"
"Normal Butane/Butylene","17,872","– –","1,405","6","-15,623","– –","424","2,235","419","582","1,450"
"Isobutane/Isobutylene","8,116","– –","195","180","-8,820","– –","-67","2,283","–","-2,545","268"
"Other Liquids","– –","4,594","– –","832","5,183","-6,914","-604","2,558","497","1,243","8,685"
"Hydrogen/Oxygenates/Renewables/   Other Hydrocarbons","– –","4,594","– –","192","4,263","3,997","18","12,927","100","0","369"
"Hydrogen","– –","– –","– –","–","–","2,269","– –","2,269","–","0","– –"
"Oxygenates (excluding Fuel Ethanol)","– –","–","– –","–","–","0","–","–","0","0","–"
"Renewable Fuels (including Fuel Ethanol)","– –","4,594","– –","138","4,263","1,781","18","10,658","100","0","369"
"Fuel Ethanol","– –","4,594","– –","–","3,861","1,657","19","10,074","19","0","357"
"Renewable Fuels Except Fuel Ethanol","– –","–","– –","138","402","124","-1","584","81","0","12"
"Other Hydrocarbons","– –","– –","– –","54","–","-54","–","–","–","0","–"
"Unfinished Oils","– –","– –","– –","–","–","– –","-844","-788","389","1,243","2,670"
"Motor Gasoline Blend.Comp. (MGBC)","– –","–","– –","640","920","-10,911","222","-9,581","8","0","5,646"
"Reformulated","– –","–","– –","–","–","–","–","–","–","–","–"
"Conventional","– –","–","– –","–","920","-10,911","222","-9,581","8","0","5,646"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","–","– –","–","–","–","–","–"
"Finished Petroleum Products","– –","–","214,619","532","593","9,129","-94","– –","702","224,265","8,997"
"Finished Motor Gasoline","– –","–","105,241","–","-4,533","9,254","158","– –","11","109,793","2,450"
"Reformulated","– –","–","–","–","–","–","–","– –","–","–","–"
"Conventional","– –","–","105,241","–","-4,533","9,254","158","– –","11","109,793","2,450"
"Finished Aviation Gasoline","– –","– –","51","8","–","– –","2","– –","–","57","8"
"Kerosene-Type Jet Fuel","– –","– –","11,512","14","6,782","– –","167","– –","0","18,141","762"
"Kerosene","– –","– –","1","–","–","– –","-1","– –","–","2","1"
"Distillate Fuel Oil","– –","– –","65,634","49","-1,656","-124","-66","– –","35","63,934","4,250"
"15 ppm sulfur and under","– –","– –","65,309","49","-1,656","-124","-31","– –","0","63,609","4,012"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","368","–","–","–","9","– –","35","324","196"
"Greater than 500 ppm sulfur","– –","– –","-43","–","–","– –","-44","– –","–","1","42"
"Residual Fuel Oil","– –","– –","3,400","–","–","– –","-11","– –","460","2,951","227"
"Less than 0.31 percent sulfur","– –","– –","1,890","–","–","– –","28","– –","NA","NA","35"
"0.31 to 1.00 percent sulfur","– –","– –","232","–","–","– –","-3","– –","NA","NA","4"
"Greater than 1.00 percent sulfur","– –","– –","1,278","–","–","– –","-36","– –","NA","NA","188"
"Petrochemical Feedstocks","– –","– –","–","–","–","– –","–","– –","–","–","–"
"Naphtha for Petro. Feed. Use","– –","– –","–","–","–","– –","–","– –","–","–","–"
"Other Oils for Petro. Feed. Use","– –","– –","–","–","–","– –","–","– –","–","–","–"
"Special Naphthas","– –","– –","–","–","–","– –","–","– –","–","–","–"
"Lubricants","– –","– –","–","–","–","– –","–","– –","119","-119","–"
"Waxes","– –","– –","–","–","–","– –","–","– –","2","-2","–"
"Petroleum Coke","– –","– –","8,393","–","–","– –","88","– –","2","8,303","181"
"Marketable","– –","– –","5,790","–","–","– –","88","– –","2","5,700","181"
"Catalyst","– –","– –","2,603","– –","– –","– –","– –","– –","– –","2,603","– –"
"Asphalt and Road Oil","– –","– –","11,602","448","–","– –","-432","– –","72","12,410","1,099"
"Still Gas","– –","– –","7,730","– –","– –","– –","– –","– –","– –","7,730","– –"
"Miscellaneous Products","– –","– –","1,055","13","–","– –","1","– –","0","1,067","19"
"Total","343,879","4,488","219,310","114,232","-225,278","-306","3,934","209,248","5,505","237,637","45,622"
