"STUB_1","Field Production","Renewable Fuels and Oxygenate Plant Net Production","Refinery and Blender Net Production","Imports","Adjust- ments","Stock Change","Refinery and Blender Net Inputs","Exports","Products Supplied","Ending Stocks"
"Crude Oil","2,710,965","– –","– –","2,397,847","20,792","39,526","4,931,434","158,644","0","1,183,910"
"Natural Gas Plant Liquids and Liquefied Refinery Gases","1,061,260","-6,530","208,172","47,469","– –","47,225","153,921","356,583","752,642","244,498"
"Pentanes Plus","132,880","-6,530","– –","3,200","– –","4,581","44,829","62,215","17,925","25,124"
"Liquefied Petroleum Gases","928,380","– –","208,172","44,269","– –","42,644","109,092","294,368","734,717","219,374"
"Ethane/Ethylene","380,318","– –","1,276","43","– –","17,873","–","27,687","336,077","51,801"
"Propane/Propylene","354,306","– –","177,168","37,662","– –","5,428","–","233,261","330,447","102,093"
"Normal Butane/Butylene","98,204","– –","31,665","3,389","– –","19,733","44,738","31,505","37,282","57,242"
"Isobutane/Isobutylene","95,552","– –","-1,937","3,175","– –","-390","64,354","1,914","30,912","8,238"
"Other Liquids","– –","354,419","– –","403,522","82,799","-4,723","698,809","154,348","-7,694","311,175"
"Hydrogen/Oxygenates/Renewables/ Other Hydrocarbons","– –","354,459","– –","20,248","34,334","-220","365,618","43,644","0","26,538"
"Hydrogen","– –","– –","– –","–","66,077","– –","66,077","–","0","– –"
"Oxygenates (excluding Fuel Ethanol)","– –","22,263","– –","3,268","-2,386","129","905","22,111","0","1,056"
"Renewable Fuels (including Fuel Ethanol)","– –","332,196","– –","16,743","-29,491","-323","298,239","21,533","0","25,466"
"Fuel Ethanol","– –","301,947","– –","862","-5,190","-1,433","279,379","19,673","0","20,005"
"Renewable Fuels Except Fuel Ethanol","– –","30,249","– –","15,881","-24,300","1,110","18,860","1,860","0","5,461"
"Other Hydrocarbons","– –","– –","– –","237","134","-26","397","–","0","16"
"Unfinished Oils","– –","– –","– –","181,048","– –","3,025","117,000","68,668","-7,645","85,650"
"Motor Gasoline Blend.Comp. (MGBC)","– –","-40","– –","202,226","48,464","-7,533","216,147","42,036","0","198,974"
"Reformulated","– –","–","– –","56,931","54,281","-4,735","115,901","46","0","46,127"
"Conventional","– –","-40","– –","145,295","-5,817","-2,798","100,246","41,990","0","152,847"
"Aviation Gasoline Blend. Comp.","– –","– –","– –","–","– –","5","44","–","-49","13"
"Finished Petroleum Products","– –","843","5,912,810","218,938","-17,850","-14,458","– –","898,121","5,231,078","310,672"
"Finished Motor Gasoline","– –","843","3,046,037","18,867","-43,274","-2,561","– –","177,439","2,847,596","25,892"
"Reformulated","– –","–","991,192","–","-54,991","13","– –","–","936,188","43"
"Conventional","– –","843","2,054,845","18,867","11,717","-2,574","– –","177,439","1,911,408","25,849"
"Finished Aviation Gasoline","– –","– –","3,322","80","– –","-9","– –","–","3,411","869"
"Kerosene-Type Jet Fuel","– –","– –","499,762","45,059","– –","4,284","– –","52,507","488,030","44,540"
"Kerosene","– –","– –","4,205","564","– –","-130","– –","3,015","1,884","2,449"
"Distillate Fuel Oil","– –","– –","1,461,307","44,243","25,424","-6,857","– –","363,445","1,174,386","153,884"
"15 ppm sulfur and under","– –","– –","1,365,933","29,609","25,424","-5,759","– –","307,119","1,119,606","131,103"
"Greater than 15 ppm to 500 ppm sulfur","– –","– –","36,691","1,253","–","809","– –","35,056","2,079","9,185"
"Greater than 500 ppm sulfur","– –","– –","58,683","13,381","– –","-1,907","– –","21,270","52,701","13,596"
"Residual Fuel Oil","– –","– –","127,270","68,352","– –","-2,902","– –","89,123","109,401","39,287"
"Less than 0.31 percent sulfur","– –","– –","14,208","2,901","– –","-1,183","– –","NA","NA","3,038"
"0.31 to 1.00 percent sulfur","– –","– –","14,640","8,578","– –","2,830","– –","NA","NA","8,708"
"Greater than 1.00 percent sulfur","– –","– –","98,422","56,873","– –","-4,549","– –","NA","NA","27,535"
"Petrochemical Feedstocks","– –","– –","88,466","9,366","– –","-106","– –","–","97,938","3,154"
"Naphtha for Petro. Feed. Use","– –","– –","58,550","7,622","– –","-71","– –","–","66,243","2,005"
"Other Oils for Petro. Feed. Use","– –","– –","29,916","1,744","– –","-35","– –","–","31,695","1,149"
"Special Naphthas","– –","– –","10,699","4,222","– –","-9","– –","–","14,930","1,327"
"Lubricants","– –","– –","50,629","12,070","– –","-1,346","– –","23,791","40,254","12,108"
"Waxes","– –","– –","1,460","1,518","– –","22","– –","1,036","1,920","595"
"Petroleum Coke","– –","– –","275,912","3,057","– –","-340","– –","180,895","98,414","5,713"
"Marketable","– –","– –","204,731","3,057","– –","-340","– –","180,895","27,233","5,713"
"Catalyst","– –","– –","71,181","– –","– –","– –","– –","– –","71,181","– –"
"Asphalt and Road Oil","– –","– –","103,767","11,529","– –","-4,598","– –","6,465","113,429","19,984"
"Still Gas","– –","– –","212,509","– –","– –","– –","– –","– –","212,509","– –"
"Miscellaneous Products","– –","– –","27,465","11","– –","94","– –","406","26,976","870"
"Total","3,772,225","348,732","6,120,982","3,067,776","85,741","67,570","5,784,164","1,567,696","5,976,026","2,050,255"
